seq,ax,ay,az,gx,gy,gz
0,-228,2640,16872,-90,-30,-382
1,-184,2404,16436,-136,-70,-282
2,-544,1616,15772,-124,-80,-179
3,184,1292,15716,-38,-16,-222
4,848,1572,15824,43,59,-216
5,-60,1932,15996,95,96,-116
6,-304,1832,16436,192,34,-107
7,136,1752,16872,279,-28,-120
8,508,2104,17932,314,83,-106
9,-224,2000,18544,226,178,-31
10,-1312,2052,18748,86,172,-8
11,-1164,1952,18868,19,170,-68
12,-1040,2096,19236,-104,262,-111
13,-1180,2208,19112,-264,294,-82
14,-1984,1524,18204,-311,231,6
15,-2428,1660,17660,-308,219,-25
16,-2620,1648,18032,-301,242,-73
17,-3116,1624,18308,-265,186,-76
18,-3208,1176,18224,-309,127,-112
19,-3764,1416,17692,-387,107,-149
20,-4380,1020,17068,-393,96,-196
21,-4708,712,16940,-368,68,-289
22,-4372,700,16632,-406,31,-393
23,-4368,244,15712,-477,42,-474
24,-4240,56,15228,-426,39,-547
25,-3824,172,14820,-327,-11,-589
26,-3468,156,15092,-252,-58,-598
27,-2984,112,15000,-251,-132,-585
28,-3004,72,14332,-275,-137,-559
29,-3212,160,14280,-214,-96,-567
30,-3516,24,14492,-132,-61,-593
31,-3172,-24,14448,-131,-4,-694
32,-2728,108,14800,-149,69,-776
33,-2476,160,14404,-153,53,-768
34,-2056,-108,13808,-129,35,-734
35,-2008,-188,13864,-56,22,-712
36,-1744,-260,13468,2,-30,-699
37,-1264,-272,13076,55,-25,-709
38,-1068,-356,13076,114,9,-691
39,-1080,-528,13004,188,40,-642
40,-1960,-712,13192,244,88,-582
41,-2752,-632,13024,285,70,-627
42,-2464,-508,13068,319,87,-739
43,-1572,-96,12836,337,121,-834
44,-588,500,12920,361,200,-881
45,-136,608,13308,400,239,-827
46,-284,820,13176,455,241,-717
47,-488,1044,13404,525,264,-661
48,48,1468,13980,583,298,-653
49,1224,2392,14244,621,260,-601
50,1560,2968,14000,646,259,-442
51,748,3104,14604,710,332,-249
52,236,3200,15416,773,312,-153
53,100,3512,15732,793,229,-95
54,388,4100,15936,789,170,-56
55,688,4312,16336,778,198,1
56,640,4424,16752,765,229,89
57,432,4644,16848,695,228,177
58,184,4912,16992,672,222,250
59,80,5040,16992,669,230,323
60,592,4968,17292,646,230,371
61,560,5460,17848,593,233,442
62,16,5500,18344,568,154,579
63,-380,5676,18176,558,74,679
64,-776,6196,18324,541,141,704
65,-852,6604,19460,577,162,680
66,-688,6920,20200,576,124,736
67,-1296,7132,21156,469,159,846
68,-1760,7224,21240,254,171,861
69,-1652,7468,20572,2,185,833
70,-2072,7372,20232,-95,224,890
71,-2728,7064,19612,-160,224,960
72,-2916,6692,18972,-219,218,942
73,-2768,6572,18580,-259,240,935
74,-3172,6292,18632,-313,285,969
75,-4292,6284,18220,-376,254,1035
76,-5348,5800,17748,-393,201,1032
77,-5560,5456,17516,-365,124,943
78,-5000,5296,17572,-395,87,812
79,-4676,5240,17488,-477,65,738
80,-5088,4732,16672,-561,39,750
81,-5580,4556,16136,-575,20,724
82,-5992,4152,15948,-555,-28,650
83,-5948,3720,15840,-502,-85,553
84,-5604,3620,16164,-498,-71,436
85,-5648,3336,15960,-557,-52,353
86,-5484,3408,15444,-599,-20,240
87,-5168,3092,15248,-609,49,133
88,-5052,2976,15252,-623,82,32
89,-4488,2724,14892,-637,54,-40
90,-3768,2460,14040,-658,62,-86
91,-3324,2280,13448,-623,150,-123
92,-3428,1980,13312,-556,207,-136
93,-3076,1628,13160,-462,129,-193
94,-2292,1652,12896,-333,51,-244
95,-1516,2088,13664,-156,-107,-225
