seq,ax,ay,az,gx,gy,gz
0,-7892,2516,18836,-276,-97,-60
1,-7416,2500,18964,-273,-143,-129
2,-7316,2356,19564,-329,-205,-143
3,-7212,2160,18584,-488,-254,-164
4,-8008,1896,17744,-585,-230,-217
5,-8216,1560,16980,-573,-306,-323
6,-7700,1460,16228,-573,-300,-426
7,-7624,1168,15908,-602,-263,-491
8,-8140,636,15260,-614,-354,-526
9,-8672,-140,14420,-582,-492,-600
10,-8860,-236,13764,-567,-532,-747
11,-8068,-360,12516,-583,-497,-915
12,-6864,-592,11164,-542,-391,-1095
13,-6180,-860,10660,-444,-305,-1238
14,-5600,-1192,9964,-325,-308,-1310
15,-4700,-1380,9088,-214,-317,-1351
16,-3780,-1352,8520,-54,-321,-1391
17,-2700,-1148,7888,152,-330,-1438
18,-1876,-564,8092,381,-260,-1455
19,-692,-304,8508,558,-157,-1440
20,356,444,9100,698,-35,-1409
21,1440,1228,9488,780,91,-1359
22,2516,1680,9732,920,149,-1233
23,2444,1744,10252,1039,201,-1002
24,2224,2192,10876,1168,223,-826
25,2596,3204,12256,1261,229,-720
26,3300,4020,12456,1362,169,-607
27,4180,4976,14076,1454,264,-537
28,5704,6332,16208,1433,410,-442
29,6756,7740,17360,1306,496,-212
30,6964,8336,18492,1234,548,115
31,6140,8696,19724,1153,573,456
32,4908,8744,20260,1066,518,768
33,3952,8584,20552,997,519,987
34,3284,8872,21776,898,620,1091
35,2380,9188,23064,767,660,1217
36,468,9360,24360,596,643,1410
37,-1152,9320,24532,370,546,1530
38,-2192,9360,24232,127,548,1572
39,-4020,9028,23972,-79,562,1634
40,-6388,8268,23716,-258,523,1640
41,-8660,7656,23992,-414,396,1565
42,-9164,6912,23476,-556,163,1411
43,-9860,6796,23152,-732,77,1284
44,-10288,6700,22676,-880,-58,1155
45,-11300,5856,21312,-1080,-91,1010
46,-11548,5292,20580,-1146,-203,802
47,-10744,4696,19736,-1188,-338,604
48,-9816,4260,18364,-1311,-385,445
49,-9120,3924,16272,-1403,-315,287
50,-8520,3128,15044,-1322,-305,182
51,-7956,2448,14044,-1238,-306,84
52,-7396,2108,12708,-1207,-219,-23
53,-7204,1416,11392,-1137,-177,-124
54,-6028,800,9620,-1021,-218,-259
55,-4492,300,8424,-865,-204,-395
56,-1916,112,7216,-658,-178,-501
57,756,404,7196,-435,-72,-500
58,2664,464,7896,-217,-13,-337
59,3092,368,9752,10,91,-102
60,1548,668,12316,157,209,138
61,-756,660,14120,111,275,288
62,-2552,960,14720,28,256,276
63,-3368,1308,15768,105,149,204
