seq,ax,ay,az,gx,gy,gz
0,760,4284,17668,41,-86,296
1,616,4228,17720,-12,-49,280
2,400,4376,17748,-40,-65,283
3,-196,4280,18276,-51,-18,270
4,-288,4572,18368,-141,-22,226
5,-772,4608,18132,-224,-31,197
6,-872,5024,18128,-259,-14,148
7,-1496,4620,18248,-305,-25,105
8,-1336,4524,17752,-390,-32,23
9,-1256,4368,17400,-425,-68,-1
10,-1564,4352,17376,-446,-55,-27
11,-1868,3968,17408,-511,-75,-107
12,-1604,3864,16644,-611,-81,-224
13,-1352,3624,15940,-621,-39,-308
14,-1136,3552,15824,-589,-122,-330
15,-876,3176,15808,-608,-165,-384
16,-396,2648,15360,-637,-129,-451
17,-472,2308,15084,-666,-90,-476
18,-544,2460,14528,-660,-113,-503
19,-472,2144,14120,-600,-168,-549
20,-444,1988,14464,-517,-165,-602
21,-360,1772,14716,-511,-185,-641
22,164,1916,14368,-546,-237,-691
23,828,1408,14276,-482,-216,-740
24,948,1440,14936,-415,-186,-725
25,608,1316,14948,-469,-221,-685
26,684,1076,14260,-524,-251,-729
27,1048,856,13756,-436,-172,-830
28,852,1076,14204,-372,-105,-839
29,1076,1100,13792,-394,-146,-834
30,1492,724,12972,-376,-224,-793
31,1152,376,12908,-238,-256,-763
32,696,688,12852,-138,-242,-748
33,376,872,13016,-80,-301,-755
34,1028,160,13392,8,-332,-870
35,2708,724,13804,100,-256,-1011
36,3408,1180,14008,112,-173,-949
37,3312,892,13552,133,-128,-796
38,2780,660,14212,226,-112,-700
39,2864,1188,14444,239,-127,-684
40,2800,1400,13824,181,-80,-641
41,3696,844,13428,309,-81,-642
42,4640,668,14008,456,10,-687
43,5232,1444,14616,542,162,-613
44,4544,1812,14220,479,192,-380
45,4168,1692,14080,540,126,-249
46,4836,2020,15040,662,138,-275
47,5300,2628,15008,648,203,-243
48,5196,3148,14472,634,302,-114
49,4204,2896,14744,719,352,17
50,3732,3280,15532,779,358,73
51,3516,3752,15700,729,342,132
52,3864,3984,15100,696,406,123
53,3956,3796,15096,743,557,152
54,3548,3676,15720,764,566,254
55,4104,4428,15884,719,349,417
56,4664,4880,16180,720,275,492
57,4652,4952,16208,738,355,577
58,3528,4764,16724,748,485,669
59,3428,5460,17072,682,430,742
60,3436,5928,17392,651,348,833
61,3356,6100,17824,651,340,897
62,2696,6340,18388,622,373,972
63,2184,6512,18992,557,398,1022
64,1968,6688,19640,457,422,1027
65,1332,7056,19880,313,385,1067
66,960,7176,19932,222,320,1090
67,464,6852,20044,119,310,1064
68,432,7132,20096,17,342,1022
69,-332,7024,20060,-72,341,1078
70,-1512,7024,20296,-159,377,1052
71,-2264,6864,20172,-273,418,948
72,-2688,6916,19872,-374,435,853
73,-3044,6808,19672,-454,354,761
74,-3160,6496,19372,-553,213,655
75,-2948,6208,18876,-644,127,580
76,-2948,5916,18376,-688,172,502
77,-2980,5568,18224,-703,228,420
78,-2764,5284,18228,-747,254,336
79,-2616,4828,17660,-854,197,290
80,-2260,4560,16540,-910,151,273
81,-1928,4188,15832,-856,170,219
82,-1240,3968,15820,-765,187,167
83,-1500,3660,15692,-752,186,179
84,-2028,3448,14832,-820,178,165
85,-1672,2920,13564,-810,130,79
86,-716,2644,12820,-697,119,-16
87,-540,2212,12056,-587,178,-56
88,-968,1732,11380,-488,213,-61
89,-1184,1576,10672,-382,114,-106
90,-492,1224,9988,-273,25,-181
91,388,892,9836,-91,-38,-198
92,856,1032,10812,135,-135,-112
93,652,1384,12004,266,-228,16
94,528,1688,13288,351,-243,32
95,816,1772,14692,410,-203,-21
