seq,ax,ay,az,gx,gy,gz
0,-148,2912,15512,149,66,-38
1,-16,3652,16620,263,163,-8
2,-380,3768,17796,232,-59,132
3,-976,3664,18120,31,-161,183
4,-1088,3444,17812,-127,-169,133
5,-1028,3224,17352,-183,-157,62
6,-688,3296,17440,-129,-156,34
7,-224,3872,18096,-88,-178,53
8,32,4204,19324,-81,-112,70
9,-788,3992,20096,-194,-21,90
10,-1148,4044,19468,-391,-19,64
11,-504,3720,18528,-476,-10,-8
12,4,3540,18596,-449,153,-89
13,-544,3644,18840,-486,279,-84
14,-1476,3628,18408,-580,230,-31
15,-2196,3424,17528,-655,174,-60
16,-2692,3360,16340,-702,155,-121
17,-3680,2956,15572,-698,103,-167
18,-4040,2832,14688,-674,-1,-263
19,-3656,2848,14060,-611,-105,-368
20,-3640,2156,14228,-541,-129,-492
21,-3248,2052,14060,-553,-190,-589
22,-2748,1864,13284,-542,-262,-635
23,-2296,1536,13344,-471,-290,-720
24,-1908,1276,13304,-440,-305,-791
25,-2296,1056,13044,-463,-363,-766
26,-2020,464,12432,-455,-503,-779
27,-228,556,12360,-283,-463,-953
28,540,532,13568,-156,-285,-1039
29,132,848,13948,-212,-340,-936
30,80,764,13116,-319,-585,-865
31,712,132,12780,-253,-579,-1008
32,1420,472,12888,-167,-384,-1108
33,1552,648,12696,-160,-389,-1043
34,2628,96,12332,-58,-492,-1051
35,4372,276,12912,116,-406,-1160
36,4760,728,13488,176,-243,-1097
37,3704,640,12536,85,-287,-896
38,3920,-24,11576,178,-355,-828
39,5596,236,12240,459,-209,-904
40,6124,832,13344,603,-9,-830
41,5416,504,13124,563,48,-624
42,5272,512,13128,638,-56,-484
43,6128,1120,13764,759,-109,-420
44,6708,2004,13920,829,26,-328
45,6740,2228,14444,935,158,-180
46,6356,2428,15904,1032,263,-50
47,5552,3000,16868,957,277,90
48,5064,4012,16188,849,225,208
49,4748,4356,16112,858,260,263
50,4912,4368,17068,900,362,245
51,4672,4476,17672,847,446,326
52,4152,4936,17212,738,339,463
53,4428,5216,16780,704,244,518
54,4980,5588,17216,723,300,540
55,4276,5360,17016,663,440,612
56,3180,5300,16488,616,525,697
57,2908,5588,16628,627,421,767
58,3012,5704,17168,624,333,788
59,3252,5864,17620,633,402,802
60,2812,5928,18464,590,429,874
61,2536,6288,18880,501,316,972
62,2324,6504,19128,408,217,1013
63,2108,6440,19168,352,216,1029
64,1820,6728,20060,330,330,998
65,1388,6896,20596,218,381,1010
66,760,7248,20556,81,360,1049
67,-116,7356,20548,-45,306,1047
68,-836,7292,19912,-198,270,993
69,-1304,7236,19264,-292,353,895
70,-1700,7156,18680,-323,438,823
71,-2744,7060,18988,-356,392,790
72,-2956,6856,18564,-487,311,687
73,-2852,6548,17496,-575,337,561
74,-2600,6212,17120,-571,369,447
75,-2720,5996,16872,-606,309,417
76,-3188,5656,16156,-662,257,376
77,-3420,5248,15384,-660,245,272
78,-3164,4956,15132,-642,203,139
79,-2232,4380,14672,-634,159,20
80,-1132,3944,14088,-594,165,-51
81,-644,3652,13812,-533,164,-64
82,-36,3188,13440,-482,117,-65
83,424,2792,12976,-436,72,-33
84,436,2724,12904,-363,57,-13
85,488,2824,12900,-315,10,-8
86,280,2812,12612,-270,-16,12
87,208,2648,12768,-181,-35,-3
88,628,2628,13184,-103,-80,-25
89,1328,2500,13648,-41,-89,-11
90,988,2660,14180,15,-71,63
91,488,2664,14856,41,-100,91
92,240,2772,15516,37,-74,59
93,200,2804,15796,5,-96,20
94,740,2800,15836,-7,-100,-18
95,1180,2772,15948,36,-27,-49
96,1144,2604,16176,57,46,-44
97,1104,2588,15084,54,-23,-7
98,592,2216,16208,49,-24,-54
