seq,ax,ay,az,gx,gy,gz
0,-4060,1136,17416,-74,140,285
1,-4636,1052,17112,-27,57,226
2,-4604,1684,17300,37,52,87
3,-4268,1956,18144,7,54,29
4,-4536,1776,18044,-19,-42,46
5,-4668,1812,18076,-29,-115,30
6,-4956,1416,18512,-109,-105,8
7,-5188,1512,18008,-219,-100,-31
8,-5860,1092,17228,-254,-122,-59
9,-6092,888,16792,-243,-133,-138
10,-6332,860,17184,-226,-136,-212
11,-6880,1080,17468,-234,-220,-268
12,-6760,900,16464,-308,-278,-358
13,-6740,692,16356,-335,-262,-412
14,-6300,388,15840,-333,-279,-484
15,-5692,332,15680,-341,-248,-541
16,-5540,100,15132,-358,-241,-577
17,-5052,396,14744,-327,-221,-631
18,-5212,380,15228,-277,-175,-645
19,-5268,300,15348,-268,-202,-688
20,-5000,-36,14684,-296,-190,-768
21,-4632,-180,14264,-286,-178,-819
22,-4216,-364,13748,-232,-150,-878
23,-3656,-372,13368,-174,-81,-944
24,-2868,-400,12924,-129,6,-1003
25,-2760,-600,12636,-72,77,-1013
26,-2504,-356,12480,1,75,-1019
27,-1848,-220,12016,108,51,-1020
28,-784,36,11816,213,56,-1009
29,-132,308,12032,319,71,-954
30,300,500,12152,427,41,-876
31,668,732,12516,536,89,-799
32,624,864,12368,568,172,-743
33,552,800,12560,613,263,-707
34,532,792,13592,685,334,-693
35,1072,1352,14092,726,338,-655
36,1068,1880,14632,741,305,-541
37,1868,2740,14548,834,202,-442
38,1540,3372,15184,913,222,-293
39,1360,3616,16540,938,268,-205
40,1408,3864,17112,874,296,-116
41,1540,4276,17328,830,312,-17
42,1640,4896,17560,795,339,77
43,1504,5156,17616,724,387,176
44,1584,4972,17544,681,446,284
45,856,5076,17808,665,561,419
46,-428,5468,17840,644,654,526
47,-644,5552,18532,663,621,555
48,-384,5596,19064,609,559,638
49,-956,6092,19356,479,521,781
50,-2072,6212,18948,384,488,900
51,-3224,6284,18572,338,516,957
52,-3712,6460,19236,304,541,950
53,-3488,6792,20116,236,513,939
54,-3644,7040,20276,67,472,997
55,-4192,7084,19364,-91,429,1082
56,-5372,6924,19240,-175,407,1140
57,-6444,6432,19156,-224,380,1120
58,-7712,6120,19944,-318,393,1062
59,-8480,5832,19664,-445,262,983
60,-8512,5488,18788,-563,153,894
61,-8352,5456,18452,-625,86,787
62,-8084,5260,17936,-662,7,713
63,-8468,5036,17712,-690,-30,679
64,-8956,4692,17520,-709,-97,641
65,-9292,4256,17280,-743,-170,586
66,-9656,3640,16656,-800,-202,495
67,-9408,3328,16120,-804,-216,350
68,-8724,3068,15788,-790,-212,217
69,-8424,3008,15368,-789,-241,129
70,-8048,2436,14992,-778,-257,58
71,-7472,2336,14440,-802,-198,-28
72,-7216,2176,13952,-811,-148,-95
73,-6596,1644,13464,-722,-142,-158
74,-5880,1556,13504,-651,-87,-202
75,-5912,1300,13304,-626,-54,-218
76,-6076,848,12996,-572,-79,-254
77,-5720,508,12804,-494,-74,-330
78,-4900,372,12688,-440,-20,-413
79,-3908,456,12668,-379,6,-455
80,-2984,632,13000,-294,-32,-445
81,-2036,976,13780,-196,-67,-379
82,-1348,1020,14012,-212,-8,-305
83,-700,1292,13884,-256,96,-259
84,-632,1584,14296,-193,153,-170
85,-1064,1420,15000,-85,71,-19
86,-1776,1104,15596,-1,-2,111
87,-2648,464,15564,-12,-43,203
88,-2912,192,15280,19,-91,200
89,-3000,-628,14968,89,-132,168
90,-3352,-240,16400,80,-111,88
