seq,ax,ay,az,gx,gy,gz,qx,qy,qz,qw,roll,pitch,yaw
0,5512,3944,17844,-88,99,-134,-0.05,-0.12,-0.93,0.34082,11.062557,10.476812,139.648804
1,5244,3652,18580,-20,125,-78,-0.05,-0.12,-0.93,0.340454,11.035291,10.453945,139.694199
2,5400,3284,18276,22,-3,-81,-0.05,-0.12,-0.93,0.340088,11.02158,10.413701,139.742661
3,5684,4036,17904,132,-55,-156,-0.05,-0.12,-0.93,0.339417,11.053357,10.510736,139.810562
4,6836,4692,18952,213,-43,-195,-0.05,-0.12,-0.93,0.338074,11.276611,10.656349,139.958069
5,8024,5148,19720,131,-92,-101,-0.06,-0.13,-0.93,0.336487,11.604538,10.833743,140.134415
6,8524,5092,19208,-38,-110,77,-0.06,-0.13,-0.93,0.335876,11.814433,11.140278,140.170151
7,8624,4956,18412,-111,-48,194,-0.06,-0.13,-0.93,0.336914,11.780097,11.529718,139.985809
8,9112,5288,18616,-64,5,263,-0.06,-0.13,-0.93,0.33905,11.650138,11.882761,139.672211
9,9400,5504,19744,-29,13,366,-0.07,-0.13,-0.93,0.342041,11.584187,12.199133,139.265213
10,10016,5752,19728,-111,-91,515,-0.07,-0.13,-0.93,0.346008,11.498478,12.563067,138.733139
11,10744,5784,19344,-181,-144,670,-0.07,-0.13,-0.92,0.351257,11.290298,13.098628,138.011826
12,11248,6136,19020,-203,-85,807,-0.08,-0.13,-0.92,0.35791,10.976637,13.740587,137.097946
13,11512,6380,19532,-199,-23,943,-0.08,-0.13,-0.92,0.365845,10.598037,14.343254,136.028824
14,11692,6904,19584,-215,-24,1094,-0.09,-0.13,-0.91,0.375122,10.194498,14.914169,134.796768
15,11492,7708,19948,-264,-33,1285,-0.09,-0.13,-0.91,0.385742,9.73668,15.501876,133.390472
16,11612,8216,18852,-319,-50,1494,-0.1,-0.13,-0.9,0.39801,9.186802,16.116692,131.763321
17,10980,8804,19228,-339,40,1712,-0.1,-0.13,-0.9,0.412048,8.533201,16.746367,129.898544
18,10388,9100,19196,-372,34,1887,-0.11,-0.12,-0.89,0.427979,7.795096,17.256649,127.800583
19,9552,9504,18480,-381,15,2024,-0.11,-0.12,-0.88,0.44519,6.963089,17.736698,125.522728
20,8960,10156,18296,-377,100,2135,-0.12,-0.12,-0.87,0.463379,6.097259,18.163017,123.100334
21,8472,10844,18664,-403,133,2288,-0.12,-0.12,-0.86,0.482422,5.224108,18.433239,120.570938
22,7936,11756,17540,-456,129,2459,-0.12,-0.11,-0.85,0.502502,4.289332,18.617729,117.881836
23,6560,12332,17468,-440,183,2632,-0.12,-0.11,-0.84,0.523682,3.295722,18.738321,115.013962
24,4308,12328,17408,-421,196,2779,-0.12,-0.11,-0.82,0.546082,2.304468,18.698441,111.963028
25,1776,12168,17224,-425,213,2840,-0.12,-0.1,-0.81,0.569336,1.308927,18.485102,108.765533
26,-516,11532,17124,-451,213,2841,-0.12,-0.1,-0.79,0.592712,0.307507,18.081312,105.512215
27,-3052,10228,16340,-487,216,2816,-0.12,-0.09,-0.77,0.615662,-0.704666,17.5051,102.26545
28,-5792,9128,16104,-498,189,2729,-0.12,-0.08,-0.76,0.638062,-1.756015,16.763699,99.030212
29,-7828,7512,15316,-471,93,2547,-0.12,-0.07,-0.74,0.659302,-2.772658,15.887464,95.896965
30,-8976,5716,14972,-387,58,2257,-0.12,-0.07,-0.72,0.678772,-3.711999,14.980403,92.951263
31,-9028,4832,15204,-252,-11,1922,-0.11,-0.06,-0.71,0.695801,-4.48379,14.054818,90.327408
32,-8964,4460,15960,-132,-34,1594,-0.11,-0.05,-0.69,0.710144,-4.988379,13.203607,88.090919
33,-8364,3904,16784,-95,-131,1307,-0.11,-0.05,-0.68,0.722046,-5.249234,12.420899,86.226166
34,-7440,3564,17324,-72,-176,984,-0.1,-0.04,-0.67,0.731689,-5.398763,11.801558,84.69104
35,-6452,3304,17948,-101,-266,635,-0.1,-0.04,-0.66,0.738831,-5.446084,11.317151,83.548294
36,-4720,3500,17132,-191,-336,256,-0.1,-0.04,-0.66,0.743286,-5.457384,11.051694,82.824844
