seq,ax,ay,az,gx,gy,gz
0,1144,1916,16260,-11,78,58
1,1004,1752,16128,-21,33,70
2,1116,1884,16000,-6,-1,59
3,1032,1812,15932,13,12,64
4,768,1376,16064,41,3,76
5,500,1564,16396,61,2,47
6,860,1792,16548,59,-2,13
7,1052,1908,16580,28,-5,19
8,1068,1828,16564,4,1,26
9,932,1772,16424,3,4,39
10,888,1716,16332,0,14,30
11,1032,1808,16292,0,20,7
12,1232,1852,16480,0,43,14
13,1200,1756,16380,5,32,38
14,1172,1868,16240,2,21,53
15,1428,2052,16272,2,31,40
16,1696,1972,16500,-8,58,32
17,1976,2044,16264,-21,50,48
18,2152,2128,16104,-16,49,87
19,2236,2092,16256,-1,51,129
20,2292,2176,16224,0,44,158
21,2784,2292,16164,6,51,161
22,3140,2288,16456,2,87,198
23,3056,2200,16316,-25,95,280
24,2824,2152,16108,-30,102,331
25,2836,2264,16000,-12,99,361
26,3104,2196,16256,3,109,384
27,3468,2460,16632,-5,127,428
28,3512,2568,16188,-25,99,493
29,3432,2708,16392,-15,130,572
30,2952,2360,16596,-21,147,670
31,1840,1836,16360,-32,107,758
32,1184,1656,15976,-4,90,747
33,1676,1788,16680,7,93,662
34,2536,2200,16336,-15,51,641
35,2808,2316,16400,-18,52,690
36,2936,2492,16360,-1,17,754
37,2984,2644,16372,10,-5,802
38,3356,2788,16256,25,-35,853
39,3720,2932,16140,28,-28,890
40,4280,3028,16136,12,25,938
41,4280,3192,16028,-16,73,1055
42,3572,3260,15804,-8,86,1196
43,2952,3076,15564,40,87,1289
44,2480,3096,15896,65,125,1334
45,2032,2980,16012,40,150,1360
46,1832,3228,16084,20,173,1363
47,1688,3192,16004,33,152,1384
48,1612,3104,16272,50,150,1430
49,1576,3124,16136,24,179,1450
50,1552,3048,15572,8,211,1470
51,1692,3052,15508,18,284,1498
52,1196,2816,15520,14,367,1562
53,268,2656,15540,5,406,1640
54,-1376,2496,15336,25,370,1715
55,-1904,2500,15456,127,304,1650
56,-824,3060,16136,145,354,1521
57,-360,3816,16380,100,470,1508
58,-1584,3260,16596,-18,570,1588
59,-1924,2980,15708,-72,518,1565
60,-1644,2704,15308,6,507,1515
61,-1600,2812,15868,46,521,1533
62,-3016,2296,15960,29,504,1655
63,-4568,1924,15652,6,489,1654
64,-5156,1812,15688,19,466,1511
65,-5504,1544,16132,49,461,1381
66,-5796,1244,16340,2,463,1269
67,-6016,784,16028,-60,442,1146
68,-6096,664,15704,-62,414,1010
69,-6324,656,15976,-35,367,912
70,-6744,440,16248,-9,286,841
71,-6852,260,16076,6,223,725
72,-6784,176,16204,5,200,583
73,-5920,-208,15936,1,157,447
74,-5688,-36,16200,28,117,345
75,-5332,256,16124,32,74,265
76,-4996,664,16300,47,82,206
77,-4592,728,16520,39,92,182
78,-4432,632,16300,9,71,146
79,-4200,732,16116,2,71,81
80,-3808,424,16224,27,60,43
81,-3956,420,16780,55,25,43
82,-3960,516,16596,63,-28,15
83,-3608,496,16068,63,-69,-52
84,-3188,824,16440,79,-113,-130
