seq,ax,ay,az,gx,gy,gz
0,152,2828,16668,16,37,20
1,740,2476,16696,-16,47,-31
2,1008,2316,16572,-60,35,24
3,1040,2632,15972,-62,42,77
4,788,2444,16076,5,58,116
5,768,2228,16436,27,75,112
6,836,2316,16348,4,80,130
7,752,2460,16128,-18,54,168
8,564,2348,16048,3,45,188
9,756,2452,16060,6,25,183
10,1036,2360,15992,-2,47,202
11,948,2460,16156,17,86,245
12,776,2476,16184,24,71,280
13,992,2616,15952,6,61,268
14,1460,2712,16184,4,51,263
15,1772,2740,15984,-11,47,287
16,2428,2600,15992,-32,-4,311
17,3132,2512,15716,-36,-43,395
18,3364,2540,15928,-5,-9,480
19,3496,2528,16296,6,-25,547
20,3784,2584,16108,-4,-9,600
21,3984,2808,15964,9,74,648
22,4032,2824,16476,46,53,726
23,4252,2796,16320,20,62,807
24,3784,2956,16124,9,140,907
25,3264,3008,16360,3,98,973
26,3192,3048,16180,-17,49,1016
27,2800,3096,15996,-11,58,1087
28,2756,3228,15972,30,81,1125
29,2560,3312,16492,80,142,1145
30,2544,3440,16844,27,97,1188
31,2400,3504,16300,-73,-54,1303
32,1376,3184,15876,-95,-53,1397
33,316,3156,15628,-62,39,1414
34,-32,3408,15868,-20,81,1372
35,-828,3220,16020,-3,48,1355
36,-1420,3156,16116,4,39,1334
37,-1852,3220,16208,14,9,1278
38,-2000,3120,16400,27,-32,1220
39,-2620,3124,16836,42,46,1136
40,-2872,3060,16964,35,40,1046
41,-2188,2680,17012,-4,-26,915
42,-1776,2460,17056,-32,4,847
43,-1952,2316,16916,-56,36,812
44,-2120,2076,16656,-69,25,754
45,-1896,2064,16592,-57,68,668
46,-1708,1924,16728,-58,57,599
47,-1624,1692,16536,-95,24,572
48,-1428,1536,16268,-89,82,542
49,-1304,1228,16616,-64,132,486
50,-1500,1348,16448,-82,142,441
51,-1772,1248,16232,-130,152,416
52,-2072,1176,15588,-132,129,390
53,-2112,996,15596,-71,88,339
54,-2080,1060,15916,-24,54,250
55,-2116,1032,15940,-45,52,210
56,-2012,940,15784,-42,23,139
57,-1620,804,15924,-1,-9,60
58,-1376,872,16376,14,-19,9
59,-1164,596,16484,-5,5,-60
