seq,ax,ay,az,gx,gy,gz
0,180,1420,16248,-26,38,-7
1,416,1308,16576,-41,86,-1
2,36,1212,16296,-72,76,57
3,160,1040,16040,-66,71,54
4,148,1028,16020,-29,72,26
5,156,1220,16144,-12,48,14
6,116,1224,16220,-26,47,24
7,-108,1184,16196,-20,55,44
8,-108,1140,16000,8,34,43
9,-56,1180,16412,21,41,34
10,-192,1112,16704,10,52,46
11,-356,1044,16540,-5,32,30
12,48,1256,16516,0,2,-5
13,308,1368,16572,-6,34,0
14,232,1380,16420,-26,31,45
15,44,1100,16140,-30,31,68
16,-124,1028,16196,3,38,50
17,-96,1184,16436,18,45,24
18,-116,1248,16560,9,23,30
19,-124,1176,16488,-6,9,39
20,40,1236,16384,-9,23,21
21,352,1280,16312,-21,32,4
22,488,1236,16264,-23,44,22
23,204,1224,16220,-12,47,59
24,320,1180,16084,14,11,58
25,908,1464,16424,21,44,21
26,1136,1500,16620,-12,64,36
27,1360,1528,16292,-31,40,82
28,1552,1544,16276,-9,63,129
29,1756,1664,16364,4,54,162
30,2216,1812,16168,10,44,185
31,2656,1912,16408,20,68,231
32,2800,1928,16664,14,91,310
33,2376,1812,16640,-13,112,397
34,2084,1704,16408,-35,123,449
35,1976,1652,16476,-17,121,489
36,1988,1744,16748,-3,98,529
37,1964,1780,17028,-10,101,583
38,1496,1796,16932,-33,70,637
39,1868,1928,16516,-31,17,632
40,2356,2072,16880,-17,46,656
41,2484,2096,16900,-27,48,709
42,2220,2156,16504,-64,62,811
43,1776,2176,16420,-74,64,877
44,1796,2104,16036,-46,48,902
45,1596,2168,16404,-38,85,942
46,1292,2060,16196,-70,81,1000
47,1040,1952,15452,-79,108,1019
48,1180,1820,15616,-49,150,1025
49,892,1620,15792,-13,141,1089
50,372,1912,15760,0,180,1136
51,-164,1984,16036,4,212,1144
52,-432,2092,16052,12,200,1134
53,-640,2240,16052,30,198,1144
54,-1088,2112,16404,28,199,1160
55,-1048,2020,16100,9,183,1130
56,-676,1940,16020,-5,209,1094
57,-716,1972,16156,-7,243,1118
58,-1476,1836,16040,-4,240,1167
59,-1704,1720,15976,19,224,1153
60,-1628,1936,16368,35,227,1109
61,-1444,2052,16332,11,248,1095
62,-1780,1912,16200,-33,281,1110
63,-2032,1676,15568,-40,243,1108
64,-1716,1672,15376,-7,246,1055
65,-1432,1736,15660,37,331,1042
66,-2104,1496,15936,30,358,1102
67,-2960,1400,16196,12,323,1123
68,-2776,1724,15860,115,320,1079
69,-3088,1852,16528,5,371,1027
70,-3580,1832,16092,-49,393,1039
71,-4660,1592,15840,-42,370,1027
72,-4944,1272,16032,-2,311,964
73,-4888,1100,16096,-6,287,892
74,-5496,992,16056,-17,278,853
75,-6300,784,16112,-1,252,806
76,-6616,732,16248,21,203,730
77,-6800,648,16268,38,155,639
78,-7236,564,16620,48,82,523
79,-6720,408,16420,103,-60,368
80,-6080,996,16580,134,-126,227
81,-5520,1096,16416,111,-180,181
