seq,ax,ay,az,gx,gy,gz,qx,qy,qz,qw,roll,pitch,yaw
0,3532,1632,15944,174,114,-134,0.04,0.08,0.44,-0.891602,0.194111,9.896589,53.415092
1,3620,1992,16348,238,11,-186,0.04,0.08,0.45,-0.891357,0.38413,9.86789,53.488544
2,4008,2272,16716,222,40,-195,0.03,0.08,0.45,-0.890564,0.8052,9.885945,53.687756
3,4064,2320,17128,116,101,-170,0.03,0.08,0.45,-0.889771,1.205146,9.873777,53.891357
4,3908,2120,16648,-1,76,-136,0.03,0.08,0.45,-0.88916,1.453402,9.801379,54.055389
5,3748,2160,16172,-1,8,-134,0.03,0.08,0.45,-0.88855,1.564272,9.773971,54.207943
6,3924,2388,15764,100,-46,-158,0.03,0.08,0.45,-0.887939,1.694693,9.814631,54.361382
7,4392,2240,15756,188,9,-142,0.02,0.08,0.45,-0.887207,1.9595,9.913627,54.532001
8,4000,2352,16704,230,82,-66,0.02,0.09,0.45,-0.886658,2.30629,9.961028,54.660847
9,3740,2284,16596,231,38,-5,0.02,0.09,0.45,-0.886475,2.675503,9.931473,54.692677
10,3144,1996,16648,204,48,0,0.01,0.09,0.45,-0.886719,3.197374,9.907701,54.617336
11,3008,2240,16204,177,59,-33,0.01,0.09,0.45,-0.88678,3.34064,9.881708,54.594353
12,2860,2484,16080,213,53,-75,0.01,0.09,0.45,-0.886597,3.784551,9.781927,54.616508
13,3376,2808,15364,273,-32,-104,0.01,0.09,0.45,-0.886414,3.977106,9.762877,54.649796
14,4028,3204,14844,301,-41,-98,0.01,0.09,0.45,-0.885925,4.41909,9.82957,54.735481
15,4496,3172,13960,282,-30,-53,0.0,0.1,0.45,-0.885254,5.136193,9.991736,54.8297
16,4588,2984,13140,288,-1,-13,-0.0,0.1,0.45,-0.885132,5.362638,10.05738,54.833134
17,4256,3108,12268,368,23,42,-0.01,0.1,0.45,-0.885132,6.05799,10.215386,54.738663
18,4232,3300,11968,500,-51,62,-0.01,0.1,0.45,-0.885254,6.357717,10.267293,54.670506
19,4456,3512,11616,660,-110,91,-0.02,0.11,0.45,-0.885498,7.500558,10.579949,54.418159
20,4624,3860,11924,844,-175,146,-0.02,0.11,0.45,-0.885559,7.989633,10.72836,54.307629
21,4988,4256,11724,985,-227,206,-0.03,0.13,0.45,-0.885925,9.740807,11.324395,53.81601
22,4988,4932,11760,1052,-191,247,-0.03,0.13,0.44,-0.886108,10.399122,11.544513,53.601479
23,5028,5464,11544,1098,-143,249,-0.05,0.14,0.44,-0.886597,12.471201,12.141287,52.857231
24,5156,5940,11540,1202,-77,225,-0.05,0.15,0.44,-0.886658,13.20798,12.309298,52.590385
25,5324,6880,11448,1353,-77,221,-0.07,0.16,0.43,-0.886536,15.671684,12.741358,51.693645
26,5632,7904,11820,1562,-33,214,-0.08,0.16,0.43,-0.88623,16.60758,12.892989,51.372257
27,5272,9336,14032,1817,1,326,-0.1,0.18,0.42,-0.88501,19.850536,13.249402,50.107071
28,4924,9428,14412,1862,-86,422,-0.11,0.18,0.41,-0.884583,21.021166,13.37138,49.561249
29,4372,9800,13696,1838,-100,466,-0.14,0.2,0.4,-0.883057,24.519716,13.920169,47.662994
30,3760,10932,13560,1873,-29,394,-0.15,0.2,0.4,-0.882385,25.677616,14.084621,46.984509
31,3712,12240,13512,1957,-15,281,-0.17,0.22,0.39,-0.879089,29.316893,14.387016,44.901287
32,4312,12996,14052,2041,-22,200,-0.18,0.22,0.38,-0.877502,30.608824,14.451378,44.185303
33,5220,13932,14204,2160,-61,185,-0.21,0.24,0.37,-0.871216,34.648136,14.677621,41.932907
34,5536,15476,15880,2332,-53,229,-0.22,0.24,0.37,-0.868713,36.073845,14.782269,41.074158
35,4652,16900,17280,2315,-3,322,-0.26,0.26,0.36,-0.860596,40.470695,15.121858,38.008232
36,4140,17288,17180,2174,76,326,-0.27,0.26,0.35,-0.85791,41.861446,15.210285,36.896141
37,2992,18200,17732,2021,295,305,-0.3,0.27,0.34,-0.850586,45.628387,15.241803,33.453972
38,2536,18228,18384,2018,305,296,-0.31,0.27,0.33,-0.848328,46.785099,15.154602,32.273491
39,2140,19168,19288,2018,132,236,-0.33,0.28,0.32,-0.841003,50.147217,14.89173,28.79258
40,2196,19556,19640,1997,65,187,-0.34,0.28,0.32,-0.838196,51.253048,14.825267,27.692551
41,2560,20632,21016,1849,135,128,-0.37,0.29,0.31,-0.829285,54.435314,14.610781,24.55913
42,2368,20980,21924,1658,177,130,-0.38,0.29,0.3,-0.826599,55.372105,14.503,23.591505
43,1784,21208,21476,1195,129,134,-0.39,0.29,0.3,-0.82074,57.478291,14.15149,21.253151
44,1640,20960,20524,998,91,86,-0.4,0.29,0.29,-0.819458,57.951469,14.040528,20.703049
45,2276,20880,20424,816,96,-29,-0.41,0.29,0.29,-0.816101,59.072674,13.625032,19.553364
46,2704,20684,20148,661,58,-53,-0.41,0.29,0.29,-0.815186,59.350616,13.464979,19.316612
47,3172,20196,18932,384,8,-40,-0.42,0.29,0.29,-0.813538,59.828564,13.069863,18.970486
48,3300,19592,17896,225,-12,-26,-0.42,0.29,0.29,-0.813416,59.864647,12.97563,18.967138
49,3268,18808,16180,44,52,-6,-0.42,0.28,0.29,-0.814087,59.698502,12.76176,19.166599
50,3000,18228,16112,-17,111,14,-0.42,0.28,0.29,-0.814636,59.573448,12.691716,19.266495
51,2780,17832,15764,-74,-25,-12,-0.41,0.28,0.29,-0.816833,59.090549,12.474532,19.614037
52,3152,17780,14896,-92,-111,-57,-0.41,0.28,0.29,-0.817444,58.914864,12.417939,19.804066
53,3608,17884,14948,-111,-143,-142,-0.41,0.28,0.29,-0.818359,58.487621,12.282359,20.465866
54,3676,17896,15100,-148,-203,-186,-0.41,0.28,0.29,-0.818604,58.337597,12.22194,20.739075
