seq,ax,ay,az,gx,gy,gz,qx,qy,qz,qw,roll,pitch,yaw
0,4076,1056,15980,-20,335,-106,0.02,-0.11,0.19,0.975098,-0.259694,12.473418,-22.872787
1,3572,1148,17076,136,288,-97,0.02,-0.11,0.19,0.975403,-0.178537,12.279807,-22.806517
2,3680,804,17660,264,32,-30,0.02,-0.1,0.19,0.975708,0.128068,12.009097,-22.754284
3,3912,764,16888,201,-37,19,0.02,-0.1,0.19,0.975708,0.477886,11.984284,-22.804119
4,3564,872,16100,62,40,48,0.03,-0.1,0.19,0.975525,0.716494,12.02561,-22.89242
5,3332,772,14288,-59,105,49,0.03,-0.1,0.19,0.975403,0.77557,11.975221,-22.980043
6,2592,832,12064,-42,143,-5,0.03,-0.1,0.19,0.975403,0.720503,11.851575,-23.03607
7,3036,1568,11432,205,81,-140,0.03,-0.1,0.19,0.975586,0.739969,11.682939,-23.018473
8,4424,2160,10584,407,108,-173,0.03,-0.1,0.19,0.97583,1.129998,11.612346,-22.901281
9,4556,2268,10768,477,142,-100,0.03,-0.1,0.19,0.976013,1.772666,11.575252,-22.808634
10,4704,2556,10600,588,-25,-39,0.04,-0.09,0.19,0.976013,2.484981,11.539094,-22.811342
11,5408,3048,9064,734,-158,13,0.05,-0.09,0.19,0.975586,3.341716,11.727073,-22.925905
12,5116,3372,8852,862,-112,98,0.06,-0.1,0.19,0.974731,4.375617,12.089681,-23.150753
13,5040,3716,7524,1038,-192,146,0.07,-0.1,0.2,0.973572,5.564114,12.42642,-23.493843
14,5268,4112,7692,1334,-159,148,0.08,-0.1,0.2,0.971924,6.988378,12.839973,-23.925611
15,5416,4924,7964,1639,-182,201,0.1,-0.1,0.2,0.969849,8.784735,13.242265,-24.406683
16,5020,5840,8152,1925,-250,301,0.12,-0.1,0.2,0.96698,10.959922,13.696107,-25.004147
17,4876,7336,8504,2227,-278,313,0.14,-0.1,0.21,0.962952,13.490368,14.237458,-25.736534
18,4696,8700,11204,2428,-146,283,0.16,-0.1,0.21,0.957947,16.431847,14.762233,-26.461058
19,5100,10092,11536,2397,-93,259,0.19,-0.09,0.22,0.952087,19.588678,15.116546,-27.093288
20,4492,11720,12668,2379,31,266,0.22,-0.09,0.22,0.94574,22.716742,15.377015,-27.62496
21,4428,13924,13992,2498,-6,240,0.24,-0.08,0.23,0.938721,25.849478,15.494143,-28.062456
22,4884,15444,15244,2533,42,238,0.27,-0.08,0.23,0.930664,29.163996,15.610954,-28.379086
23,4420,16196,16784,2380,203,290,0.3,-0.07,0.24,0.921936,32.451771,15.646111,-28.609676
24,3444,17388,17304,2271,274,298,0.32,-0.06,0.24,0.913147,35.435406,15.546491,-28.814833
25,2936,18688,18004,2311,329,247,0.34,-0.05,0.25,0.904236,38.275955,15.333232,-28.909035
26,2716,19440,20688,2348,422,165,0.37,-0.04,0.25,0.894897,41.125515,14.993944,-28.842403
27,2912,20432,23484,2182,395,173,0.39,-0.03,0.25,0.885559,43.86153,14.518847,-28.617752
28,3140,20836,22924,1919,276,322,0.41,-0.02,0.26,0.87677,46.253925,14.117998,-28.397278
29,1660,20276,24032,1735,297,464,0.42,-0.01,0.26,0.868408,48.2686,13.955758,-28.369656
30,316,19500,24520,1538,270,424,0.43,-0.0,0.27,0.860657,49.939175,13.856485,-28.474167
31,-36,19176,24836,1290,199,248,0.44,0.0,0.27,0.854248,51.279419,13.67787,-28.510151
32,760,19168,23904,997,158,88,0.45,0.01,0.27,0.849731,52.295628,13.375139,-28.364859
33,1564,19504,23924,753,192,21,0.45,0.02,0.28,0.846802,53.003799,13.006207,-28.143421
34,2080,18876,23392,510,57,37,0.46,0.02,0.28,0.845093,53.420895,12.631301,-27.959356
35,2088,18052,22208,296,-12,68,0.46,0.02,0.28,0.844543,53.537895,12.418182,-27.899265
36,1796,17288,21392,156,-71,39,0.46,0.02,0.28,0.844727,53.461056,12.301006,-27.920015
37,2140,16876,20236,12,-83,-22,0.45,0.02,0.28,0.845703,53.244534,12.191389,-27.927656
38,2256,16540,20488,-147,-102,-74,0.45,0.02,0.28,0.84729,52.903275,12.056945,-27.923429
39,2520,16328,19372,-326,-197,-137,0.45,0.02,0.28,0.849854,52.36784,11.904469,-27.902668
40,2644,16260,18372,-431,-248,-190,0.44,0.02,0.27,0.85321,51.708916,11.795063,-27.844217
41,2772,16564,17792,-449,-283,-257,0.44,0.02,0.27,0.856873,51.013615,11.682311,-27.722185
42,3452,16332,17600,-428,-353,-310,0.43,0.02,0.27,0.860535,50.372509,11.552353,-27.504499
