seq,ax,ay,az,gx,gy,gz,qx,qy,qz,qw,roll,pitch,yaw
0,4496,1816,16220,113,83,-170,0.03,0.1,0.24,-0.965454,-0.335429,11.790815,28.390484
1,4500,1580,15748,123,60,-39,0.03,0.1,0.24,-0.965271,-0.079429,11.774041,28.482111
2,3808,1500,15892,183,103,44,0.02,0.1,0.24,-0.965332,0.172668,11.740534,28.437096
3,3240,1640,16356,252,46,69,0.02,0.1,0.24,-0.965637,0.481099,11.647677,28.292665
4,3356,1588,15820,305,21,15,0.02,0.1,0.24,-0.965881,0.852383,11.626717,28.156546
5,3512,1928,15836,329,44,-51,0.01,0.1,0.24,-0.966003,1.305423,11.587146,28.071251
6,3784,2292,15412,298,67,-93,0.01,0.1,0.24,-0.965942,1.78554,11.53478,28.063654
7,4140,2504,14428,272,59,-87,0.01,0.1,0.24,-0.965759,2.241847,11.488347,28.096506
8,4164,2544,13644,319,96,-44,0.0,0.1,0.24,-0.965637,2.707158,11.460252,28.097408
9,4268,2508,13088,393,93,-31,-0.0,0.1,0.24,-0.965576,3.227041,11.4116,28.036396
10,4600,2432,11964,479,113,-73,-0.01,0.1,0.24,-0.965515,3.84158,11.389296,27.963619
11,4988,2548,11756,573,203,-102,-0.01,0.11,0.24,-0.965271,4.564462,11.31888,27.913992
12,4608,3024,11640,666,215,-54,-0.02,0.11,0.24,-0.965088,5.405879,11.174042,27.833206
13,4468,3480,10836,783,137,19,-0.03,0.11,0.24,-0.964966,6.362544,11.060494,27.645554
14,4496,3884,10272,968,104,64,-0.04,0.11,0.24,-0.964783,7.497826,11.052137,27.34107
15,4756,4428,11020,1197,83,68,-0.05,0.11,0.23,-0.964417,8.891651,11.071933,26.945274
16,5332,4964,11000,1357,21,116,-0.07,0.12,0.23,-0.963684,10.54987,11.165572,26.450579
17,5212,6036,10576,1466,74,209,-0.08,0.12,0.23,-0.96283,12.376483,11.324526,25.806288
18,3780,7100,10964,1555,333,227,-0.1,0.12,0.22,-0.961914,14.334943,11.352524,24.970381
19,2760,7848,11832,1534,504,105,-0.12,0.13,0.22,-0.960876,16.378393,10.984667,24.109982
20,2980,8256,11324,1483,530,-31,-0.13,0.12,0.22,-0.959351,18.397268,10.4168,23.410931
21,3636,9244,11612,1610,494,-52,-0.15,0.12,0.21,-0.957336,20.434299,9.832614,22.805944
22,4368,10920,11908,1906,329,56,-0.17,0.12,0.21,-0.954468,22.74946,9.403328,22.073578
23,4672,12328,13360,2205,151,294,-0.2,0.13,0.2,-0.950623,25.459425,9.282928,21.006582
24,4060,13832,14644,2392,-6,550,-0.22,0.13,0.2,-0.945923,28.447474,9.504226,19.50107
25,3204,14464,15804,2510,-150,703,-0.25,0.14,0.19,-0.940491,31.56605,9.997392,17.610233
26,3248,15256,16708,2528,-133,646,-0.27,0.15,0.18,-0.934204,34.732399,10.598155,15.573524
27,2800,16844,18004,2407,119,568,-0.3,0.16,0.17,-0.927368,37.806175,11.045389,13.584045
28,1924,17680,18968,2141,254,542,-0.32,0.16,0.16,-0.920837,40.590122,11.183568,11.729855
29,1084,18380,19140,1989,218,525,-0.34,0.16,0.15,-0.914795,43.012676,11.223665,10.061594
30,1404,18588,19468,2025,40,493,-0.36,0.16,0.14,-0.908508,45.320255,11.320638,8.505113
31,2104,19492,19888,2091,-88,452,-0.38,0.17,0.13,-0.901428,47.678513,11.560708,6.988759
32,1828,20472,20372,1992,-3,464,-0.4,0.17,0.12,-0.89386,50.021183,11.857909,5.488401
33,1092,20856,22116,1779,51,459,-0.41,0.17,0.12,-0.887024,52.096668,12.050374,4.094072
34,1168,20860,21688,1465,-63,400,-0.43,0.17,0.11,-0.881287,53.770096,12.205805,2.955981
35,1568,20668,20296,1211,-46,311,-0.44,0.17,0.11,-0.876587,55.08984,12.370622,2.065463
36,1792,20420,20088,1021,59,200,-0.44,0.18,0.1,-0.872742,56.150215,12.412992,1.39607
37,2136,20216,20048,827,111,142,-0.45,0.17,0.1,-0.869873,56.955391,12.325541,0.944699
38,2224,19744,19700,612,61,138,-0.46,0.17,0.1,-0.867981,57.487263,12.212763,0.635733
39,2096,19240,19300,419,49,126,-0.46,0.17,0.09,-0.867065,57.765976,12.149101,0.431253
40,1464,18484,18704,197,81,101,-0.46,0.17,0.09,-0.867126,57.803425,12.058852,0.347244
41,1204,17876,18612,-8,1,16,-0.46,0.17,0.09,-0.868286,57.565266,11.897175,0.457459
42,1700,17824,17864,-137,-170,-131,-0.46,0.17,0.09,-0.869873,57.164574,11.70657,0.785702
