seq,ax,ay,az,gx,gy,gz,qx,qy,qz,qw,roll,pitch,yaw
0,4408,1360,13864,142,245,-78,0.05,-0.09,0.56,0.82251,-1.155083,11.486448,-68.949188
1,3608,976,12448,126,277,-48,0.05,-0.09,0.56,0.822693,-1.035187,11.378942,-68.912193
2,3156,1408,11804,354,103,-174,0.05,-0.08,0.56,0.823425,-0.569155,11.015606,-68.763069
3,4208,2372,11084,534,-38,-237,0.05,-0.08,0.56,0.823853,-0.275866,10.986999,-68.661232
4,5280,2468,10888,651,-54,-169,0.06,-0.08,0.56,0.825012,1.027097,11.237521,-68.308174
5,5328,2780,10228,684,-54,-114,0.07,-0.07,0.56,0.825134,1.49833,11.344148,-68.230499
6,5892,3788,10020,854,-120,-10,0.08,-0.07,0.56,0.824646,3.079282,11.715284,-68.115509
7,6168,4388,9320,940,-136,78,0.08,-0.07,0.56,0.824097,3.699063,11.893799,-68.124878
8,4796,4612,8584,1083,-26,173,0.1,-0.06,0.56,0.821106,5.721269,12.396168,-68.344475
9,4660,5284,9180,1300,-79,138,0.11,-0.06,0.56,0.819824,6.477503,12.50477,-68.443413
10,6416,6252,9860,1576,-14,126,0.13,-0.05,0.56,0.815552,9.31385,12.938922,-68.605927
11,6616,6520,10848,1581,146,209,0.14,-0.04,0.56,0.813843,10.382472,13.042384,-68.652405
12,5528,7300,10432,1539,230,357,0.16,-0.03,0.57,0.807312,13.465352,13.107471,-69.013794
13,4708,8312,9688,1667,156,412,0.17,-0.02,0.57,0.804626,14.474535,13.105778,-69.202438
14,4388,10704,11116,2197,-95,444,0.19,-0.0,0.57,0.794983,18.092396,13.308568,-69.692345
15,4368,11852,12780,2431,-191,473,0.2,0.0,0.58,0.791016,19.574705,13.499098,-69.804359
16,4632,13816,14872,2568,-240,466,0.24,0.02,0.58,0.7771,24.48604,14.228028,-69.993996
17,4772,14552,15956,2499,-168,455,0.25,0.03,0.58,0.772095,26.16806,14.469102,-69.997185
18,4304,15484,16144,2239,-30,427,0.29,0.05,0.58,0.757019,30.849689,15.012053,-69.976761
19,3872,16072,14964,2218,87,356,0.3,0.06,0.59,0.752075,32.283714,15.118643,-69.965645
20,3072,18076,18072,2390,263,221,0.33,0.08,0.59,0.737366,36.648178,15.01615,-69.76889
21,3596,19360,18172,2451,116,235,0.33,0.09,0.59,0.732361,38.165279,14.892366,-69.627785
22,3312,20020,20372,2459,18,393,0.36,0.12,0.58,0.716003,42.74107,14.847524,-69.06813
23,3276,20268,20096,2407,-38,434,0.37,0.12,0.58,0.710205,44.205189,14.913237,-68.884697
24,912,20212,22292,2212,208,394,0.4,0.15,0.58,0.692566,48.284473,15.082183,-68.452705
25,256,20404,23200,2023,224,243,0.4,0.15,0.58,0.687256,49.456463,14.993757,-68.38105
26,2284,21360,22984,1667,208,-5,0.42,0.18,0.58,0.675293,52.417542,14.415566,-67.918472
27,3352,21900,23696,1462,233,2,0.42,0.18,0.58,0.672241,53.236637,14.18871,-67.73114
28,3356,21440,22560,1100,205,166,0.43,0.2,0.58,0.664185,55.077896,13.703585,-67.545219
29,2496,20824,22324,956,206,215,0.43,0.2,0.58,0.661682,55.505672,13.629628,-67.633232
30,2472,20100,22016,742,153,159,0.43,0.21,0.58,0.655518,56.442516,13.404539,-68.046982
31,2972,19768,21636,556,112,142,0.43,0.21,0.58,0.654114,56.645443,13.322051,-68.179443
32,2880,18616,20156,255,146,118,0.43,0.21,0.58,0.65155,56.802723,13.158113,-68.75309
33,2500,18012,19160,97,181,75,0.43,0.21,0.59,0.651245,56.720276,13.085133,-69.010284
34,2012,17500,18524,-83,169,-30,0.43,0.22,0.59,0.651917,56.192493,12.725214,-69.856651
35,2172,16984,17848,-145,70,-113,0.42,0.22,0.59,0.652771,55.961487,12.567488,-70.069275
36,2324,16968,17156,-255,-23,-276,0.42,0.22,0.59,0.657043,55.207104,12.0647,-70.33033
37,2696,17208,16520,-307,-46,-370,0.42,0.22,0.59,0.659119,54.941296,11.862432,-70.278534
