seq,ax,ay,az,gx,gy,gz,qx,qy,qz,qw,roll,pitch,yaw
0,3384,104,16704,-92,272,-73,0.11,-0.02,0.98,-0.15448,-4.737,11.560306,162.218994
1,2740,-48,15076,147,-99,-85,0.1,-0.02,0.98,-0.153992,-4.623349,11.437925,162.272064
2,3548,144,14664,305,-134,-158,0.11,-0.02,0.98,-0.153259,-4.294622,11.591395,162.319717
3,4116,1028,16144,319,-137,-123,0.11,-0.02,0.98,-0.152161,-3.791579,11.765472,162.392822
4,4284,624,14268,166,-220,-8,0.11,-0.01,0.98,-0.151733,-3.350159,12.042395,162.386795
5,3980,688,12512,121,-195,6,0.11,-0.01,0.98,-0.1521,-3.118901,12.355197,162.301315
6,4776,964,10856,250,-215,-49,0.11,-0.01,0.98,-0.152283,-2.857468,12.674109,162.2341
7,5644,1308,10236,449,-194,-61,0.12,-0.0,0.98,-0.152222,-2.37265,13.062876,162.165741
8,6348,1776,9992,594,-145,-21,0.12,0.0,0.98,-0.152344,-1.651353,13.453746,162.049942
9,6568,2432,9092,670,-81,94,0.12,0.01,0.98,-0.15332,-0.791415,13.815823,161.815567
10,6172,2136,8736,797,-85,261,0.12,0.02,0.98,-0.155884,0.149226,14.124565,161.386612
11,4796,1788,8552,1063,-224,412,0.12,0.03,0.98,-0.160461,1.22594,14.487005,160.695984
12,4824,2056,8684,1459,-448,351,0.12,0.04,0.98,-0.16626,2.658032,15.009561,159.807388
13,5456,3984,9972,1756,-464,265,0.13,0.06,0.97,-0.171448,4.585768,15.734466,158.919556
14,5632,5540,10836,1813,-422,274,0.13,0.08,0.97,-0.176392,6.870512,16.439587,158.031311
15,5120,6112,11336,1741,-259,283,0.13,0.1,0.97,-0.181335,9.189754,17.040115,157.167511
16,4660,6848,11832,1789,-238,194,0.13,0.12,0.97,-0.186096,11.458997,17.431158,156.383484
17,5896,8720,12008,1966,-269,96,0.13,0.14,0.96,-0.189697,13.91968,17.822218,155.742172
18,6228,10184,13556,2122,-179,141,0.13,0.17,0.96,-0.192993,16.68759,18.21394,155.144135
19,5780,11100,14140,2120,-111,174,0.13,0.19,0.95,-0.197021,19.571363,18.503923,154.517792
20,5136,12028,14124,2004,-3,154,0.12,0.22,0.95,-0.200989,22.364363,18.649891,153.978958
21,4452,12508,15100,2070,66,109,0.12,0.24,0.94,-0.204712,25.060757,18.648184,153.554504
22,5140,13656,16048,2207,10,31,0.11,0.26,0.94,-0.207886,27.867996,18.553703,153.262817
23,5796,15608,17976,2212,91,-22,0.11,0.29,0.93,-0.210205,30.803907,18.438852,153.114487
24,5760,16952,18800,2133,121,27,0.1,0.31,0.92,-0.212402,33.664783,18.230343,153.059601
25,4480,17096,19000,2094,112,133,0.09,0.33,0.91,-0.215271,36.366661,18.027805,152.980789
26,4036,17588,21000,2112,177,71,0.08,0.35,0.91,-0.218384,38.962902,17.800375,152.930786
27,4384,18424,22556,2023,151,7,0.08,0.37,0.9,-0.220764,41.453217,17.441254,153.042297
28,4428,18692,22828,1790,190,15,0.07,0.39,0.89,-0.222595,43.678825,17.080046,153.227402
29,3152,18792,23664,1566,245,54,0.06,0.4,0.89,-0.224731,45.525402,16.685284,153.397873
30,2688,19344,23828,1413,124,47,0.05,0.41,0.88,-0.226685,47.06171,16.263199,153.588791
31,3536,19244,23460,1268,58,8,0.05,0.42,0.88,-0.227661,48.426285,15.940852,153.823761
32,3576,19212,24004,1024,138,18,0.04,0.43,0.87,-0.228577,49.546097,15.632895,154.038651
33,3208,18788,23144,781,145,57,0.04,0.44,0.87,-0.229858,50.290283,15.321897,154.180344
34,2640,18248,22988,597,115,78,0.03,0.44,0.87,-0.231262,50.759747,15.044778,154.261139
35,2044,17476,21660,388,49,41,0.03,0.44,0.87,-0.232483,50.986176,14.80176,154.305786
36,2312,17012,20888,239,92,-111,0.03,0.44,0.87,-0.232544,51.027054,14.492545,154.446716
37,3136,17164,20468,121,67,-222,0.02,0.44,0.87,-0.231384,50.959831,14.057304,154.72551
38,3612,16772,19940,-56,14,-194,0.02,0.44,0.87,-0.229675,50.764355,13.657575,155.013138
39,3128,16148,19176,-225,-86,-159,0.02,0.44,0.87,-0.228088,50.377136,13.385443,155.19899
40,2876,15916,17944,-355,-257,-216,0.02,0.43,0.87,-0.22583,49.847813,13.206361,155.380554
41,3468,15888,16916,-418,-342,-307,0.02,0.43,0.88,-0.222046,49.300953,13.089808,155.665298
42,4340,15780,16352,-427,-336,-339,0.02,0.42,0.88,-0.217407,48.777134,12.996376,156.019745
