seq,ax,ay,az,gx,gy,gz,qx,qy,qz,qw,roll,pitch,yaw,rax,ray,raz,wx,wy,wz
0,-3548,5148,17164,502,-201,-90,-0.17,-0.01,0.14,-0.974854,19.085403,-4.159485,16.650997,-1003,-129,391,-1007,32,399
1,-3596,5192,18064,440,-184,-131,-0.17,-0.01,0.15,-0.974365,19.346275,-4.130082,16.730501,-1045,-151,596,-1060,-44,586
2,-4512,5044,18404,312,-109,-194,-0.17,-0.01,0.15,-0.97345,19.746099,-4.126554,16.950672,-1143,-202,949,-1181,-181,905
3,-6400,4700,21316,293,-80,-273,-0.18,-0.01,0.15,-0.972595,20.026794,-4.255326,17.244497,-1467,-268,1314,-1522,-272,1248
4,-7964,4140,23464,182,-107,-395,-0.18,-0.01,0.15,-0.97168,20.184198,-4.535167,17.685423,-2016,-388,2155,-2104,-507,2042
5,-7844,4752,26460,-5,-126,-547,-0.18,-0.01,0.16,-0.970825,20.123358,-4.898292,18.31776,-2572,-517,3141,-2692,-782,2981
6,-7384,5520,28416,-378,48,-650,-0.18,-0.02,0.17,-0.970154,19.74601,-5.310859,19.133835,-2777,-401,4335,-2859,-987,4185
7,-7588,6492,31688,-788,443,-733,-0.17,-0.02,0.17,-0.96991,18.907696,-5.952791,20.06086,-2779,-61,5427,-2707,-980,5375
8,-9080,6672,32767,-1211,659,-789,-0.16,-0.03,0.18,-0.969971,17.589453,-7.011987,21.057098,-2743,447,6725,-2355,-855,6832
9,-9780,6468,32767,-1614,525,-928,-0.15,-0.05,0.19,-0.970154,15.77768,-8.297672,22.11091,-2990,904,7553,-2171,-446,7867
10,-9236,7208,32767,-2081,254,-1069,-0.13,-0.06,0.2,-0.970337,13.472688,-9.409391,23.265806,-3140,1329,7967,-1862,133,8462
11,-9448,7384,32767,-2781,369,-1250,-0.11,-0.07,0.21,-0.970398,10.6041,-10.201071,24.474171,-3077,1910,8158,-1277,948,8782
12,-9040,7868,31404,-3416,520,-1586,-0.08,-0.08,0.22,-0.969849,6.924623,-11.07232,25.753603,-3056,2564,8240,-605,1978,8917
13,-7036,9040,27488,-3831,654,-1950,-0.05,-0.1,0.23,-0.96759,2.563152,-12.041648,27.240164,-2822,3411,7844,375,3224,8401
14,-4716,9908,21880,-4050,629,-2196,-0.01,-0.11,0.24,-0.963074,-2.219725,-12.914447,28.907082,-2140,4464,6703,1716,4442,6838
15,-1596,9980,14640,-3942,426,-2318,0.03,-0.13,0.26,-0.956299,-7.17089,-13.422268,30.632866,-1205,5525,4768,2964,5310,4210
16,1112,9148,9272,-3509,106,-2302,0.06,-0.14,0.28,-0.947815,-11.926123,-13.363442,32.351498,-52,6362,2173,3861,5445,801
17,4680,8220,5456,-3012,-233,-2142,0.1,-0.15,0.3,-0.93866,-16.128199,-12.611586,34.00399,1159,6839,-327,4401,4799,-2413
18,5740,6304,2024,-2654,-338,-1805,0.13,-0.15,0.31,-0.929626,-19.701197,-11.276614,35.482407,2394,7041,-2468,4765,3597,-5074
19,5304,3916,-2052,-2362,-225,-1463,0.16,-0.15,0.33,-0.920898,-22.86488,-9.823449,36.615898,3146,6827,-4384,4483,2184,-7130
