seq,ax,ay,az,gx,gy,gz,qx,qy,qz,qw,roll,pitch,yaw,rax,ray,raz,wx,wy,wz
0,5160,10036,25104,990,-1457,481,0.1,-0.09,0.25,0.958618,8.406946,12.419309,-30.358866,171,3148,1983,-1664,2308,2401
1,6420,7952,26128,852,-989,304,0.1,-0.09,0.25,0.95697,9.104115,13.200426,-30.674816,349,3204,2709,-1653,2212,3177
2,6148,11388,27924,738,-545,371,0.12,-0.1,0.26,0.953979,10.335137,14.405818,-31.240446,673,3021,4041,-1498,1739,4542
3,5208,10500,27380,500,-203,210,0.13,-0.1,0.26,0.951599,11.413422,14.995096,-31.7211,728,3350,5002,-1759,1645,5564
4,4896,12164,29212,346,1,83,0.14,-0.1,0.26,0.950134,12.206685,15.156704,-31.972914,630,3513,5553,-1980,1480,6119
5,5416,14348,31656,519,413,-241,0.14,-0.1,0.26,0.949585,12.956707,14.92875,-31.966583,517,3917,6219,-2306,1485,6837
6,5608,16108,32140,432,1101,-612,0.15,-0.09,0.26,0.950073,14.00609,14.067997,-31.531513,663,4567,7165,-2455,1724,7976
7,6320,15220,30964,-23,1602,-961,0.15,-0.07,0.26,0.952148,14.969681,12.332709,-30.593281,966,5129,7592,-2220,2202,8664
8,6984,14180,29820,-270,2143,-1223,0.15,-0.05,0.25,0.95575,15.402208,9.999678,-29.25412,1486,5143,7596,-1405,2583,8814
9,7004,13124,26308,-511,2703,-1460,0.14,-0.03,0.24,0.960022,15.454572,7.069769,-27.695469,2147,4984,7192,-310,3078,8460
10,6436,11340,23644,-679,3082,-1663,0.14,-0.0,0.23,0.964478,15.174881,3.553306,-25.970222,2769,4641,6092,826,3610,7251
11,5864,13124,24276,-692,3474,-1908,0.12,0.03,0.21,0.968506,14.651644,-0.353668,-24.146877,3216,4265,5152,1759,3931,6043
12,6292,10064,17948,-796,4098,-2389,0.11,0.07,0.2,0.971497,14.054161,-4.804405,-22.132183,3749,4348,4544,2588,4536,5129
13,5924,7108,12920,-747,4089,-2664,0.1,0.11,0.18,0.973328,13.198878,-9.909877,-19.783846,4458,3816,2689,3465,4745,2669
14,5360,2036,7220,-893,3933,-2620,0.08,0.15,0.16,0.97345,12.031948,-14.99194,-17.287008,5150,2777,778,4132,4213,-38
15,3184,1808,2080,-803,3383,-2340,0.06,0.18,0.14,0.971802,10.318916,-19.814505,-15.033392,5549,1489,-1588,4024,3117,-3099
16,1856,-412,1224,-836,2528,-2175,0.04,0.23,0.11,0.967041,7.589245,-25.755642,-12.106907,5407,553,-4308,2679,1829,-6129
