seq,ax,ay,az,gx,gy,gz,qx,qy,qz,qw,roll,pitch,yaw,rax,ray,raz,wx,wy,wz
0,6432,-3508,19872,578,363,-315,-0.06,-0.18,0.08,0.978882,-9.4124,19.437859,-8.653364,243,286,2106,-561,526,1995
1,5492,-36,23768,561,259,6,-0.06,-0.17,0.08,0.980042,-8.581122,19.037457,-8.735676,242,104,2672,-712,371,2561
2,4452,3312,25664,239,344,8,-0.05,-0.17,0.08,0.98114,-7.799359,18.551332,-8.960571,112,802,3517,-1192,1063,3235
3,4904,3288,27884,69,575,-297,-0.05,-0.16,0.08,0.982544,-7.186218,17.861025,-8.914542,9,1753,4458,-1685,2018,4003
4,5548,1748,27916,272,922,-537,-0.04,-0.15,0.08,0.984558,-6.487599,16.869663,-8.436772,183,1879,5203,-1669,2198,4796
5,5464,992,28208,322,1128,-552,-0.04,-0.14,0.07,0.987,-5.578411,15.597337,-7.83907,480,1614,5667,-1339,1970,5410
6,5196,1192,27880,166,1269,-464,-0.03,-0.13,0.07,0.989319,-4.898064,14.09564,-7.239071,658,1254,5850,-997,1622,5709
7,4832,2816,27356,141,1410,-529,-0.03,-0.11,0.06,0.991516,-4.35387,12.45238,-6.660482,780,1367,5799,-692,1727,5712
8,5984,1104,26968,217,1644,-671,-0.03,-0.09,0.05,0.993652,-3.763054,10.666298,-5.932872,1049,1359,5721,-206,1719,5716
9,5640,792,26032,313,1935,-681,-0.02,-0.08,0.05,0.995728,-3.14893,8.619652,-5.111307,1465,1014,5493,505,1369,5587
10,5312,-432,22760,221,2147,-718,-0.02,-0.06,0.04,0.997498,-2.570603,6.307783,-4.276422,1859,808,4925,1225,1128,5058
11,4932,556,19980,115,2171,-688,-0.02,-0.03,0.03,0.998718,-2.228585,3.878901,-3.424288,2136,551,3862,1824,815,3972
12,3828,-956,19540,133,2157,-758,-0.02,-0.01,0.02,0.999451,-2.000063,1.494188,-2.541462,2323,419,2806,2223,617,2848
13,3500,-2208,16768,241,2245,-821,-0.02,0.01,0.01,0.999695,-1.806031,-0.947947,-1.581586,2435,52,1939,2462,179,1895
14,2736,-920,14952,307,2253,-766,-0.01,0.03,0.0,0.99939,-1.609069,-3.420984,-0.580723,2498,-355,993,2555,-305,851
15,1368,296,10932,120,2270,-834,-0.01,0.05,-0.0,0.998535,-1.42181,-5.976676,0.390468,2408,-110,-120,2381,-135,-367
16,264,-2648,7724,63,2117,-917,-0.01,0.07,-0.01,0.997009,-1.508268,-8.513478,1.490469,2275,-338,-1553,2009,-438,-1863
17,156,-5124,4436,259,1890,-984,-0.01,0.1,-0.02,0.995056,-1.70913,-10.895349,2.684831,2197,-790,-3109,1526,-962,-3443
18,-212,-4372,2944,363,1525,-804,-0.01,0.11,-0.03,0.992859,-1.840354,-12.944855,3.923853,2197,-1454,-4466,1030,-1677,-4796
19,-900,-2812,2000,363,1115,-676,-0.01,0.13,-0.04,0.990784,-1.883385,-14.574945,4.971575,2072,-1552,-5456,483,-1782,-5749
20,-164,-3388,2848,405,695,-651,-0.01,0.14,-0.05,0.989075,-1.835638,-15.734389,5.942783,1996,-1437,-6055,114,-1652,-6321
21,-488,-4536,3532,459,521,-486,-0.01,0.14,-0.06,0.987854,-1.751398,-16.432903,6.856228,2139,-1662,-6068,120,-1875,-6373
22,-1332,-1428,1684,437,410,-300,-0.0,0.15,-0.06,0.986816,-1.584062,-16.986553,7.521493,2116,-1547,-6214,-9,-1732,-6517
23,-516,-904,1056,565,172,-404,0.0,0.15,-0.07,0.986023,-1.208035,-17.421894,8.114265,2043,-946,-6712,-206,-1068,-6994
24,632,-2576,1792,705,-23,-392,0.01,0.15,-0.07,0.985535,-0.66258,-17.505777,8.876368,2232,-888,-6825,-67,-967,-7169
25,240,-1452,-708,554,-210,-158,0.01,0.15,-0.08,0.985413,-0.129217,-17.36569,9.487821,2391,-1081,-7124,-19,-1107,-7510
26,160,-772,-228,523,-570,-44,0.02,0.15,-0.08,0.985779,0.375292,-16.940399,9.799044,2422,-941,-7601,-44,-895,-7982
27,-276,-116,-796,539,-880,-34,0.02,0.14,-0.08,0.986694,0.974297,-16.104279,9.971177,2290,-658,-7847,-64,-520,-8183
28,452,-68,1180,687,-1233,-82,0.02,0.13,-0.08,0.987976,1.649159,-14.866432,10.159245,2096,-509,-7864,-41,-279,-8149
29,1220,684,4120,879,-1471,-41,0.03,0.11,-0.09,0.989441,2.542044,-13.186774,10.414405,2049,-538,-7364,271,-259,-7653
30,1208,2516,5632,623,-1594,76,0.04,0.09,-0.09,0.990906,3.534877,-11.208106,10.523523,1983,-272,-6545,684,17,-6809
31,2108,3300,4740,476,-1753,-18,0.04,0.08,-0.09,0.99231,4.312792,-9.071404,10.478335,1864,263,-6066,998,557,-6247
32,4192,200,5800,463,-1983,-109,0.05,0.05,-0.09,0.993347,4.969889,-6.649457,10.567554,1974,183,-5803,1392,450,-5954
33,4792,104,5232,330,-2193,47,0.05,0.03,-0.09,0.994141,5.427134,-3.905154,10.604613,2108,-277,-5593,1739,-57,-5724
34,6128,344,7508,219,-2578,62,0.05,0.0,-0.09,0.994507,5.760031,-0.787825,10.485076,2110,-429,-5373,2022,-258,-5417
35,8612,-2304,12924,65,-2972,59,0.05,-0.03,-0.09,0.99408,5.890622,2.906662,10.419972,2344,-858,-4418,2448,-872,-4358
36,9388,-1924,19228,141,-3082,252,0.04,-0.07,-0.09,0.992554,5.788411,7.03354,10.304034,2627,-1413,-2534,2660,-1687,-2321
37,8756,1536,23476,127,-2889,344,0.04,-0.1,-0.09,0.98999,5.787481,11.0952,9.972174,2485,-1114,-38,2213,-1551,330
38,7888,2640,25360,190,-2674,236,0.04,-0.13,-0.09,0.986572,5.896766,14.720834,9.702255,2056,-605,2050,1305,-1078,2434
39,8016,4480,30352,156,-2689,119,0.04,-0.16,-0.09,0.982483,6.167507,18.007742,9.557641,1513,105,3755,219,-347,4028
40,7732,3308,32767,86,-2371,-8,0.04,-0.19,-0.09,0.977844,6.453804,21.044434,9.62987,1038,593,6041,-1204,149,6037
41,6912,2504,32767,-13,-1818,27,0.04,-0.21,-0.09,0.973755,6.615305,23.367064,9.825268,596,510,7431,-2424,142,7065
42,7304,5188,32767,-295,-1527,121,0.03,-0.22,-0.09,0.970764,6.469364,25.047878,9.975928,216,829,8208,-3248,573,7564
43,8428,6956,32767,-372,-898,-17,0.03,-0.23,-0.09,0.968384,6.19394,26.285294,10.215754,131,1542,8649,-3559,1362,7915
44,10124,3636,32767,-258,148,-405,0.03,-0.23,-0.09,0.967773,6.098606,26.477655,10.688514,464,1820,8858,-3330,1613,8263
45,11576,668,32767,-206,869,-447,0.03,-0.23,-0.1,0.968994,6.011359,25.602856,11.344596,1164,1075,8910,-2727,759,8595
46,11884,1688,32767,-118,1478,-300,0.03,-0.21,-0.1,0.971619,5.804899,24.026184,11.795608,1881,440,8871,-1948,-17,8866
47,10752,3816,32767,-213,2017,-222,0.03,-0.19,-0.1,0.975281,5.583171,21.836044,11.999239,2321,470,8778,-1170,-122,9015
48,9700,2916,31796,-222,2543,-353,0.03,-0.17,-0.11,0.979492,5.330166,18.985929,12.229591,2559,687,8650,-419,-23,9036
49,9012,2368,26752,-137,2832,-453,0.03,-0.14,-0.11,0.983521,5.155348,15.666826,12.563725,2738,651,7768,505,-172,8244
50,7200,3136,23100,-113,2960,-451,0.03,-0.11,-0.11,0.986755,5.047386,12.210157,12.95881,2851,499,6277,1399,-399,6756
51,6064,4832,19424,-246,2951,-569,0.03,-0.08,-0.12,0.989136,4.97819,8.687441,13.398607,2776,972,4534,2127,61,4967
52,5920,2904,17540,-239,2933,-810,0.04,-0.05,-0.12,0.990234,4.884931,5.250867,14.12474,2790,1143,2994,2638,228,3322
53,5600,188,13820,-194,3009,-899,0.04,-0.02,-0.13,0.990234,4.710854,1.804149,15.109871,2966,723,1544,2967,-195,1690
54,4608,-188,9848,-171,2923,-791,0.04,0.01,-0.14,0.989258,4.445885,-1.644932,16.126949,3142,88,-143,3041,-772,-225
55,3136,-600,5872,-188,2657,-664,0.04,0.04,-0.15,0.98761,4.114031,-4.899242,17.051262,3165,-356,-1897,2800,-1069,-2180
56,1944,-1752,3072,-127,2211,-576,0.04,0.06,-0.15,0.985474,3.776293,-7.812621,17.863285,3056,-583,-3716,2304,-1069,-4126
57,1404,-2012,3536,30,1721,-411,0.04,0.08,-0.16,0.983215,3.50915,-10.17786,18.570053,2868,-952,-4967,1646,-1206,-5443
