timestamp,seq,ax,ay,az,gx,gy,gz,qx,qy,qz,qw,roll,pitch,yaw,rax,ray,raz,wx,wy,wz
0,0,11388,12592,32767,106,2925,-411,0.17,-0.06,0.65,0.741272,10.18631,17.567327,-81.088547,2350,4372,8082,-2899,74,9029
20,1,11424,14024,32767,-33,3437,-590,0.16,-0.05,0.65,0.743835,10.373466,15.609431,-80.990753,2838,4570,8171,-2927,832,9296
40,2,10920,12756,32767,-250,3817,-978,0.13,-0.01,0.65,0.750061,10.695764,11.262115,-80.621559,3720,4889,8245,-2918,2401,9560
60,3,10876,11308,25504,-699,3968,-1218,0.11,0.02,0.64,0.757629,10.62592,6.647588,-80.003136,4426,4679,7776,-2528,3906,8960
80,4,10624,11208,20096,-886,3914,-1491,0.08,0.04,0.64,0.765198,10.119458,2.061327,-79.266479,5094,4483,6089,-2394,5378,6960
100,5,10952,9856,15520,-946,3947,-1891,0.05,0.07,0.63,0.773438,9.414621,-2.388643,-78.202316,5685,4402,4010,-2425,6497,4434
120,6,11228,5800,9448,-979,4143,-2145,0.02,0.09,0.61,0.782776,8.52537,-6.885884,-76.715706,6434,4014,1862,-2072,7345,1647
140,7,10608,3024,1380,-1069,4211,-2093,-0.01,0.12,0.6,0.79187,7.272675,-11.57988,-75.02858,7182,3044,-789,-1205,7526,-1830
160,8,8320,1324,-4756,-1032,4013,-1939,-0.05,0.14,0.58,0.799011,5.627216,-16.330835,-73.417336,7638,1969,-3835,-385,6717,-5624
180,9,6692,1696,-11628,-589,3687,-1948,-0.08,0.17,0.57,0.803833,3.866548,-20.987673,-71.95369,7665,1320,-6831,-130,5066,-9024
200,10,5584,-1996,-16640,-20,2952,-2049,-0.11,0.19,0.55,0.808105,2.420313,-25.379913,-70.40374,7573,928,-9849,-288,2948,-12099
220,11,4836,-3292,-18260,507,1900,-1767,-0.13,0.22,0.52,0.813477,1.200565,-29.005936,-68.601929,7424,-36,-12415,-11,523,-14455
240,12,4828,-1940,-16744,1002,894,-1483,-0.14,0.23,0.51,0.819275,0.485331,-31.444466,-66.879486,7299,-681,-13937,36,-1187,-15701
260,13,5336,-796,-15476,1299,106,-1323,-0.14,0.24,0.49,0.826111,0.518621,-32.685261,-65.211418,7207,-758,-14461,-288,-1833,-16066
280,14,5304,-2596,-14672,1267,-567,-1158,-0.13,0.25,0.47,0.83429,0.998947,-32.955101,-63.442921,7160,-778,-14499,-509,-1889,-16069
300,15,5932,-1676,-14972,1287,-1205,-848,-0.12,0.25,0.46,0.843018,1.52635,-32.397919,-61.63924,7091,-1102,-14464,-344,-1883,-16032
320,16,6652,-328,-13992,1468,-1883,-658,-0.11,0.24,0.45,0.851746,2.36463,-31.014858,-59.938702,7062,-1118,-14466,-352,-1469,-16063
340,17,8544,-60,-12976,1751,-2515,-608,-0.09,0.23,0.44,0.861267,3.668256,-28.736174,-58.144432,7076,-929,-14348,-395,-587,-16007
