seq,ax,ay,az,gx,gy,gz,qx,qy,qz,qw,roll,pitch,yaw,rax,ray,raz,wx,wy,wz
0,-1892,1460,11300,621,-263,345,-0.02,0.04,0.14,0.989563,-1.493961,-4.965553,-15.81926,-375,444,-1412,-588,257,-1385
1,1400,6612,20280,611,-760,389,-0.01,0.04,0.14,0.989319,-0.447268,-4.218431,-16.230099,-163,1088,-938,-523,973,-931
2,-1120,5272,22196,330,-68,98,0.0,0.03,0.14,0.989197,0.530918,-3.414859,-16.507956,241,1946,844,-270,1941,846
3,-1416,10388,16472,67,447,96,0.0,0.03,0.14,0.988892,1.095911,-3.615128,-16.645138,59,2612,1327,-602,2518,1370
4,-2380,14092,14340,44,223,-240,0.01,0.04,0.14,0.988647,1.693628,-4.156933,-16.646767,-133,4009,440,-1237,3798,566
5,-1296,14688,17344,106,-95,-902,0.02,0.04,0.14,0.989197,2.50318,-4.32285,-16.054878,-283,5329,49,-1735,5037,302
6,-444,11680,19488,-9,-8,-1395,0.02,0.04,0.13,0.990601,3.199898,-4.282791,-14.680182,-46,5697,431,-1445,5476,749
7,732,10540,19160,75,157,-1573,0.03,0.04,0.11,0.99231,3.631945,-4.373525,-12.871689,343,5340,1038,-759,5226,1343
8,532,13816,17720,90,276,-1693,0.03,0.04,0.1,0.993835,4.121866,-4.638381,-10.924356,679,5371,1067,-250,5333,1390
9,1048,14472,18756,85,249,-2099,0.04,0.05,0.08,0.995178,4.72545,-5.012634,-8.679751,871,5857,976,73,5841,1373
10,1764,14360,17708,186,337,-2507,0.04,0.05,0.05,0.996338,5.327778,-5.432931,-5.918614,1140,6052,1107,622,6030,1548
11,3344,11604,17800,222,365,-2962,0.05,0.05,0.03,0.996948,5.924397,-5.972528,-2.631595,1608,5988,899,1421,5952,1336
12,3976,9736,17976,249,440,-3151,0.06,0.06,-0.01,0.996826,6.314483,-6.553111,1.105834,2162,5162,947,2353,5010,1252
13,4552,10820,16988,187,485,-3310,0.06,0.06,-0.04,0.995544,6.586184,-7.21242,4.994801,2628,4762,833,3108,4420,1032
14,5516,10116,16056,185,518,-3633,0.06,0.06,-0.08,0.992981,6.723954,-7.914579,9.164491,3123,4511,576,3842,3902,659
15,6744,7072,16128,349,515,-3981,0.07,0.07,-0.11,0.98877,6.775594,-8.643918,13.748078,3706,4075,343,4576,3073,255
