seq,ax,ay,az,gx,gy,gz,qx,qy,qz,qw,roll,pitch,yaw,rax,ray,raz,wx,wy,wz
0,5912,10208,25204,20,-280,100,0.22,-0.16,0.11,0.955322,24.317829,20.891285,-17.355503,252,872,3720,-971,-901,3592
1,6328,18312,32767,-6,138,46,0.22,-0.16,0.11,0.955505,24.200323,20.849834,-17.398655,6,2252,5677,-2094,-613,5703
2,7788,18312,32767,-57,895,-627,0.22,-0.15,0.11,0.956787,24.383373,19.921198,-16.919857,447,4102,7358,-2519,305,8044
3,8508,15944,32684,7,1633,-1127,0.22,-0.14,0.11,0.9599,24.570778,17.899857,-15.645052,1158,4576,8192,-1866,479,9255
4,9460,16064,32767,119,2241,-1458,0.22,-0.11,0.1,0.963562,24.838568,15.136135,-13.963922,1983,4611,8608,-705,472,9927
5,9724,17976,30580,130,2677,-1742,0.22,-0.08,0.09,0.967224,25.177708,11.634957,-11.985182,2746,4749,8355,650,837,9937
6,9612,18524,27692,80,3088,-2109,0.22,-0.05,0.07,0.970215,25.565411,7.731367,-9.707176,3474,5075,8041,2019,1365,9824
7,11084,18064,28396,138,3352,-2558,0.23,-0.02,0.06,0.972107,26.010479,3.326096,-7.036977,4193,5310,7248,3478,1981,9069
8,11264,12996,25240,206,4102,-3014,0.23,0.02,0.04,0.972595,26.404242,-1.542158,-3.920704,5448,4867,6901,5531,1792,8194
9,9480,12528,20284,73,4564,-2981,0.23,0.07,0.02,0.97113,26.59462,-7.206996,-0.513429,6268,3699,5692,6990,1270,5905
10,10220,12384,12932,-430,5013,-2965,0.22,0.12,0.0,0.967346,26.44083,-13.204697,2.749408,7043,3449,4106,7954,1750,3465
11,8504,10452,-3988,-214,5101,-3002,0.22,0.17,-0.01,0.960388,26.140369,-19.714323,6.058797,7773,3030,464,7759,2940,-973
12,3184,9440,-9624,367,3618,-3085,0.22,0.22,-0.03,0.949097,26.482592,-26.107962,9.925074,7585,2453,-4476,5340,4428,-5952
13,2952,7876,4836,607,2043,-3250,0.22,0.26,-0.06,0.937927,26.78496,-30.921625,14.392427,6966,1983,-6063,3595,4548,-7455
14,3588,4664,6160,469,2248,-3354,0.22,0.29,-0.08,0.92865,26.172243,-34.564507,18.946899,6993,1444,-4332,4027,3062,-6643
15,2596,1464,-2536,425,2485,-3185,0.22,0.31,-0.11,0.917419,25.026634,-38.586525,23.68396,7108,330,-4266,3402,1814,-7345
16,804,1452,-10312,636,1996,-2931,0.22,0.34,-0.14,0.903687,23.892572,-42.769619,28.607893,7023,-498,-6076,1506,1817,-8994
