seq,ax,ay,az,gx,gy,gz,qx,qy,qz,qw,roll,pitch,yaw,rax,ray,raz,wx,wy,wz
0,-3484,1552,-2172,-436,-630,134,0.16,0.38,-0.1,0.907593,18.092993,-45.47411,23.080809,3468,-389,-5806,-1467,1557,-6427
1,-1580,2952,-1864,-228,-1064,282,0.16,0.37,-0.1,0.911011,17.75769,-44.593872,22.24947,3844,-563,-6275,-1462,1500,-7076
2,-1384,3388,-3212,-46,-1261,254,0.16,0.36,-0.09,0.915405,17.684551,-43.280422,21.386217,4142,-547,-6586,-1276,1587,-7527
3,872,2744,-4896,100,-1570,80,0.16,0.35,-0.09,0.920044,17.754004,-41.758251,20.740522,4535,-381,-7249,-1134,1948,-8256
4,2280,-992,-4224,108,-1980,110,0.16,0.33,-0.1,0.925598,17.633904,-39.823536,20.273836,5061,-875,-7784,-886,1614,-9141
5,3420,-568,-4976,-126,-2384,535,0.16,0.31,-0.1,0.932922,17.289898,-37.292725,19.391556,5479,-1685,-8127,-558,869,-9890
6,5332,2192,-5940,-248,-3255,802,0.16,0.28,-0.09,0.9422,17.002083,-33.96035,17.809265,5790,-1724,-8922,-141,980,-10728
7,7352,1028,1996,-230,-4266,868,0.15,0.24,-0.09,0.953735,16.70076,-29.254784,15.888591,6103,-1421,-8897,1088,1080,-10772
8,7728,4672,10600,-114,-4557,1166,0.15,0.19,-0.09,0.966125,16.282578,-23.26202,13.830942,6148,-1348,-6898,2939,291,-8857
9,7092,11508,14464,13,-4449,1102,0.15,0.14,-0.08,0.976013,16.283413,-16.934549,11.759213,5652,23,-4493,4277,767,-5765
10,6748,13988,21528,44,-4450,724,0.15,0.08,-0.08,0.982239,16.617811,-10.760068,10.159079,4990,1886,-2214,4878,1835,-2485
11,5096,16900,28684,47,-4223,409,0.15,0.03,-0.08,0.985229,16.959026,-4.852424,9.158839,3984,3343,896,4496,2326,1488
12,2936,20988,32767,129,-3823,7,0.15,-0.02,-0.08,0.985291,17.421066,0.366913,8.692267,2700,4935,3964,3195,3049,5276
13,376,22948,32767,305,-3285,-645,0.15,-0.05,-0.09,0.982605,18.310316,4.56779,8.951286,1227,6488,6146,1381,4040,7945
14,-1096,20168,32767,208,-2751,-1323,0.16,-0.08,-0.1,0.978149,19.495584,7.570137,10.132461,-127,7225,7386,-332,4541,9274
15,-1024,18964,32767,-162,-2365,-1812,0.16,-0.11,-0.12,0.973083,20.452864,9.54891,12.170828,-1140,7040,8089,-1633,4395,9710
16,2360,18228,32767,-630,-2031,-2271,0.16,-0.12,-0.15,0.967712,20.950485,10.851905,14.987989,-1464,6726,8478,-2104,4191,9861
17,3552,15512,32767,-742,-1066,-2635,0.16,-0.13,-0.18,0.962097,20.981691,11.515582,18.459669,-948,6019,8677,-1750,3479,9860
18,5436,14064,32767,-667,544,-3139,0.16,-0.13,-0.21,0.956604,20.988981,10.65782,22.232872,-116,5530,8752,-871,2705,9955
19,7732,10188,32767,-759,1792,-3558,0.16,-0.11,-0.24,0.951111,20.734314,7.979139,26.349775,1092,4555,8733,344,1149,9836
20,9372,5488,32767,-995,2617,-3736,0.16,-0.08,-0.28,0.944824,19.926258,4.218073,30.692511,2524,3055,8670,1493,-1079,9351
21,10572,848,30168,-1334,3251,-3639,0.15,-0.05,-0.31,0.937744,18.317194,-0.131892,35.028103,4066,1406,8519,2491,-3505,8519
22,11080,-3420,22840,-1290,3753,-3353,0.15,-0.01,-0.34,0.929688,16.065098,-4.788598,39.100224,5460,-282,7136,3225,-5542,6299
23,10292,-5184,17704,-823,3966,-3004,0.14,0.03,-0.36,0.919922,13.867455,-9.630688,42.809711,6413,-1838,4957,3257,-6926,3237
24,9808,-8868,13232,-648,3892,-2659,0.14,0.08,-0.39,0.908325,11.942155,-14.419949,46.268154,7069,-3137,2764,2698,-7752,229
