seq,ax,ay,az,gx,gy,gz,qx,qy,qz,qw,roll,pitch,yaw,rax,ray,raz,wx,wy,wz
101,12512,9636,30220,1963,-3161,1068,-0.13,-0.21,-0.49,0.838989,-0.385633,28.54649,63.12299,3464,-1023,1531,278,-2504,3006
102,9468,10484,32767,1700,-2601,411,-0.12,-0.25,-0.47,0.83844,1.925821,31.837206,62.852379,2141,1460,5128,638,1441,5525
103,10032,7272,32767,946,-1821,-157,-0.12,-0.27,-0.46,0.835083,4.209361,34.223625,63.286724,1150,2767,7307,250,3939,6839
104,9420,3964,32767,53,-142,-384,-0.11,-0.28,-0.46,0.831726,5.498,35.090683,63.952515,713,2286,8457,-916,4528,7477
105,9052,1856,29912,-248,709,-658,-0.11,-0.28,-0.47,0.831299,5.76656,34.084431,64.284843,432,1746,8912,-1567,4520,7731
106,10084,-3480,25664,-211,854,-867,-0.1,-0.27,-0.48,0.830444,5.903343,32.59,64.79393,481,501,7978,-2132,3277,6988
107,10132,-6188,21264,-290,996,-704,-0.1,-0.25,-0.49,0.829468,5.760186,31.130398,65.288345,755,-1197,6525,-2859,1496,5844
108,9540,-6156,18864,-716,966,-392,-0.1,-0.24,-0.49,0.829407,5.068455,29.773146,65.51519,907,-2333,4765,-3111,57,4391
109,9044,-5964,19300,-1154,1000,-120,-0.1,-0.23,-0.5,0.830017,3.605365,28.541336,65.502457,933,-2813,3593,-3070,-656,3440
110,8304,-6152,18216,-1117,1246,-3,-0.11,-0.21,-0.5,0.83136,1.734042,27.164146,65.277588,880,-2899,2889,-2881,-923,2892
111,8064,-5744,17428,-694,1441,24,-0.11,-0.19,-0.51,0.833557,0.131352,25.505661,64.907074,832,-2821,2191,-2596,-1132,2329
