seq,ax,ay,az,gx,gy,gz,qx,qy,qz,qw,roll,pitch,yaw,rax,ray,raz,wx,wy,wz
0,4300,1392,16248,223,21,-219,-0.04,-0.17,0.13,0.976562,-7.885108,18.573372,-14.131087,-154,858,766,-598,822,558
1,6200,-1632,17416,322,-173,-547,-0.04,-0.17,0.12,0.977234,-7.287097,18.708384,-13.749575,-213,868,677,-618,811,463
2,6992,-3900,20532,504,-81,-461,-0.04,-0.17,0.12,0.977844,-6.595931,18.955153,-13.261717,81,116,1131,-336,165,1076
3,6228,-1404,22284,414,118,-120,-0.03,-0.17,0.11,0.978394,-5.959253,18.993282,-13.058057,397,-404,2027,-238,-258,2075
4,5480,1012,22332,126,212,-69,-0.03,-0.17,0.11,0.979004,-5.473176,18.731438,-13.093267,368,125,2648,-571,244,2603
5,5552,1644,22776,173,220,-214,-0.02,-0.16,0.11,0.979736,-5.115725,18.37225,-12.974452,282,627,3013,-855,708,2883
6,6856,-984,26360,290,283,-329,-0.02,-0.16,0.11,0.980774,-4.550604,18.03809,-12.69582,410,714,3607,-919,806,3491
7,6436,308,28752,304,557,-156,-0.02,-0.15,0.11,0.981934,-3.993644,17.500769,-12.458699,694,424,4659,-877,563,4613
8,6452,2252,28156,213,870,-113,-0.01,-0.15,0.11,0.983398,-3.495949,16.575563,-12.33958,853,598,5491,-923,745,5461
9,6820,2800,26480,243,1121,-291,-0.01,-0.14,0.1,0.985229,-2.946881,15.309134,-12.136111,993,1121,5627,-802,1265,5626
10,6956,764,28844,385,1321,-380,-0.01,-0.12,0.1,0.987366,-2.276655,13.872053,-11.717937,1311,1010,5675,-330,1192,5780
11,6272,1072,26676,355,1807,-383,-0.0,-0.11,0.1,0.989563,-1.594559,12.075153,-11.283201,1624,787,5916,161,1002,6100
12,5572,2768,22788,434,1926,-463,0.0,-0.09,0.09,0.991943,-0.922032,9.817205,-10.787909,1767,840,5005,702,1070,5218
13,5524,1852,23300,399,1994,-650,0.0,-0.07,0.09,0.993958,-0.134579,7.583699,-10.143281,1853,978,4295,1077,1195,4499
14,4660,-316,19888,350,2260,-727,0.01,-0.04,0.08,0.995728,0.47648,5.148453,-9.301607,2078,657,3570,1625,899,3747
15,3140,2240,16220,398,2273,-714,0.01,-0.02,0.07,0.997009,0.98597,2.527204,-8.444888,2099,447,2336,1912,693,2433
