seq,ax,ay,az,gx,gy,gz,qx,qy,qz,qw,roll,pitch,yaw,rax,ray,raz,wx,wy,wz
0,-3140,268,14096,537,88,-256,0.03,0.08,-0.16,0.984009,2.030222,-9.633344,18.379255,-93,-131,-1298,-320,13,-1267
1,-2288,-3060,12688,304,251,-219,0.03,0.08,-0.16,0.983276,2.493099,-9.811219,18.807423,97,-477,-1163,-233,-371,-1181
2,-2396,-676,7612,368,96,-3,0.04,0.08,-0.16,0.982727,2.68314,-10.139769,19.033169,196,-924,-2086,-432,-726,-2128
3,-1240,-1016,9748,480,-343,-27,0.04,0.08,-0.16,0.982544,3.129653,-10.093387,19.121494,268,-878,-2968,-475,-594,-3011
4,-1100,-3552,10792,347,-296,79,0.04,0.08,-0.16,0.982727,3.53905,-9.60066,19.17025,546,-1234,-2754,-271,-1028,-2876
5,-1368,-2516,5920,379,-220,220,0.04,0.07,-0.16,0.983093,3.739424,-9.257723,19.021801,641,-1557,-3181,-322,-1311,-3335
6,-556,-2212,6064,649,-542,236,0.05,0.07,-0.16,0.983521,4.228271,-8.82932,18.814224,623,-1722,-4115,-470,-1333,-4275
7,380,-3620,5868,759,-662,342,0.05,0.06,-0.16,0.98407,4.925446,-8.049372,18.581442,855,-2070,-4576,-337,-1645,-4809
8,508,-1784,3952,633,-800,544,0.06,0.05,-0.15,0.984924,5.659233,-7.083215,18.096867,970,-2076,-5036,-164,-1592,-5296
9,1760,-2080,3624,772,-1064,576,0.06,0.04,-0.15,0.985901,6.392365,-5.864013,17.436554,993,-2004,-5594,-16,-1424,-5852
10,3336,-2820,5420,980,-1283,663,0.07,0.03,-0.14,0.986816,7.365518,-4.250242,16.72506,1245,-2181,-5700,367,-1599,-6008
11,5204,-1920,6824,963,-1497,926,0.08,0.01,-0.14,0.98761,8.381784,-2.272009,15.806487,1616,-2522,-5455,876,-2010,-5823
12,7100,-2008,7968,899,-1655,1076,0.08,-0.01,-0.13,0.988403,9.355346,0.110676,14.534633,2051,-2401,-4940,1594,-2038,-5260
13,8784,-2284,11828,1057,-1758,1228,0.09,-0.03,-0.12,0.98877,10.292539,2.79654,13.064832,2501,-2538,-4121,2222,-2355,-4380
14,9852,-1152,13960,1063,-1678,1465,0.09,-0.06,-0.1,0.988525,11.277229,5.611506,11.314189,2876,-2671,-2885,2667,-2698,-3054
15,11100,496,14300,866,-1741,1692,0.1,-0.08,-0.09,0.987793,12.105693,8.459122,9.205688,3153,-2322,-2083,3072,-2468,-2032
