seq,ax,ay,az,gx,gy,gz
0,-792,812,16844,-22,26,-35
1,-812,1004,16340,-41,43,-25
2,-832,944,15984,-5,30,-14
3,-756,876,16364,69,6,-7
4,-648,716,16824,101,-16,16
5,-800,860,16948,46,4,32
6,-1144,724,16780,-37,54,38
7,-1636,728,16668,-38,40,22
8,-1556,604,16476,-6,-2,-15
9,-1588,592,16692,-6,18,-30
10,-1808,724,16692,1,-19,-19
11,-2316,360,16756,8,-54,-25
12,-2668,540,16852,-8,-68,-67
13,-3260,472,16624,-28,-103,-113
14,-3432,384,16548,-35,-121,-180
15,-3472,456,16860,-37,-115,-212
16,-4088,192,16548,-46,-192,-235
17,-4324,208,16264,-29,-218,-320
18,-4416,404,16452,-1,-194,-415
19,-4520,520,16400,-23,-179,-477
20,-4660,524,16112,-35,-154,-551
21,-4836,692,16484,-8,-142,-612
22,-5076,580,16728,-9,-172,-668
23,-5148,672,16476,-45,-183,-774
24,-4988,900,16340,-61,-175,-877
25,-4564,1100,16196,-29,-231,-957
26,-4424,1304,16344,-7,-253,-1033
27,-3732,1432,16612,-27,-279,-1135
28,-3492,1480,16272,-81,-281,-1197
29,-3352,1580,15732,-84,-292,-1275
30,-2348,1708,15584,-48,-293,-1375
31,-1716,1804,15836,-32,-293,-1417
32,-960,2068,15416,-32,-327,-1437
33,-656,2460,15384,-37,-302,-1454
34,340,2736,15412,-8,-277,-1487
35,1000,2716,15444,15,-268,-1443
36,1492,2748,15524,10,-261,-1427
37,2032,2808,15236,-3,-290,-1405
38,2596,2860,15212,29,-268,-1386
39,3736,3360,15592,56,-206,-1370
40,4024,3400,16228,23,-163,-1299
41,4408,3132,15672,-10,-190,-1225
42,5060,3328,15596,13,-165,-1164
43,6188,3592,15664,40,-130,-1068
44,6312,3580,15932,24,-46,-899
45,5880,3200,15868,23,-49,-739
46,5852,3148,15864,40,-109,-615
47,5792,2876,15572,61,-108,-488
48,5352,2796,15640,70,-56,-361
49,4852,2572,15988,74,-16,-262
50,3968,2404,16124,77,-23,-179
51,3848,2268,16076,100,-57,-142
52,3492,2460,16484,96,-40,-88
53,3208,2336,16592,65,-16,-34
54,2752,2176,16676,51,-11,5
55,2452,2084,16708,36,-10,-1
56,2396,1964,16764,28,-19,-2
57,2100,1740,16548,11,45,-4
58,2136,2040,16448,21,62,-13
59,1736,2472,16624,21,53,33
