seq,ax,ay,az,gx,gy,gz,qx,qy,qz,qw,roll,pitch,yaw
0,824,3416,18208,98,278,-195,-0.06,0.1,0.09,-0.988953,8.072762,11.337014,9.316196
1,-132,3164,18556,188,197,-289,-0.06,0.1,0.09,-0.988953,8.3409,10.86593,9.5655
2,-1072,3652,18236,192,71,-416,-0.07,0.1,0.09,-0.988831,8.661639,10.409302,9.917066
3,-1824,3720,17804,201,47,-570,-0.07,0.09,0.1,-0.988464,9.034008,10.023823,10.447815
4,-2072,4284,18008,178,38,-665,-0.07,0.09,0.1,-0.987854,9.447842,9.57568,11.158139
5,-2628,4484,17868,39,39,-682,-0.08,0.09,0.11,-0.987183,9.804632,9.115644,11.953145
6,-3728,4628,17932,-23,-43,-714,-0.08,0.09,0.12,-0.98645,10.008763,8.645652,12.809566
7,-3900,4084,15928,2,-258,-794,-0.08,0.08,0.13,-0.985596,10.188509,8.302651,13.738838
8,-4876,3512,15728,99,-183,-948,-0.08,0.08,0.13,-0.984314,10.429306,8.07195,14.797937
9,-5496,3908,16296,241,-202,-1161,-0.08,0.08,0.15,-0.982666,10.826161,7.660894,16.062777
10,-5136,4116,17148,322,-257,-1366,-0.09,0.08,0.16,-0.980408,11.398017,7.232022,17.56255
11,-4208,4584,17820,260,-264,-1517,-0.09,0.08,0.17,-0.977539,12.025905,6.812526,19.28788
12,-4036,5112,17312,127,-291,-1612,-0.1,0.08,0.19,-0.974182,12.535213,6.381741,21.190525
13,-3620,5540,16164,143,-289,-1761,-0.1,0.07,0.21,-0.970398,12.957889,5.973233,23.239042
14,-2936,6516,16540,204,-263,-1919,-0.1,0.07,0.23,-0.965759,13.497508,5.508804,25.468575
15,-2452,6500,16708,159,-199,-2020,-0.11,0.07,0.25,-0.960327,14.079553,4.972418,27.852417
16,-2272,6984,17208,128,-197,-2141,-0.11,0.07,0.27,-0.954346,14.575608,4.355293,30.354109
17,-168,7496,16300,164,-289,-2320,-0.12,0.07,0.29,-0.947266,15.064619,3.780614,33.049847
18,1564,7976,16756,207,-197,-2475,-0.12,0.07,0.31,-0.939087,15.620076,3.264325,35.920116
19,4192,8592,17520,272,-192,-2619,-0.12,0.07,0.34,-0.929688,16.223269,2.680163,38.941238
20,7628,9208,17764,295,-209,-2690,-0.13,0.07,0.37,-0.919067,16.878304,2.21511,42.08556
21,11104,9724,18044,276,-126,-2649,-0.13,0.08,0.39,-0.907715,17.537115,1.859478,45.230274
22,13788,10052,18560,264,-11,-2483,-0.14,0.08,0.41,-0.89624,18.156633,1.577097,48.227051
23,15672,9900,19020,297,58,-2236,-0.14,0.08,0.44,-0.885132,18.75584,1.370234,50.961803
24,16492,10192,19880,368,36,-1898,-0.14,0.09,0.45,-0.875061,19.381426,1.302284,53.302917
25,17164,10396,21108,395,-52,-1518,-0.15,0.09,0.47,-0.866211,20.044832,1.459023,55.238911
26,16592,9820,21136,289,-88,-1094,-0.15,0.1,0.48,-0.859192,20.663603,1.87378,56.711529
27,14940,8688,20488,120,-42,-799,-0.15,0.11,0.49,-0.854309,21.05547,2.391701,57.760677
28,13812,7596,20476,-16,114,-656,-0.15,0.11,0.49,-0.850891,21.203754,2.815482,58.557465
29,12932,6732,19456,-162,163,-524,-0.14,0.12,0.5,-0.848511,21.128279,3.077311,59.195835
30,11220,5824,18648,-215,177,-353,-0.14,0.12,0.5,-0.847168,20.863514,3.311233,59.670826
31,9928,5020,17776,-106,59,-230,-0.14,0.12,0.5,-0.846497,20.584843,3.582904,59.984737
32,9088,4460,17980,13,-2,-149,-0.13,0.12,0.5,-0.846069,20.434549,3.934554,60.183701
33,8208,4048,18088,15,-17,-79,-0.13,0.12,0.5,-0.845886,20.351109,4.316158,60.295761
34,7104,3684,17964,-8,1,-34,-0.13,0.12,0.5,-0.846069,20.208319,4.671454,60.340813
35,6168,3468,18180,7,-66,-39,-0.13,0.13,0.5,-0.846375,20.050116,4.98053,60.36274
36,5908,3672,17948,60,-188,-80,-0.12,0.13,0.5,-0.846313,19.933577,5.34013,60.449394
37,6224,3740,18008,112,-210,-131,-0.12,0.13,0.5,-0.845825,19.889881,5.76973,60.610298
38,6048,4012,19180,105,-197,-138,-0.12,0.14,0.5,-0.845093,19.9025,6.183021,60.810661
