seq,ax,ay,az,gx,gy,gz,qx,qy,qz,qw,roll,pitch,yaw,rax,ray,raz,wx,wy,wz
40,-9024,4916,4132,1901,482,413,-0.12,-0.3,0.67,-0.671326,-17.064837,-33.936813,94.223358,961,3649,-4904,2249,2232,-5314
41,-8872,6300,4320,2148,567,395,-0.14,-0.29,0.67,-0.670471,-14.012383,-35.006626,93.617363,661,3797,-4677,2740,2389,-4849
42,-8156,6992,4252,2500,551,452,-0.17,-0.27,0.67,-0.668579,-10.528492,-36.097076,92.976196,681,3922,-4546,3178,2307,-4591
43,-8156,7564,5388,2996,400,589,-0.19,-0.26,0.67,-0.666321,-6.342909,-37.039246,92.147789,850,3849,-4387,3440,2045,-4332
44,-9884,8152,6620,3474,274,710,-0.22,-0.23,0.67,-0.663574,-1.331924,-37.703087,91.109871,830,3652,-4005,3602,1756,-3742
45,-13844,7840,9788,3881,192,666,-0.26,-0.21,0.68,-0.659302,4.356402,-38.195156,89.947655,130,3248,-3246,3483,1750,-2430
46,-16004,8556,12476,4166,59,316,-0.29,-0.18,0.68,-0.651428,10.249315,-38.50346,89.018768,-968,2702,-2055,2987,1781,-603
47,-16272,11956,18052,4430,-16,-142,-0.32,-0.14,0.68,-0.638367,16.012527,-38.688488,88.614395,-1910,2596,-539,2601,1445,1348
48,-14916,13996,27300,4423,-82,-386,-0.35,-0.11,0.69,-0.620972,21.600515,-38.661808,88.704643,-2246,2964,2112,1981,-101,3788
49,-16564,13732,32767,3850,-78,-344,-0.38,-0.08,0.7,-0.603027,26.51157,-38.336815,89.122589,-2392,3248,5616,437,-2132,6562
50,-23240,11220,32767,3167,-253,-427,-0.4,-0.05,0.7,-0.587219,30.284222,-37.97263,89.718811,-3450,2960,8097,-1513,-2509,8811
51,-23356,12992,32767,2841,-648,-985,-0.41,-0.03,0.71,-0.569946,32.781071,-37.813976,91.096893,-5064,2502,9479,-3062,-1654,10470
52,-20644,15792,32767,2347,-794,-1433,-0.42,-0.01,0.72,-0.549805,34.273937,-37.720089,93.503868,-5566,2870,10237,-3496,-1546,11376
53,-20184,17220,32767,1511,-991,-1544,-0.42,0.01,0.74,-0.530029,34.787094,-37.572987,96.545868,-5304,3639,10624,-3321,-2021,11794
54,-22940,16956,32767,707,-1358,-1631,-0.41,0.02,0.75,-0.513306,34.139923,-37.214325,99.907112,-5542,4205,10753,-2917,-1937,12318
55,-21412,17920,32767,-16,-1612,-1896,-0.4,0.02,0.77,-0.497742,32.345341,-36.628525,103.74054,-5929,4737,10704,-2170,-1698,12828
56,-19824,17432,32767,-832,-1559,-2115,-0.38,0.02,0.79,-0.483154,29.568445,-35.938408,107.687614,-5795,5257,10547,-1255,-1931,12928
57,-18540,16708,29056,-1482,-1591,-2216,-0.36,0.01,0.8,-0.46991,25.90621,-35.155445,111.432312,-5383,5640,10111,-198,-2339,12550
58,-17988,15336,24116,-1898,-1504,-2339,-0.34,-0.0,0.82,-0.457275,21.820482,-34.327656,114.828651,-5032,5807,8562,1350,-2331,11184
59,-16404,14748,20696,-2140,-1379,-2528,-0.32,-0.02,0.84,-0.443787,17.506289,-33.611366,117.964333,-4690,5893,6728,2849,-2282,9416
60,-14852,14056,18292,-2226,-1277,-2643,-0.3,-0.04,0.85,-0.428894,13.119681,-32.897171,121.000923,-4149,6050,4946,4081,-2470,7451
61,-13760,13324,16724,-2258,-1175,-2686,-0.28,-0.06,0.86,-0.412903,8.823089,-32.105392,123.955597,-3569,6221,3520,4908,-2791,5651
62,-13272,12236,15860,-2238,-1084,-2745,-0.26,-0.08,0.88,-0.396057,4.646198,-31.230179,126.83049,-3163,6323,2384,5450,-3011,4109
63,-10948,11904,13216,-2197,-998,-2855,-0.24,-0.1,0.89,-0.377869,0.588243,-30.247507,129.735458,-2719,6427,1333,5769,-3247,2578
64,-7916,11244,12392,-2067,-868,-2879,-0.22,-0.12,0.9,-0.358215,-3.271984,-29.163887,132.698685,-1939,6586,342,5723,-3695,914
65,-5052,10776,10512,-1962,-770,-2792,-0.21,-0.14,0.91,-0.337891,-6.837865,-27.91016,135.671768,-908,6707,-467,5247,-4244,-690
66,-2544,10100,8232,-1745,-639,-2611,-0.19,-0.15,0.92,-0.317932,-10.054426,-26.56674,138.516876,219,6844,-1478,4601,-4670,-2468
67,-16,9364,8072,-1400,-596,-2326,-0.18,-0.17,0.92,-0.298828,-12.727924,-25.178286,141.195221,1300,6897,-2260,3736,-5001,-3923
68,1968,8456,8100,-1122,-494,-1921,-0.16,-0.17,0.93,-0.281799,-14.747306,-23.724775,143.595795,2340,6837,-2726,2687,-5286,-4948
69,2412,6980,9536,-974,-288,-1437,-0.15,-0.18,0.93,-0.268005,-16.23975,-22.435968,145.542511,3144,6575,-2782,1626,-5420,-5367
70,676,4552,8700,-924,-103,-969,-0.14,-0.19,0.94,-0.258179,-17.43574,-21.481966,146.919983,3445,6088,-2682,890,-5178,-5339
71,-2184,2052,8564,-738,-11,-707,-0.14,-0.19,0.94,-0.251587,-18.475731,-20.94591,147.805191,3035,5268,-2802,687,-4250,-5126
72,-2180,1412,8436,-466,-33,-636,-0.14,-0.2,0.94,-0.246277,-19.27487,-20.615429,148.486816,2389,4435,-2860,721,-3253,-4738
