seq,ax,ay,az,gx,gy,gz
0,2000,-192,16100,240,-88,26
1,2320,196,16432,261,11,49
2,2320,320,16684,238,-2,105
3,2588,224,16528,209,35,112
4,2480,500,16040,192,91,135
5,2732,512,15612,181,48,150
6,2976,784,15100,174,89,170
7,3120,632,14840,178,104,166
8,3084,648,14480,183,101,205
9,2668,772,13824,141,42,290
10,3068,968,13116,174,18,297
11,2332,256,13292,347,54,311
12,2148,424,13732,433,60,291
13,2476,360,14256,458,28,311
14,2732,620,14324,476,-52,362
15,2260,752,14864,561,-44,435
16,1516,1168,15548,609,0,469
17,584,1500,16548,589,-14,474
18,452,1740,16820,555,-33,440
19,688,2224,17352,541,-76,394
20,388,2336,17880,549,-114,417
21,-504,2880,19096,507,-74,405
22,-1200,3124,19308,420,-66,377
23,-1688,3772,19300,295,-55,294
24,-2108,3872,19528,270,-72,230
25,-2248,4180,20076,217,-38,98
26,-2468,4308,20400,133,-4,55
27,-2992,4384,19720,-18,38,-67
28,-3104,4220,19276,-62,70,-148
29,-2996,3804,19076,-125,10,-279
30,-2456,3680,18728,-174,34,-357
31,-2092,3700,18344,-221,114,-430
32,-1740,3376,18060,-273,59,-463
33,-1348,3100,17728,-346,-5,-495
34,-964,2968,16872,-391,-3,-516
35,-800,3120,16520,-395,12,-553
36,-676,2720,16116,-384,-67,-591
37,280,2676,15852,-371,-150,-640
38,852,2444,15336,-365,-203,-632
39,2156,2068,14968,-294,-119,-689
40,2784,2116,15116,-227,-33,-708
41,3116,1960,15356,-196,-36,-676
42,3744,1928,15060,-235,-63,-640
43,4548,1648,14848,-227,-67,-628
44,5356,1320,14664,-178,-55,-593
45,6092,1016,14280,-173,-19,-547
46,6996,1052,13860,-160,-3,-448
47,7112,792,13592,-122,-23,-305
48,6988,388,13308,-101,-7,-174
49,6372,164,12932,-47,12,-20
50,5988,104,12384,9,-61,81
51,5924,444,12192,80,-74,125
52,5712,548,12248,211,-56,194
53,4908,1128,12736,320,-33,281
54,3316,1644,12564,335,-24,350
55,3012,2092,12460,380,-41,346
56,3440,2452,12736,493,-74,320
57,3548,2432,13212,596,28,305
58,2900,2140,13480,627,201,317
59,1972,1980,13592,607,251,384
60,1284,2148,13436,597,121,467
61,848,2240,13408,627,-24,487
62,1080,2296,14256,762,-54,440
63,1720,3160,16004,895,-82,469
64,1196,4312,19156,952,-187,573
65,-144,5452,21556,730,-227,611
66,-852,6100,21660,349,-182,524
67,-800,6160,20848,187,-119,345
68,-56,5992,21048,201,-101,206
69,8,6048,21628,185,-107,166
70,-8,6032,21716,46,-100,134
71,-28,5696,21152,-162,-137,94
72,332,5496,20536,-350,-181,13
73,952,5048,19248,-500,-143,-95
74,1524,4384,18376,-572,-54,-157
75,1944,3868,17524,-545,-94,-145
