seq,ax,ay,az,gx,gy,gz
0,-504,796,15284,32,31,35
1,-76,1076,15188,63,36,10
2,464,1176,15308,63,112,20
3,92,1024,14876,47,101,68
4,-136,972,14108,98,84,85
5,152,1168,14444,153,121,53
6,840,1592,13992,152,158,58
7,540,1728,13900,147,187,135
8,192,1668,13368,211,139,182
9,580,1496,13688,280,184,165
10,696,1852,13944,290,240,181
11,104,1784,14072,341,187,291
12,-784,1392,14276,439,109,388
13,-880,1848,14980,526,85,374
14,-308,2596,15764,516,166,316
15,-60,2584,16308,490,222,319
16,-1308,2652,16732,453,233,447
17,-2604,2524,16500,508,172,482
18,-2776,2980,17672,563,152,399
19,-2552,3528,18588,511,147,360
20,-2744,3584,18460,412,114,373
21,-2864,3792,18484,334,145,330
22,-3416,3908,18524,286,151,320
23,-5168,3544,19460,275,140,332
24,-6684,3364,19908,232,48,279
25,-7712,3264,20052,154,-27,150
26,-7472,3388,19880,58,-84,-30
27,-6484,3680,19316,-46,-98,-164
28,-6160,3728,18700,-121,-109,-244
29,-5800,3864,18372,-157,-113,-328
30,-4676,3876,18140,-210,-113,-419
31,-3832,4088,17724,-332,-42,-451
32,-3724,3668,16908,-377,-59,-465
33,-3424,3480,16556,-361,-92,-508
34,-2384,3324,16364,-344,-154,-541
35,-1096,3240,15852,-365,-141,-558
36,-244,3060,15252,-399,-66,-555
37,520,2820,14748,-427,-6,-553
38,1684,2880,13416,-386,27,-524
39,2292,2704,13532,-314,102,-454
40,2948,2336,13208,-249,65,-323
41,2892,1764,12592,-156,59,-174
42,2336,1436,12180,-56,76,-80
43,2184,1300,12080,38,153,-34
44,1768,1636,11688,109,156,37
45,1572,1716,11660,233,138,91
46,1824,1716,11964,324,198,130
47,1312,1936,11620,305,304,197
48,584,2380,10768,349,349,232
49,192,2856,11292,534,365,259
50,76,3216,12080,652,338,323
51,-256,3608,12464,692,390,383
52,-1364,3940,13180,752,341,454
53,-2212,4404,14092,798,266,510
54,-1940,4912,15140,777,265,502
55,-2084,5200,15348,717,333,506
56,-2928,5516,16208,721,413,537
57,-4104,5616,17140,763,368,585
58,-5036,5792,18048,761,270,572
59,-5416,6084,18964,678,252,465
60,-5236,6632,19344,513,262,341
61,-5356,6756,19016,428,229,328
62,-5248,6592,19224,385,195,291
63,-5124,6784,19388,333,149,253
64,-5376,7036,19480,259,134,247
65,-5852,6784,19344,180,103,228
66,-5564,6616,18800,121,83,159
67,-5080,6728,18424,37,103,88
68,-4848,6756,18044,-59,154,35
69,-5352,6272,17328,-138,195,-26
70,-5360,6180,16936,-191,191,-153
71,-4960,6284,17292,-194,131,-265
72,-4736,6440,17000,-243,-43,-282
