seq,ax,ay,az,gx,gy,gz
0,1116,184,15268,-90,94,77
1,1256,360,14948,3,170,121
2,808,372,15348,112,172,173
3,664,340,15316,141,79,185
4,764,464,14928,141,46,161
5,1360,304,14348,143,20,131
6,2072,116,14060,192,42,148
7,2624,372,14032,262,78,199
8,2888,420,14152,323,80,265
9,2256,384,14300,348,136,306
10,2228,388,13920,336,109,332
11,2564,660,13940,406,67,385
12,2752,1088,14464,476,91,426
13,2456,1328,14784,507,132,486
14,1868,1400,14948,497,120,551
15,860,1508,15096,522,63,586
16,328,2020,15448,555,34,563
17,224,2412,16080,603,-7,553
18,-180,2672,17308,615,-53,572
19,-508,3032,17852,544,-93,570
20,-520,3216,17660,475,-61,544
21,-1336,3484,18164,493,-34,552
22,-2048,3968,18872,481,-56,529
23,-2304,4224,19052,409,-42,472
24,-2704,4216,19360,330,-15,387
25,-2764,4480,19248,230,-21,308
26,-3276,4504,18988,151,-50,262
27,-3760,4484,18764,90,-38,167
28,-4024,4732,18504,51,-30,82
29,-4460,4892,18092,10,-79,17
30,-4712,4908,17780,-50,-101,-57
31,-4736,4836,17332,-92,-105,-185
32,-4344,4784,17176,-117,-100,-310
33,-4020,4648,16548,-134,-84,-389
34,-4608,4564,16480,-163,-129,-433
35,-4352,4108,15988,-210,-246,-550
36,-2872,3980,15760,-151,-196,-718
37,-1632,3744,16616,-63,-94,-832
38,-1104,4204,17084,-100,-168,-792
39,-1256,4164,16564,-250,-309,-690
40,-640,3816,16308,-276,-356,-758
41,864,3696,15984,-252,-276,-880
42,1580,3632,15784,-257,-204,-869
43,1944,3196,15464,-284,-281,-809
44,2744,2932,15344,-285,-371,-776
45,3984,2944,15244,-279,-363,-740
46,5036,2284,14972,-253,-310,-707
47,6076,1860,15156,-210,-177,-679
48,6616,1580,14724,-200,-101,-564
49,6620,1432,14156,-173,-38,-419
50,6084,1348,14008,-134,-54,-280
51,5812,1116,13844,-124,-65,-183
52,5996,1220,13476,-91,-48,-118
53,5764,1120,13248,-28,-68,-18
54,5204,1252,13180,47,-65,88
55,4848,1368,13268,125,-50,156
56,4872,1516,13308,172,-53,173
57,4712,1648,12996,236,3,229
58,3816,1912,13004,287,77,296
59,3328,1888,12596,319,92,341
60,3252,2088,12476,405,145,381
61,3112,2768,12628,497,225,424
62,2256,2444,12796,537,275,438
63,1608,2096,13132,532,207,462
64,1532,2324,12776,536,88,503
65,988,2612,13020,634,292,488
66,932,3680,14240,775,440,451
67,952,4576,15516,791,310,507
68,384,5284,16244,759,116,578
69,-952,6192,17704,738,127,586
70,-1680,7072,18692,668,164,459
71,-1416,7516,18836,552,168,295
72,-1428,7948,18916,496,157,244
73,-1960,7904,19324,468,89,230
74,-1964,7816,19696,394,17,143
75,-1404,7616,19788,340,41,23
76,-1020,7212,20308,265,31,-28
77,-788,6840,20388,104,-15,-36
78,-464,6564,19524,-55,-26,-53
79,-36,6336,18540,-123,44,-98
80,152,6156,18204,-135,102,-125
81,148,5996,17944,-189,67,-114
82,-76,5900,16856,-287,59,-105
83,-124,5700,15988,-307,75,-113
84,8,5836,15380,-261,63,-116
85,-344,5316,15752,-224,61,-142
