seq,ax,ay,az,gx,gy,gz,qx,qy,qz,qw,roll,pitch,yaw
0,-3180,-3140,14948,151,-6,-281,0.11,-0.17,0.25,-0.945679,-17.549297,-15.764443,28.656567
1,-3720,-3188,15800,132,-51,-333,0.11,-0.17,0.26,-0.945435,-17.473558,-15.683229,28.875401
2,-3480,-2852,16324,158,-192,-351,0.11,-0.17,0.26,-0.944946,-17.320429,-15.438334,29.33832
3,-3432,-3088,16260,139,-287,-314,0.1,-0.17,0.26,-0.944763,-17.102875,-15.021761,29.789591
4,-3092,-3420,15836,40,-308,-341,0.1,-0.16,0.27,-0.944702,-16.908779,-14.511217,30.169373
5,-2500,-3784,15668,-54,-202,-423,0.1,-0.16,0.27,-0.944397,-16.874517,-13.99333,30.550337
6,-2236,-4112,15900,-136,-127,-483,0.11,-0.15,0.28,-0.942932,-17.120306,-13.348529,31.272728
7,-1620,-4424,15180,-179,-127,-561,0.11,-0.15,0.28,-0.9422,-17.268023,-13.137611,31.55027
8,-460,-4392,14300,-170,-101,-605,0.11,-0.15,0.28,-0.940613,-17.608351,-12.674794,32.15712
9,1036,-4108,14124,-90,-8,-582,0.11,-0.15,0.29,-0.938782,-17.937275,-12.205558,32.828827
10,2388,-3920,14436,-35,61,-472,0.12,-0.15,0.3,-0.937073,-18.149786,-11.782338,33.52161
11,3756,-3528,14644,-33,29,-324,0.12,-0.14,0.3,-0.935669,-18.261688,-11.39038,34.112881
12,5288,-2660,13984,-51,6,-160,0.12,-0.14,0.3,-0.934814,-18.316772,-10.948804,34.526707
13,6940,-1556,13856,-88,102,34,0.12,-0.14,0.31,-0.93457,-18.313604,-10.498911,34.741562
14,8180,-580,14368,-174,255,325,0.12,-0.13,0.31,-0.934875,-18.271072,-10.173202,34.730663
15,9472,212,13880,-312,344,698,0.12,-0.13,0.3,-0.935913,-18.235638,-10.052627,34.370029
16,9756,484,13364,-376,391,1151,0.12,-0.13,0.3,-0.937927,-18.252491,-10.121289,33.533054
17,9568,812,11764,-345,399,1621,0.12,-0.13,0.28,-0.941223,-18.222857,-10.387959,32.126717
18,7980,1192,10812,-251,495,2052,0.12,-0.13,0.27,-0.945801,-18.049164,-10.877512,30.16316
19,5188,1888,10624,-119,606,2446,0.12,-0.14,0.25,-0.951111,-17.63483,-11.711568,27.724531
20,1080,2172,11064,37,608,2890,0.11,-0.14,0.22,-0.957031,-16.892452,-12.925687,24.830212
21,-3408,1988,12096,190,414,3243,0.11,-0.15,0.2,-0.963318,-15.747845,-14.40803,21.41543
22,-7716,1404,12200,333,64,3360,0.1,-0.16,0.16,-0.969543,-14.189445,-15.869735,17.583786
23,-11344,2000,11620,480,-92,3199,0.08,-0.16,0.13,-0.975037,-12.346197,-17.054722,13.645433
24,-15712,2472,13256,587,-54,2979,0.07,-0.17,0.09,-0.979126,-10.290273,-18.102156,9.929237
25,-20452,2068,15336,630,-204,2641,0.06,-0.17,0.06,-0.981567,-8.106276,-19.173273,6.534755
26,-23640,1640,17012,653,-604,2084,0.04,-0.18,0.04,-0.982849,-5.972811,-19.999893,3.59512
27,-23760,2128,15988,621,-977,1327,0.03,-0.18,0.02,-0.983643,-4.083813,-20.290215,1.387706
28,-22580,2648,15072,463,-798,567,0.02,-0.17,0.0,-0.984375,-2.590271,-20.125126,0.099746
29,-22028,2352,15268,143,-414,-132,0.01,-0.17,-0.0,-0.984558,-1.665714,-20.125048,-0.333388
30,-20936,1992,14128,-117,-177,-854,0.01,-0.18,0.0,-0.984009,-1.465263,-20.491987,-0.037297
31,-19180,1580,12760,-159,-112,-1549,0.02,-0.19,0.02,-0.982422,-2.287032,-21.328848,1.876226
32,-16560,1568,11504,38,-69,-2169,0.02,-0.19,0.03,-0.981689,-2.727222,-21.571085,2.933754
33,-14200,1868,11864,364,22,-2690,0.02,-0.19,0.05,-0.979919,-3.585473,-21.981133,5.693983
34,-10932,2120,12324,610,114,-3138,0.02,-0.2,0.08,-0.977295,-4.307271,-22.282976,9.243625
35,-7192,1868,13184,723,299,-3452,0.02,-0.2,0.11,-0.973389,-4.960185,-22.455309,13.454952
36,-3316,2188,14960,697,447,-3561,0.01,-0.2,0.17,-0.964478,-6.030355,-22.601513,20.505053
37,-1428,2364,14792,668,396,-3433,0.01,-0.2,0.19,-0.960815,-6.411286,-22.576292,22.877451
38,1508,2300,15184,746,257,-3100,0.01,-0.2,0.24,-0.949158,-7.314734,-22.125311,29.555561
39,2940,1824,15720,836,61,-2828,0.01,-0.2,0.26,-0.945312,-7.478756,-21.843735,31.590113
40,5176,1852,15428,1018,-284,-2469,0.0,-0.19,0.3,-0.934814,-7.377643,-20.369986,36.950359
41,8072,2096,15060,1174,-404,-2156,0.0,-0.18,0.31,-0.931824,-7.106539,-19.685368,38.487759
42,11644,2952,15632,1162,-120,-1872,-0.01,-0.16,0.35,-0.923218,-5.848844,-17.640614,42.539356
43,14992,4188,16436,919,357,-1457,-0.01,-0.16,0.36,-0.920471,-5.387714,-17.127199,43.687065
44,17084,5820,17652,643,748,-838,-0.02,-0.14,0.38,-0.913757,-4.11184,-16.291121,46.192871
45,16832,7772,18676,469,816,115,-0.03,-0.14,0.38,-0.912781,-3.658052,-16.173538,46.569019
46,14052,8764,19008,411,586,1494,-0.04,-0.13,0.38,-0.916382,-1.819802,-15.869591,45.666241
47,11724,9044,18348,342,438,2261,-0.04,-0.13,0.37,-0.9198,-1.031292,-15.721656,44.669125
48,8368,8748,15640,158,327,3233,-0.06,-0.12,0.33,-0.934814,1.548957,-15.110193,39.872257
49,6652,8812,13896,41,478,3632,-0.06,-0.12,0.31,-0.940674,2.413943,-14.899751,37.809044
50,2144,8072,14116,-126,749,4045,-0.07,-0.11,0.25,-0.957703,4.884105,-14.757057,30.776241
51,-2252,7752,14216,-222,587,4269,-0.08,-0.11,0.23,-0.962891,5.644713,-14.832479,28.221291
52,-6092,7192,13412,-127,130,4381,-0.09,-0.11,0.16,-0.976013,7.896175,-14.558675,20.257311
53,-8876,6888,10912,158,-215,4329,-0.09,-0.11,0.14,-0.979431,8.698649,-14.225511,17.586226
54,-12104,6312,11328,539,-124,4104,-0.11,-0.11,0.07,-0.985779,11.50552,-13.049075,9.977677
55,-15336,6208,13460,871,-7,3615,-0.11,-0.11,0.05,-0.98645,12.56608,-12.762077,7.706
56,-17680,5768,16816,1017,24,2651,-0.14,-0.11,0.0,-0.984985,15.817972,-12.260538,2.184547
57,-17256,5916,17356,890,46,1927,-0.14,-0.11,-0.01,-0.983826,16.780449,-12.212433,0.873726
58,-14716,7520,16892,475,295,941,-0.16,-0.12,-0.03,-0.980286,18.858028,-12.534115,-1.432113
59,-13780,8704,17332,259,559,602,-0.16,-0.12,-0.04,-0.979248,19.29355,-12.845236,-1.803534
60,-13464,8828,18596,42,519,417,-0.16,-0.13,-0.04,-0.976257,20.137484,-14.268484,-2.452466
61,-13024,8164,18196,12,235,356,-0.17,-0.14,-0.05,-0.975525,20.295134,-14.666762,-2.629777
62,-11304,7168,17308,40,-266,163,-0.17,-0.14,-0.05,-0.974304,20.591738,-15.195901,-2.964834
63,-10104,6660,16872,11,-385,-26,-0.17,-0.14,-0.05,-0.974243,20.634874,-15.169662,-2.976085
64,-8004,6440,16136,-198,-253,-507,-0.17,-0.14,-0.05,-0.974854,20.460052,-15.052799,-2.546151
