seq,ax,ay,az,gx,gy,gz
0,1240,192,16572,-48,173,-155
1,1388,308,15820,-117,176,-122
2,1852,344,14456,-180,256,-110
3,2852,120,13676,-146,336,-128
4,3508,576,12868,-91,431,-77
5,2808,640,12932,-6,454,83
6,1864,460,12500,135,328,205
7,1956,460,12476,273,264,222
8,2584,668,12908,343,293,258
9,2044,584,13136,342,343,392
10,1332,244,13412,393,359,497
11,1264,988,13548,454,396,535
12,1036,1140,13784,500,396,584
13,852,1588,14436,603,423,638
14,-36,2152,15888,669,496,739
15,-760,2228,16800,689,455,844
16,-2208,2460,17836,687,480,919
17,-4072,2728,19832,645,418,935
18,-5664,2576,20920,541,219,923
19,-7208,2860,21156,407,51,855
20,-8904,2768,21136,187,86,711
21,-9320,2864,20908,133,16,458
22,-8928,2668,20236,39,25,223
23,-8900,2856,19988,-75,77,22
24,-8524,2812,19036,-169,34,-143
25,-8380,2972,18096,-204,-19,-253
26,-8488,2692,17296,-167,-100,-309
27,-8180,2508,16524,-117,-143,-416
28,-8076,2436,15940,-105,-103,-529
29,-8388,2344,15984,-75,-125,-639
30,-8216,1968,15580,-74,-204,-781
31,-7624,1808,14520,-66,-201,-932
32,-6624,2116,14912,37,-197,-1110
33,-4824,2576,15872,156,-332,-1240
34,-2508,3216,16348,139,-441,-1271
35,-532,3348,16044,-26,-437,-1215
36,1292,3496,15276,-139,-376,-1150
37,2856,3600,15528,-98,-279,-1077
38,3968,3760,16136,-44,-276,-947
39,4612,3420,15500,-71,-304,-776
40,5488,3236,15220,-10,-252,-658
41,6164,3420,15656,45,-177,-552
42,6532,3328,15384,-8,-62,-418
43,6136,2836,15048,-77,106,-260
44,5424,2704,14480,-78,190,-118
45,4976,2372,13908,0,216,9
46,4320,2156,13816,90,239,133
47,3472,2408,13484,148,269,256
48,3040,2452,12540,213,312,337
49,2696,2640,12024,273,455,377
50,2304,2672,12136,336,593,411
51,2064,2780,12080,429,689,479
52,1220,3188,12728,533,784,614
53,420,3680,13548,643,761,748
54,-1012,3696,14416,684,719,904
55,-3132,3864,15844,747,652,1009
56,-4540,4196,17224,775,572,1014
57,-6972,4220,18716,667,488,1013
58,-9400,3996,19552,538,367,941
59,-11292,4180,20836,501,203,757
60,-11876,4384,21744,422,-19,505
61,-10756,4624,21632,219,-198,187
62,-8116,5160,20292,-38,-239,-106
63,-5708,5780,18868,-219,-126,-228
64,-4764,5728,17972,-304,1,-187
65,-4356,5496,16880,-282,-45,-96
66,-3612,5156,15852,-158,-167,-46
67,-3044,4920,16092,8,-229,-1
68,-2944,4464,16004,144,-283,32
69,-3256,4332,15952,205,-347,18
