seq,ax,ay,az,gx,gy,gz,qx,qy,qz,qw,roll,pitch,yaw
0,2052,-8924,13620,-162,88,-257,0.06,-0.23,0.93,-0.260925,-27.879625,-0.085331,151.836105
1,1904,-9076,14956,-69,191,-282,0.06,-0.23,0.94,-0.257568,-28.087372,0.002939,152.265411
2,2376,-8724,15428,-116,171,-322,0.06,-0.24,0.94,-0.253784,-28.231424,0.086944,152.7341
3,2980,-8264,15096,-226,134,-318,0.07,-0.24,0.94,-0.249756,-28.448175,0.22972,153.248138
4,3712,-7832,14396,-262,14,-269,0.07,-0.24,0.94,-0.246033,-28.747177,0.469445,153.754272
5,4972,-7988,13556,-200,-95,-218,0.07,-0.24,0.94,-0.243042,-29.04043,0.858614,154.197647
6,6932,-7824,13404,-144,-100,-188,0.07,-0.24,0.94,-0.24054,-29.271517,1.355294,154.592758
7,9576,-6860,13404,-136,24,-121,0.08,-0.24,0.94,-0.238037,-29.447514,1.901483,154.98555
8,12276,-5412,13156,-235,255,57,0.08,-0.24,0.94,-0.235901,-29.599684,2.352201,155.319397
9,14020,-3784,13716,-387,528,407,0.08,-0.24,0.94,-0.234985,-29.838087,2.50697,155.48764
10,14676,-2068,13952,-553,599,907,0.08,-0.25,0.94,-0.237427,-30.193945,2.271729,155.235519
11,15552,-404,12280,-661,478,1468,0.08,-0.25,0.93,-0.244873,-30.675787,1.784438,154.398727
12,16472,1712,10648,-674,514,2016,0.08,-0.26,0.93,-0.257874,-31.20377,1.079026,152.904037
13,16676,4600,9844,-688,831,2617,0.08,-0.26,0.92,-0.275757,-31.643429,-0.079467,150.764206
14,14668,7332,9952,-886,1176,3453,0.07,-0.27,0.91,-0.299255,-31.992592,-2.066631,147.84288
15,9772,9168,10480,-1115,1134,4452,0.05,-0.28,0.9,-0.331055,-32.344975,-5.01708,143.816544
16,3876,8676,9712,-1187,462,5323,0.04,-0.29,0.88,-0.373169,-32.509068,-8.596657,138.43663
17,-856,7408,6072,-984,-342,5836,0.02,-0.29,0.86,-0.424438,-32.176838,-12.156145,131.812454
18,-5992,6840,3844,-586,-486,6076,0.01,-0.3,0.83,-0.480042,-31.084366,-15.549892,124.394196
19,-14340,6400,5440,-221,-151,6254,-0.01,-0.3,0.79,-0.535583,-29.085165,-19.29254,116.565292
20,-23780,3956,10108,83,-159,6157,-0.03,-0.29,0.75,-0.589172,-26.037827,-23.487457,108.519882
21,-28980,1220,11100,276,-683,5265,-0.06,-0.29,0.71,-0.63739,-22.179571,-27.070303,100.837646
22,-30428,-44,8592,341,-808,4016,-0.08,-0.28,0.68,-0.675537,-18.356827,-29.358232,94.443649
23,-31500,216,7848,417,-242,2837,-0.1,-0.28,0.65,-0.701782,-15.198884,-31.088142,89.770912
24,-32768,-484,9868,465,354,1834,-0.12,-0.28,0.63,-0.71698,-12.702105,-33.085949,86.737358
25,-32768,-920,12468,483,390,850,-0.13,-0.28,0.61,-0.72345,-10.915952,-35.137154,85.102966
26,-32768,-964,13064,488,-357,-76,-0.15,-0.29,0.61,-0.72406,-9.828826,-36.495022,84.58503
27,-30940,-112,10520,585,-1296,-887,-0.15,-0.28,0.61,-0.721497,-9.358986,-36.551205,84.891487
28,-27676,504,8396,805,-1718,-1621,-0.15,-0.28,0.62,-0.715881,-9.248113,-35.527809,85.928291
29,-24896,676,8552,1040,-1739,-2369,-0.14,-0.26,0.64,-0.705566,-9.376043,-34.026947,87.801788
30,-21708,1792,8732,1189,-1741,-3178,-0.14,-0.25,0.66,-0.68927,-9.747458,-32.260532,90.627739
31,-16740,3780,7056,1274,-1594,-4013,-0.13,-0.24,0.69,-0.666321,-10.355067,-30.20714,94.446182
32,-11616,4400,6932,1314,-874,-4707,-0.13,-0.23,0.73,-0.635437,-11.161267,-28.197113,99.296112
33,-8016,4688,8368,1350,-126,-5114,-0.12,-0.22,0.76,-0.596802,-12.147316,-26.701744,104.962799
34,-4116,6256,9456,1553,226,-5293,-0.12,-0.21,0.8,-0.552368,-13.055349,-25.552021,111.090446
35,176,6980,11652,1865,266,-5158,-0.12,-0.2,0.83,-0.504883,-13.465917,-24.377079,117.326065
36,5940,7264,13116,2128,85,-4768,-0.13,-0.19,0.86,-0.457642,-13.127212,-22.945673,123.353821
37,12304,7724,14176,2238,206,-4179,-0.13,-0.17,0.89,-0.413025,-12.093019,-21.246199,129.003647
38,15960,8108,17132,2110,803,-3359,-0.13,-0.15,0.91,-0.373047,-10.554433,-19.892067,133.985733
39,18268,8996,21160,1685,1361,-2327,-0.13,-0.13,0.92,-0.340454,-8.86453,-19.38899,137.920181
40,17168,9016,24848,1171,1433,-972,-0.14,-0.11,0.93,-0.319153,-7.219698,-19.518711,140.41246
41,15112,8636,24696,763,927,391,-0.15,-0.1,0.93,-0.312744,-5.567418,-19.686232,141.15744
42,13612,8572,21924,505,524,1532,-0.15,-0.09,0.93,-0.320251,-3.806343,-19.46172,140.329117
43,10840,8632,20376,159,615,2510,-0.15,-0.07,0.93,-0.339111,-1.967149,-19.160553,138.118607
44,6912,8440,19228,-247,728,3332,-0.15,-0.06,0.91,-0.367493,-0.234882,-19.158691,134.605759
45,4784,9180,16352,-515,592,3914,-0.16,-0.06,0.9,-0.403137,1.31525,-19.267761,130.06546
46,2536,9840,14428,-562,545,4447,-0.16,-0.05,0.88,-0.443726,2.918193,-19.235865,124.805367
47,-1064,9600,13700,-536,451,4948,-0.16,-0.05,0.86,-0.488281,4.734821,-19.114616,118.86834
48,-6320,8112,13584,-393,230,5254,-0.17,-0.04,0.83,-0.535156,6.734245,-18.784025,112.419891
49,-10544,6940,13180,-107,-111,5151,-0.17,-0.03,0.79,-0.581238,8.862709,-18.14106,105.847214
50,-12904,5820,12976,169,-171,4660,-0.18,-0.02,0.76,-0.622314,11.023803,-17.218931,99.72644
51,-15108,5356,13008,221,41,4108,-0.18,-0.01,0.73,-0.656799,13.044899,-16.429186,94.261726
52,-17772,4652,13704,155,328,3580,-0.19,-0.01,0.7,-0.685364,14.768704,-16.05382,89.405869
53,-19796,2940,15544,86,357,3000,-0.2,-0.01,0.68,-0.708679,16.139904,-16.122948,85.165108
54,-19460,1760,15500,82,23,2238,-0.2,-0.01,0.66,-0.726501,17.08884,-16.253981,81.813393
55,-16580,2448,14616,169,-260,1435,-0.21,-0.01,0.64,-0.738342,17.706562,-16.200529,79.567062
