seq,ax,ay,az,gx,gy,gz,qx,qy,qz,qw,roll,pitch,yaw
0,6736,1432,14816,100,217,176,0.01,0.24,-0.45,-0.861938,-14.06668,23.779554,-57.746601
1,7244,2320,14740,212,247,139,0.0,0.24,-0.45,-0.862,-13.865459,23.628876,-57.802826
2,8904,3632,15080,245,289,157,0.0,0.23,-0.45,-0.862549,-13.0062,23.215172,-57.92374
3,9160,3968,15080,172,310,287,-0.0,0.23,-0.45,-0.862671,-12.689834,23.085964,-57.981052
4,8808,4104,13708,96,354,542,-0.01,0.22,-0.46,-0.861694,-12.054259,22.616331,-58.444721
5,8256,4044,13944,166,380,656,-0.01,0.22,-0.46,-0.860901,-11.915117,22.419477,-58.708782
6,8216,4576,15184,347,184,793,-0.01,0.21,-0.47,-0.857422,-11.36077,21.768427,-59.798428
7,8520,4976,15052,408,53,897,-0.01,0.21,-0.47,-0.855774,-11.116168,21.642977,-60.275826
8,7444,5352,16916,435,114,1112,-0.02,0.2,-0.49,-0.849121,-10.329591,21.388081,-62.05238
9,6196,5224,17304,338,130,1233,-0.02,0.2,-0.49,-0.846558,-10.095567,21.2285,-62.717003
10,5004,5488,16044,227,140,1284,-0.02,0.2,-0.51,-0.837524,-9.724309,20.600094,-64.919914
11,4280,5872,16372,279,232,1290,-0.03,0.19,-0.52,-0.834473,-9.629777,20.355925,-65.64695
12,3284,5836,17896,341,272,1381,-0.03,0.18,-0.53,-0.825012,-9.179167,19.396027,-67.844513
13,2572,5340,17592,270,272,1480,-0.03,0.18,-0.54,-0.821533,-9.01986,19.027929,-68.626801
14,-1760,4956,18468,241,291,1621,-0.03,0.17,-0.56,-0.809753,-8.785604,17.788292,-71.179901
15,-4280,4320,18460,323,66,1649,-0.03,0.17,-0.57,-0.805359,-8.720217,17.304253,-72.102173
16,-8032,3532,18564,412,-36,1539,-0.03,0.15,-0.59,-0.79126,-8.385749,16.048958,-74.956337
17,-10288,3272,19280,438,-33,1372,-0.03,0.15,-0.6,-0.786682,-8.215986,15.598657,-75.857979
18,-12816,3552,20564,460,-140,1006,-0.03,0.14,-0.62,-0.775085,-7.523973,14.153595,-78.097481
19,-13492,3436,20828,400,-206,760,-0.03,0.13,-0.63,-0.769531,-6.935064,13.277174,-79.146416
20,-14180,3588,20260,229,-167,294,-0.03,0.12,-0.63,-0.766235,-6.404043,12.458854,-79.769424
21,-14032,3848,20040,161,-105,-125,-0.03,0.11,-0.63,-0.765625,-5.874229,11.624109,-79.903381
22,-13196,4104,19616,60,-57,-492,-0.02,0.1,-0.63,-0.767822,-5.341029,10.805137,-79.529991
23,-11868,3904,19148,-47,-31,-790,-0.02,0.09,-0.63,-0.772278,-4.874995,10.031373,-78.744514
24,-10508,3976,17848,-86,-80,-1014,-0.02,0.09,-0.62,-0.778442,-4.487002,9.380229,-77.636154
25,-8712,4456,17304,-3,-153,-1246,-0.02,0.08,-0.61,-0.78595,-4.053154,8.888288,-76.259117
26,-6368,5080,17452,106,-139,-1444,-0.02,0.08,-0.6,-0.794678,-3.450032,8.599139,-74.622505
27,-4384,5972,18388,121,-118,-1570,-0.02,0.07,-0.59,-0.80426,-2.700471,8.368933,-72.784966
28,-2260,6100,17728,50,-97,-1625,-0.03,0.07,-0.58,-0.81427,-1.94158,8.228896,-70.816025
29,-1184,5708,18068,11,-8,-1652,-0.03,0.06,-0.56,-0.82428,-1.259919,8.099884,-68.799255
30,524,5444,17932,14,-20,-1714,-0.03,0.06,-0.55,-0.834229,-0.632847,7.966223,-66.738625
31,2680,5912,17632,26,-27,-1757,-0.04,0.06,-0.53,-0.844238,-0.009669,7.909646,-64.604622
32,5052,6140,17472,41,7,-1730,-0.04,0.06,-0.52,-0.853943,0.650921,7.946129,-62.458267
33,7036,5688,17512,8,93,-1614,-0.04,0.05,-0.5,-0.862976,1.297203,8.020309,-60.393078
34,8472,5636,17184,-55,129,-1428,-0.05,0.05,-0.49,-0.871033,1.82376,8.087214,-58.496582
35,10124,5568,16528,-10,105,-1256,-0.05,0.05,-0.47,-0.877808,2.280467,8.217543,-56.845436
36,11204,5468,16536,86,129,-1077,-0.06,0.05,-0.46,-0.883484,2.780847,8.432968,-55.411678
37,12808,5648,16780,94,214,-898,-0.06,0.05,-0.45,-0.888,3.326533,8.657155,-54.216114
38,14236,6112,16836,23,324,-659,-0.06,0.05,-0.45,-0.891541,3.805131,8.844115,-53.254341
39,14440,6244,15920,8,348,-296,-0.07,0.05,-0.44,-0.893677,4.183302,9.01547,-52.647282
40,13916,6268,15536,88,313,38,-0.07,0.05,-0.44,-0.894043,4.517789,9.219804,-52.492367
41,13908,6568,15336,168,344,303,-0.07,0.06,-0.44,-0.892883,4.901825,9.454415,-52.708393
42,13460,6756,15324,189,396,605,-0.08,0.05,-0.44,-0.890442,5.30621,9.667731,-53.250919
43,12308,6980,14816,184,389,904,-0.08,0.05,-0.45,-0.886475,5.668962,9.83852,-54.171474
44,11044,7200,14568,161,410,1154,-0.09,0.05,-0.46,-0.881104,5.949696,9.992216,-55.426231
45,9756,7644,14032,198,390,1363,-0.09,0.05,-0.47,-0.874512,6.184921,10.095878,-56.954586
46,8996,8380,13724,286,356,1546,-0.09,0.05,-0.49,-0.866699,6.482224,10.212337,-58.713215
47,7404,8808,14184,368,328,1776,-0.1,0.05,-0.5,-0.857544,6.881283,10.337359,-60.69315
48,5852,8944,13764,426,239,1966,-0.1,0.05,-0.52,-0.846802,7.313131,10.492809,-62.939907
49,4624,9468,12816,520,214,2028,-0.11,0.04,-0.54,-0.834839,7.806539,10.714253,-65.338776
50,3660,10324,13264,669,395,1997,-0.11,0.04,-0.56,-0.822266,8.441768,10.838216,-67.754219
51,376,11268,16700,752,692,2110,-0.12,0.03,-0.57,-0.809204,9.285558,10.617671,-70.172058
52,-4132,11184,19032,685,556,2274,-0.12,0.02,-0.59,-0.794861,10.116293,10.048089,-72.807137
53,-8700,9432,18776,698,217,2341,-0.13,0.01,-0.61,-0.779419,10.845323,9.616334,-75.581963
54,-12300,8292,20140,817,29,2131,-0.13,-0.0,-0.63,-0.763794,11.584529,9.317307,-78.299316
55,-13392,8116,21688,821,-82,1722,-0.13,-0.01,-0.65,-0.749878,12.433607,8.983417,-80.635048
56,-13156,8356,22912,688,-170,1320,-0.14,-0.02,-0.66,-0.738708,13.266669,8.62755,-82.462837
57,-11840,8432,22560,467,-258,993,-0.14,-0.03,-0.67,-0.730286,13.959873,8.324947,-83.820831
58,-10456,8304,21576,228,-212,734,-0.14,-0.03,-0.67,-0.724182,14.40836,8.077488,-84.818024
59,-9652,8184,21560,87,-111,464,-0.14,-0.04,-0.68,-0.720093,14.65315,7.732956,-85.531624
60,-8040,8232,21156,28,-219,222,-0.14,-0.04,-0.68,-0.718018,14.796742,7.33951,-85.931023
61,-6428,8192,20620,40,-433,22,-0.14,-0.04,-0.68,-0.717468,14.952614,7.147819,-86.026901
62,-4640,7964,19356,13,-503,-159,-0.14,-0.04,-0.68,-0.718384,15.154631,7.220391,-85.809944
63,-3528,8472,19080,9,-390,-289,-0.14,-0.04,-0.68,-0.720337,15.356462,7.323086,-85.406395
