seq,ax,ay,az,gx,gy,gz,qx,qy,qz,qw,roll,pitch,yaw,rax,ray,raz,wx,wy,wz
41,12092,7588,15140,844,577,1746,-0.07,0.09,0.2,0.973877,-5.588814,-11.403735,-23.707354,10010,5156,-400,6959,8384,-2861
42,7232,6632,12660,911,498,2322,-0.04,0.09,0.22,0.968994,-2.634576,-11.537305,-26.683994,7898,4237,-700,4975,7072,-2455
43,6424,7052,12496,1050,479,2556,-0.04,0.1,0.24,0.966492,-1.575373,-11.626423,-27.937304,7188,3953,-976,4272,6608,-2510
44,5148,7844,13572,1206,454,2930,-0.01,0.1,0.27,0.95636,2.060986,-11.768885,-32.287918,5643,3437,-1281,2634,5756,-2282
45,2136,7916,12996,1317,375,3270,-0.0,0.11,0.29,0.951904,3.412096,-11.750916,-33.959942,5105,3306,-1251,2085,5469,-2069
46,-140,8792,13296,1439,417,3423,0.03,0.12,0.33,0.935059,7.735782,-11.523109,-39.396339,3332,2948,-1317,370,4354,-1555
47,-4032,9504,16352,1476,523,3509,0.04,0.12,0.35,0.928406,9.248569,-11.454333,-41.279461,2698,2893,-1133,-171,3939,-1176
48,-8804,9408,18600,1447,620,3560,0.07,0.14,0.4,0.905273,13.742431,-11.315829,-47.093769,167,2648,52,-1723,1915,633
49,-13164,7964,21164,1430,454,3505,0.08,0.14,0.41,0.89679,15.181904,-11.294973,-49.053867,-874,2427,678,-2058,901,1436
50,-15536,6336,21620,1337,293,3172,0.1,0.16,0.45,0.871216,19.049656,-10.976006,-54.56987,-3771,1335,2178,-2229,-2396,3166
51,-15508,5892,21940,1185,304,2666,0.11,0.17,0.46,0.863464,20.138378,-10.864399,-56.152626,-4431,955,2466,-2056,-3258,3431
52,-18300,4060,24044,887,265,2177,0.12,0.18,0.49,0.843018,22.75293,-10.807712,-60.219437,-5868,-86,3533,-1079,-5247,4267
53,-18752,3504,23332,734,33,1853,0.12,0.19,0.5,0.837402,23.360933,-10.832615,-61.35302,-6352,-452,3848,-726,-5889,4487
54,-17212,3708,21384,608,-361,1276,0.13,0.19,0.52,0.825256,24.625818,-10.727178,-63.770226,-7098,-1205,3968,-53,-6961,4371
55,-15304,4352,20444,570,-501,922,0.13,0.19,0.52,0.822754,24.942371,-10.605596,-64.222786,-7058,-1311,3817,46,-6986,4157
56,-11104,6588,20464,328,-295,379,0.14,0.2,0.52,0.819214,25.652166,-10.296796,-64.705818,-6052,-1094,3304,107,-6011,3545
57,-9040,7832,19660,123,-147,185,0.14,0.2,0.52,0.819031,25.767523,-10.323203,-64.695999,-5473,-835,3225,89,-5377,3480
58,-6888,8712,18160,38,-228,141,0.14,0.2,0.52,0.819702,25.826944,-10.4761,-64.514046,-3694,42,2628,-218,-3377,3015
59,-5924,9084,17856,25,-274,153,0.14,0.2,0.52,0.820007,25.845688,-10.443161,-64.422852,-3222,265,2418,-318,-2853,2837
60,-4688,9036,16404,-144,-85,144,0.14,0.2,0.52,0.820801,25.845705,-10.283108,-64.209442,-2034,737,1833,-521,-1570,2302
61,-4124,8616,15280,-189,12,145,0.14,0.2,0.52,0.820984,25.779943,-10.294323,-64.199837,-1713,805,1568,-576,-1243,2039
62,-4220,7708,14884,-130,41,175,0.14,0.2,0.52,0.821167,25.594379,-10.45193,-64.270256,-1016,727,747,-627,-624,1155
63,-4276,7360,15028,-110,26,173,0.13,0.2,0.52,0.821106,25.554262,-10.509338,-64.309753,-908,629,598,-576,-564,962
64,-4144,7428,15048,-180,126,133,0.13,0.2,0.52,0.821167,25.384617,-10.709334,-64.398117,-696,397,400,-400,-465,651
65,-3852,7284,15020,-205,147,117,0.13,0.2,0.52,0.821228,25.296518,-10.824534,-64.438652,-642,369,368,-372,-426,602
66,-4032,6988,14252,-137,62,123,0.13,0.2,0.52,0.821533,25.009478,-11.144567,-64.53791,-466,298,160,-344,-293,355
67,-3876,7000,15404,-70,9,110,0.13,0.2,0.52,0.821655,24.954239,-11.217229,-64.540489,-445,250,99,-325,-294,278
68,-3452,7364,16944,-225,91,48,0.12,0.2,0.52,0.822327,24.774323,-11.374894,-64.475655,-320,227,503,-75,-190,604
69,-3532,7320,16216,-381,160,8,0.12,0.2,0.52,0.822693,24.615005,-11.468549,-64.466614,-249,270,668,-9,-105,754
