timestamp,seq,ax,ay,az,gx,gy,gz,qx,qy,qz,qw,roll,pitch,yaw,rax,ray,raz,wx,wy,wz
0,0,2628,1176,14320,-127,-71,195,0.16,0.05,0.84,-0.523376,-5.250896,18.346468,114.299164,-942,1855,69,2044,-3,-392
20,1,2996,1136,15252,83,-350,256,0.16,0.05,0.84,-0.524231,-5.23444,18.389421,114.174011,-984,1700,-165,1872,48,-613
40,2,2964,2512,16124,72,-357,316,0.16,0.05,0.83,-0.527832,-5.05866,18.855747,113.582626,-1053,1604,-11,1845,203,-484
60,3,2900,3036,15952,171,-264,261,0.16,0.05,0.83,-0.529114,-4.960846,18.98881,113.383354,-1108,1703,77,1973,235,-427
80,4,3260,1668,15472,435,-311,122,0.16,0.06,0.83,-0.532227,-4.259625,19.260687,112.966194,-1177,1799,53,2083,263,-464
100,5,4396,764,17148,509,-373,164,0.16,0.06,0.83,-0.53302,-3.92315,19.398031,112.859673,-1137,1612,62,1901,315,-423
120,6,3280,4108,17428,272,-257,392,0.16,0.07,0.83,-0.536987,-3.051614,19.833311,112.311409,-910,1380,742,1730,431,319
140,7,3652,4912,17244,28,-302,330,0.16,0.07,0.82,-0.538696,-2.86753,19.904024,112.083107,-999,1682,784,2043,406,317
160,8,4284,2656,20260,73,-299,215,0.16,0.08,0.82,-0.541748,-2.534643,20.256281,111.620995,-985,1984,1294,2399,448,789
180,9,3412,3168,21092,146,-236,317,0.16,0.08,0.82,-0.542603,-2.435179,20.342581,111.496712,-938,1840,1642,2308,578,1138
200,10,3432,6240,26524,194,-300,422,0.16,0.08,0.82,-0.547302,-2.007767,20.464407,110.88401,-1133,2202,2942,2909,1046,2286
220,11,3484,8056,27652,173,-27,362,0.16,0.09,0.82,-0.549133,-1.785734,20.455589,110.666855,-1119,2522,3697,3306,1166,2997
240,12,4832,8120,27012,-11,416,44,0.15,0.09,0.82,-0.552673,-0.993226,19.748846,110.462166,-860,3614,5095,4365,972,4444
260,13,4824,6196,26880,-96,599,-50,0.14,0.09,0.82,-0.552795,-0.755521,19.343422,110.56929,-659,3684,5256,4353,796,4694
280,14,4112,5140,29048,-37,844,59,0.13,0.08,0.82,-0.552856,-0.360006,17.795723,110.948883,-249,3116,5755,3666,671,5384
300,15,3184,8116,28520,-73,1046,124,0.12,0.08,0.82,-0.553528,-0.24443,17.131104,111.008438,-240,3047,5968,3590,695,5620
320,16,3804,10996,27920,-112,1259,-49,0.1,0.07,0.82,-0.555298,0.235679,14.715067,111.26973,-216,3876,6082,4228,192,5842
340,17,4700,10756,28796,-268,1414,-248,0.1,0.07,0.82,-0.555176,0.459988,13.836245,111.452805,-70,4288,6073,4502,-174,5913
360,18,5484,6252,25960,-627,1941,-434,0.08,0.06,0.83,-0.551392,0.683239,10.822148,112.416946,767,4350,6030,4093,-1299,6117
380,19,4920,5620,23048,-751,2114,-364,0.07,0.05,0.83,-0.549683,0.50621,9.625309,112.781364,1030,3995,5637,3602,-1608,5764
400,20,3560,6544,19336,-630,2273,-261,0.04,0.02,0.84,-0.545654,-0.368512,5.775403,113.646538,1437,3245,3843,2571,-2273,3947
420,21,2556,7428,16596,-548,2334,-364,0.04,0.02,0.84,-0.544556,-0.552931,4.430532,113.877724,1475,3323,3163,2566,-2483,3235
440,22,2024,5868,14000,-475,2234,-702,0.01,-0,0.84,-0.538208,-0.865863,0.3682,114.874275,1467,3562,989,2630,-2829,944
460,23,1748,3232,12484,-456,2209,-820,-0,-0.01,0.84,-0.534851,-0.984497,-0.92945,115.33313,1517,3375,376,2404,-2822,293
480,24,920,1392,8100,-468,2097,-755,-0.03,-0.03,0.85,-0.523254,-1.608409,-4.722836,116.801231,1682,2260,-1519,1277,-2381,-1714
500,25,500,1564,6636,-493,1898,-659,-0.04,-0.04,0.85,-0.519592,-1.893463,-5.926109,117.232521,1691,1946,-2235,996,-2143,-2460
520,26,-624,1976,3672,-500,1562,-593,-0.06,-0.06,0.86,-0.509949,-2.835789,-9.095684,118.291924,1625,1595,-4087,766,-1498,-4365
540,27,-868,1508,2996,-467,1305,-611,-0.06,-0.07,0.86,-0.506897,-3.141897,-9.995262,118.615196,1563,1567,-4655,795,-1263,-4933
560,28,-776,-864,1616,-444,973,-588,-0.07,-0.08,0.86,-0.497498,-4.146119,-12.164084,119.638252,1470,1115,-5925,501,-496,-6165
580,29,-1768,-2544,1056,-336,841,-500,-0.08,-0.09,0.86,-0.494629,-4.519913,-12.726491,119.956703,1529,861,-6252,261,-275,-6482
600,30,-3404,-24,-1680,-68,597,-407,-0.09,-0.1,0.86,-0.487488,-5.327375,-14.205534,120.713524,1212,538,-7251,203,590,-7344
620,31,-3664,676,-1664,158,322,-443,-0.09,-0.1,0.86,-0.485291,-5.420959,-14.617279,120.934418,1024,612,-7669,406,866,-7702
640,32,-3688,1708,-260,320,18,-517,-0.09,-0.1,0.87,-0.478149,-5.160581,-15.227312,121.728561,649,1056,-8050,1092,1084,-7997
660,33,-3776,1896,-1224,325,-67,-562,-0.1,-0.1,0.87,-0.475586,-5.008047,-15.306376,122.029839,568,1172,-8055,1264,1081,-7988
680,34,-3516,1212,-2340,359,-413,-656,-0.1,-0.1,0.87,-0.467163,-4.533406,-15.2588,123.077904,356,1354,-8501,1639,1199,-8372
700,35,-4336,744,-1480,437,-682,-652,-0.1,-0.09,0.88,-0.464111,-4.382396,-15.065659,123.491692,298,1262,-8630,1616,1281,-8479
720,36,-3648,-1040,1988,508,-1024,-620,-0.09,-0.08,0.88,-0.455322,-3.80037,-13.832506,124.784264,42,723,-8083,1262,1430,-7887
740,37,-3420,-564,1984,543,-1174,-564,-0.09,-0.08,0.88,-0.452637,-3.597573,-13.254316,125.207527,-9,530,-7823,1096,1435,-7630
760,38,-1792,-2908,6660,606,-1524,-499,-0.08,-0.06,0.89,-0.445435,-2.811775,-11.037365,126.411461,-39,-32,-6839,518,1295,-6695
780,39,-688,-4408,8468,442,-1607,-357,-0.07,-0.06,0.89,-0.443359,-2.567755,-10.114171,126.785492,56,-355,-6247,125,1210,-6137
800,40,592,-5852,9624,449,-1691,-24,-0.05,-0.04,0.9,-0.440308,-2.221105,-7.035798,127.483498,404,-1612,-4625,-1318,1220,-4573
820,41,1580,-6032,11432,462,-1864,166,-0.04,-0.04,0.9,-0.440552,-2.081474,-5.94645,127.532608,516,-1892,-4270,-1665,1190,-4229
840,42,2756,-7388,17036,330,-2067,510,-0.01,-0.02,0.9,-0.444946,-1.767238,-2.182097,127.145912,825,-2622,-2522,-2592,1047,-2469
860,43,2788,-6656,18704,209,-1996,713,0,-0.02,0.89,-0.447754,-1.751259,-0.845638,126.806313,866,-2814,-1720,-2798,1042,-1645
880,44,3088,-7528,20588,163,-1884,929,0.03,-0,0.89,-0.459045,-1.977872,2.923016,125.285011,771,-3074,239,-2935,1154,383
900,45,3340,-6764,23588,321,-1826,1086,0.04,0,0.89,-0.463623,-2.086648,4.096676,124.632019,714,-3153,815,-2935,1242,977
920,46,3096,-5316,28660,287,-1543,1338,0.06,0.01,0.87,-0.480164,-2.165489,7.295803,122.219078,459,-2856,3191,-2329,1430,3328
940,47,3044,-4216,27988,123,-1275,1527,0.07,0.02,0.87,-0.486511,-2.240205,8.169422,121.28875,360,-2683,4013,-2034,1511,4124
960,48,3032,508,32444,152,-1198,1850,0.09,0.03,0.86,-0.508972,-2.733915,10.203736,118.032448,66,-1573,5508,-715,1432,5500
980,49,3104,4916,32767,178,-958,1956,0.09,0.03,0.85,-0.517395,-2.808853,10.795688,116.812927,-17,-883,6252,31,1325,6173
1000,50,2088,12060,32767,-122,-128,1852,0.1,0.04,0.83,-0.543152,-2.732309,11.64721,113.196289,-266,2243,7539,3085,575,7216
1020,51,964,14512,32767,-465,432,1635,0.1,0.04,0.83,-0.550964,-2.707474,11.498836,112.151115,-366,3426,7754,4215,281,7357
1040,52,-1088,15772,26744,-659,887,1196,0.08,0.03,0.82,-0.569824,-2.880363,9.850047,109.764458,-820,6206,7510,6876,-328,6942
1060,53,-1220,14856,23760,-687,961,826,0.07,0.02,0.81,-0.57843,-2.922582,8.39019,108.738998,-1195,7135,6173,7697,-485,5564
1080,54,-2116,11936,16612,-954,1120,569,0.06,0.01,0.81,-0.583984,-3.15777,6.826351,108.113579,-1368,7118,4398,7554,-549,3808
1100,55,-2316,9072,10304,-1048,968,386,0.06,0,0.81,-0.587646,-3.74861,5.273057,107.711769,-1450,6633,1804,6894,-554,1227
1120,56,-2236,6852,7392,-881,625,278,0.05,-0.01,0.81,-0.589966,-4.488525,4.043003,107.453529,-1489,5786,-780,5864,-373,-1332
1140,57,-2032,6004,6236,-638,395,209,0.05,-0.02,0.8,-0.591675,-5.065226,3.249401,107.251289,-1427,4920,-2511,4841,-180,-3011
1160,58,-1880,6100,4908,-365,203,74,0.05,-0.02,0.8,-0.592834,-5.391883,2.69069,107.11554,-1384,4443,-3863,4228,-59,-4323
1180,59,-1600,5828,4008,-71,51,-63,0.04,-0.02,0.8,-0.592834,-5.346961,2.419481,107.135765,-1269,4060,-4729,3751,-49,-5135
1200,60,-984,4352,4028,108,-167,-139,0.04,-0.02,0.8,-0.592102,-5.011218,2.374734,107.251663,-1115,3766,-5398,3392,-130,-5747
1220,61,-692,4820,2584,117,-441,-61,0.04,-0.02,0.81,-0.591309,-4.568147,2.643096,107.359077,-984,3357,-5912,2953,-188,-6199
1240,62,-884,6728,2832,169,-779,-34,0.04,-0.01,0.81,-0.591187,-4.152141,3.305537,107.343819,-970,3325,-6312,2905,-286,-6581
1260,63,-448,8348,4992,383,-1094,-206,0.05,-0,0.81,-0.590576,-3.436916,4.344992,107.381226,-1092,3663,-6396,3299,-415,-6667
1280,64,652,7800,5528,310,-1212,-393,0.05,0.01,0.81,-0.588257,-2.520265,5.735666,107.638405,-1065,3908,-5911,3609,-675,-6153
1300,65,1932,8420,4804,286,-1382,-532,0.06,0.03,0.81,-0.584167,-1.647985,7.302143,108.12027,-917,3998,-5703,3693,-1036,-5884
1320,66,3168,7756,7712,238,-1662,-665,0.07,0.04,0.81,-0.578552,-0.759419,9.222347,108.761513,-632,4028,-5416,3658,-1525,-5499
1340,67,3664,5820,11032,204,-1832,-771,0.08,0.06,0.81,-0.571411,0.073986,11.424447,109.546082,-521,3740,-4582,3387,-1647,-4589
1360,68,4140,3216,15944,303,-1877,-788,0.09,0.07,0.82,-0.563171,0.889329,13.762049,110.410477,-424,2968,-3015,2709,-1354,-2984
1380,69,4368,3640,20976,323,-1840,-698,0.11,0.09,0.82,-0.555237,1.708676,15.998495,111.193413,-490,2199,-1095,2138,-662,-1124
1400,70,4756,764,27584,353,-1668,-711,0.12,0.1,0.82,-0.547485,2.517585,18.065935,111.92849,-477,1520,1392,1695,262,1237
1420,71,5408,-744,28036,406,-1364,-743,0.13,0.12,0.82,-0.540161,3.292351,19.649609,112.657341,-508,640,3683,1094,1403,3326
1440,72,7660,-3076,32767,104,-1451,-720,0.14,0.13,0.83,-0.532593,3.893681,21.050007,113.408081,-293,-289,5428,342,2281,4930
1460,73,8916,-4788,32767,-116,-1017,-552,0.15,0.13,0.83,-0.525452,3.93342,22.374462,114.02298,258,-1325,7030,-572,2944,6499
1480,74,8560,-5172,32767,-215,-487,-299,0.15,0.13,0.83,-0.520813,3.591701,23.091026,114.394691,638,-2089,7891,-1216,3343,7374
1500,75,6796,-2956,30068,-284,-26,-37,0.16,0.13,0.83,-0.519043,2.994113,23.169025,114.529007,674,-2279,8193,-1274,3493,7677
1520,76,4892,-452,25040,-330,257,58,0.16,0.12,0.83,-0.519348,2.384079,22.75691,114.524063,299,-1725,7330,-687,3168,6803
1540,77,3900,-1172,22072,-440,339,55,0.15,0.11,0.83,-0.519897,1.81694,22.128609,114.550598,-164,-1138,5921,-135,2709,5386
1560,78,2972,-188,20476,-632,335,164,0.15,0.11,0.83,-0.52063,1.053489,21.466452,114.537216,-620,-854,4573,149,2427,4013
1580,79,2816,4,19220,-792,425,202,0.15,0.1,0.83,-0.521667,0.078698,20.777481,114.46537,-984,-398,3480,580,2113,2904
1600,80,2772,1588,18008,-590,687,254,0.15,0.09,0.83,-0.523132,-0.888141,19.926123,114.381302,-1097,28,2647,899,1712,2113
