seq,ax,ay,az,gx,gy,gz
0,-3420,3004,16588,-9,-32,-52
1,-3508,3136,16768,-7,-42,-60
2,-3540,3220,16968,18,-94,-82
3,-3060,3460,17152,12,-98,-101
4,-2928,3516,17512,-56,-51,-91
5,-3224,3296,17352,-93,-50,-75
6,-3508,3268,17368,-104,-56,-88
7,-3396,3232,17868,-92,-52,-111
8,-3380,3168,19080,-93,-47,-103
9,-3988,3208,19736,-155,-110,-79
10,-4424,3500,19808,-228,-185,-94
11,-4492,3592,20008,-279,-275,-116
12,-4092,3576,20132,-364,-296,-176
13,-4084,3316,20116,-499,-242,-225
14,-3744,3140,19464,-615,-271,-275
15,-3408,2916,19048,-650,-301,-289
16,-3348,2484,18944,-672,-333,-279
17,-3256,2496,18856,-713,-362,-293
18,-2700,2072,18352,-805,-398,-322
19,-2268,1988,17728,-855,-407,-341
20,-1756,1772,16884,-891,-392,-350
21,-1372,1336,15888,-883,-365,-354
22,-848,904,15396,-870,-307,-370
23,-268,420,14156,-885,-249,-359
24,16,300,13584,-849,-204,-338
25,284,-152,13064,-761,-171,-286
26,464,-648,12312,-700,-135,-233
27,468,-1480,11356,-610,-44,-173
28,156,-1896,10484,-544,7,-141
29,-324,-2616,10260,-395,98,-118
30,-856,-2664,10124,-219,92,-152
31,-892,-2628,9892,-92,110,-172
32,-1336,-2864,10012,-24,152,-174
33,-1800,-2980,9688,87,140,-203
34,-1860,-2864,9612,198,123,-231
35,-1916,-2400,10312,404,132,-240
36,-2428,-1868,10824,522,94,-239
37,-2588,-1580,11424,604,108,-281
38,-2360,-1372,11816,640,150,-333
39,-2264,-732,11644,668,199,-371
40,-2272,-656,12480,739,256,-410
41,-2308,-40,13056,790,269,-403
42,-2736,736,13364,850,266,-389
43,-3036,984,13832,902,249,-389
44,-2816,1216,14848,966,253,-418
45,-3088,1808,15636,956,255,-419
46,-3396,2032,15748,940,234,-430
47,-3284,2452,16108,956,210,-478
48,-2792,3216,17200,998,186,-510
49,-2312,3844,17736,977,127,-508
50,-2036,4244,18140,917,122,-480
51,-1960,4428,18328,859,119,-455
52,-1396,4736,18604,817,80,-459
53,-740,4968,18868,746,59,-419
54,-1124,5004,19268,656,181,-402
55,-576,5552,20320,545,255,-482
56,732,6052,20800,426,220,-457
57,1124,6452,20804,354,111,-284
58,1188,6804,20476,341,-48,-117
59,1720,6644,21028,312,-94,0
60,2140,6552,20928,168,-81,71
61,3112,6632,20468,-20,-13,132
62,3280,6648,19600,-186,18,268
63,3472,6308,18572,-248,14,407
64,3572,6332,17516,-268,76,530
65,2904,6048,17964,-267,96,674
66,2532,5808,17524,-310,115,774
67,1944,5888,17260,-354,189,860
68,1100,5728,16968,-380,220,966
69,-120,5368,16876,-393,225,1060
70,-1360,4776,16544,-417,216,1115
71,-2368,4552,16100,-422,209,1111
72,-3160,4284,15708,-387,162,1102
73,-4104,3848,15592,-338,111,1079
74,-4816,3488,15176,-290,65,1035
75,-6068,2936,15004,-273,68,986
76,-7012,2476,14672,-246,54,899
77,-7632,2104,14604,-227,53,773
78,-7800,1992,14300,-204,60,631
79,-8116,1848,14296,-129,21,530
80,-7968,1980,14680,-58,1,426
81,-7676,2032,15020,-37,-19,327
82,-6996,2344,15104,-55,14,196
83,-5568,3080,15804,-59,59,93
84,-4824,3264,16052,-90,74,87
85,-4720,3036,16124,-113,41,108
86,-4420,2852,15952,-104,31,76
87,-3984,2520,15968,-131,54,46
88,-3696,2364,15272,-162,93,10
89,-3376,2412,15388,-109,75,-25
90,-3100,2672,15412,-22,15,-28
91,-2732,2752,15652,75,-15,-23
92,-2768,2572,16048,93,-30,-10
