seq,ax,ay,az,gx,gy,gz
0,-2676,2700,16196,77,78,159
1,-2588,2852,15720,41,99,134
2,-3412,2632,16088,40,128,117
3,-3376,2772,16208,83,44,73
4,-3124,2976,16576,114,31,52
5,-3116,3128,16884,107,19,55
6,-3636,2988,17296,92,2,68
7,-3800,3080,17036,58,-30,22
8,-3684,3196,17364,30,6,-20
9,-3916,2928,17608,7,-15,-21
10,-4184,2900,17732,-9,-22,-20
11,-4816,2736,18108,-24,-33,-30
12,-5208,2692,17912,-31,-107,-83
13,-4732,2780,19148,-14,-105,-139
14,-4900,2988,19908,-88,-113,-150
15,-5792,2744,19952,-187,-148,-170
16,-5664,2368,19800,-285,-177,-276
17,-5220,2168,19756,-396,-162,-378
18,-4316,2300,19184,-446,-207,-449
19,-4256,2732,19456,-464,-212,-449
20,-3868,3236,19376,-498,-268,-459
21,-3976,3164,19000,-564,-281,-459
22,-3612,3032,18968,-619,-300,-519
23,-2368,3020,18592,-698,-346,-563
24,-1436,2908,17680,-791,-360,-544
25,-592,2796,16612,-850,-326,-506
26,-600,2080,16288,-877,-298,-453
27,-184,1676,15232,-875,-298,-433
28,284,1184,14692,-845,-246,-412
29,752,952,14436,-810,-233,-368
30,1156,556,13376,-780,-202,-299
31,820,272,12896,-720,-124,-249
32,936,-240,12176,-638,-106,-231
33,1240,-836,11728,-547,-32,-205
34,1048,-1460,11364,-478,38,-148
35,552,-1688,10748,-389,57,-89
36,0,-2216,10220,-250,51,-60
37,-360,-2752,9764,-132,107,-64
38,-1044,-2980,9404,-19,177,-71
39,-1508,-2864,9528,149,188,-106
40,-1788,-3012,9908,322,159,-135
41,-2208,-2952,10040,424,158,-158
42,-2752,-2408,10224,549,145,-205
43,-3376,-1880,10468,681,154,-281
44,-3020,-1140,11476,836,176,-392
45,-2584,-28,13148,918,177,-427
46,-2748,680,14000,925,154,-398
47,-3084,1052,14176,909,159,-405
48,-2884,1524,14524,920,213,-465
49,-2232,2120,15144,910,276,-488
50,-2564,1892,15288,890,297,-429
51,-3564,1804,15496,932,228,-399
52,-3380,2392,15840,1023,142,-430
53,-2748,2964,17072,1070,128,-482
54,-2408,3480,17904,1031,94,-482
55,-1708,4072,18372,971,85,-472
56,-1328,4648,19252,900,83,-420
57,-1280,5072,19380,802,82,-375
58,-1176,5240,19416,728,75,-355
59,-824,5492,20044,661,99,-333
60,-320,5660,20276,543,85,-280
61,136,5656,20164,422,64,-227
62,524,6084,19972,301,116,-186
63,1312,6408,19924,255,102,-113
64,1592,6400,19996,174,111,10
65,1632,6396,19716,55,107,109
66,1628,6432,19380,-33,57,207
67,2156,6152,18524,-126,70,299
68,2272,6268,18044,-195,123,392
69,2172,6120,17076,-207,111,494
70,2320,6204,16908,-187,137,601
71,2340,6248,16964,-187,138,745
72,1748,6072,16220,-234,201,896
73,1008,5752,15808,-248,324,981
74,-12,5656,16128,-231,371,1040
75,-832,5168,15896,-179,286,1068
76,-1296,5176,16036,-169,272,1070
77,-2224,5168,16236,-202,266,1099
78,-3416,4924,16164,-204,219,1112
79,-4128,4656,16176,-210,209,1072
80,-4832,4352,16220,-260,227,1029
81,-6132,3804,15436,-295,189,1010
82,-7260,3140,14824,-243,140,946
83,-8380,2640,14820,-177,81,848
84,-8892,2216,14676,-136,42,698
85,-8604,2224,14536,-97,30,514
86,-7484,2556,14956,-65,39,383
87,-7408,2636,15088,-89,39,339
88,-7240,2704,14420,-88,19,258
89,-6524,2984,14712,-22,4,154
90,-5380,3320,15344,31,-5,82
91,-4524,3476,15704,-6,5,64
92,-4292,3452,15700,-45,14,58
93,-3736,3520,16112,-42,42,40
94,-3404,3428,16308,-79,67,43
95,-3344,3356,16048,-111,70,40
96,-3532,3260,15848,-109,72,31
97,-3640,3040,15496,-74,46,4
98,-2872,3328,16048,-14,57,-49
99,-2556,3448,16572,-36,66,-38
100,-2788,3248,16532,-102,23,-16
101,-2764,3364,15720,-96,-29,-19
102,-2680,3584,15912,-18,-36,-29
103,-2468,3456,15628,-11,-53,-33
