seq,ax,ay,az,gx,gy,gz
0,-1684,3140,15844,-32,14,-24
1,-1768,2624,16084,-14,43,36
2,-2452,2656,15888,5,3,73
3,-2424,2784,15828,36,21,48
4,-2348,2812,16204,46,19,27
5,-2728,2652,16400,41,12,34
6,-2808,2864,16424,40,-5,3
7,-2520,3012,16624,47,-13,-24
8,-2320,3304,17044,27,-22,-2
9,-2816,2840,17020,1,-26,13
10,-3156,2652,17332,-14,-42,-17
11,-2844,2824,17460,-22,-34,-45
12,-3264,3080,18136,-18,-21,-33
13,-3496,3032,18396,-14,-61,-23
14,-4188,2832,19060,-61,-79,-56
15,-4456,2876,18524,-114,-98,-142
16,-3940,3556,18592,-71,-69,-247
17,-3704,3972,21252,-26,-16,-284
18,-2844,4188,21912,-165,-98,-271
19,-3260,3992,22556,-397,-154,-194
20,-4000,3204,20504,-670,-265,-191
21,-3764,2796,19152,-724,-237,-254
22,-4072,2304,18992,-753,-105,-333
23,-3240,2424,19288,-713,-204,-400
24,-2616,1784,19044,-775,-340,-352
25,-2660,1764,18516,-851,-391,-331
26,-1948,1312,16336,-967,-346,-373
27,-1564,1092,15848,-981,-242,-402
28,-828,1040,14696,-962,-215,-403
29,-500,124,13712,-880,-211,-321
30,-564,-448,12952,-832,-215,-272
31,-396,-1120,11148,-761,-156,-269
32,-24,-1480,10256,-693,-42,-294
33,616,-2136,9664,-518,83,-273
34,360,-2136,9320,-394,73,-195
35,-280,-2516,9276,-163,85,-101
36,-980,-2608,9508,-79,137,-94
37,-2172,-2560,9408,52,188,-158
38,-2096,-2176,9768,154,169,-227
39,-1404,-1704,9964,272,153,-266
40,-1532,-1352,10032,337,154,-238
41,-2340,-1068,10084,470,134,-185
42,-2528,-980,10220,549,154,-209
43,-2488,-880,10752,622,238,-287
44,-2544,-940,10708,632,315,-324
45,-2792,-560,10400,713,386,-348
46,-2864,-332,10476,819,385,-336
47,-2816,144,11952,1021,350,-341
48,-3304,332,12996,1101,320,-331
49,-4160,924,13660,1143,237,-334
50,-4408,1532,14108,1158,246,-397
51,-3336,3204,16412,1197,257,-520
52,-2532,4060,18040,1180,253,-527
53,-2368,4920,19508,1079,173,-414
54,-2384,5408,20324,1046,138,-365
55,-2160,5788,22276,943,72,-349
56,-1736,6092,22760,798,46,-366
57,-600,6184,22088,513,6,-356
58,132,6128,21312,398,27,-333
59,1304,6080,20472,314,27,-256
60,2212,6072,20520,309,33,-191
61,3268,6244,20504,268,107,-45
62,3236,6568,21272,210,206,74
63,2204,6432,21956,-11,214,284
64,1332,6268,21144,-152,151,397
65,776,5900,19556,-266,54,448
66,1068,5516,19308,-303,58,450
67,1876,5864,18040,-366,-10,526
68,1924,5780,17452,-382,-38,614
69,2208,5508,16484,-419,-2,746
70,1748,5420,15964,-457,64,835
71,936,5392,15068,-424,129,965
72,268,5088,14876,-367,156,1054
73,-1368,4828,14912,-283,157,1158
74,-2436,4556,15020,-253,182,1171
75,-4204,4148,15304,-215,166,1154
76,-5120,3976,15520,-200,151,1130
77,-6532,3312,15992,-240,144,1045
78,-7524,2652,15552,-277,128,982
79,-8960,1996,15316,-282,105,869
80,-9680,1448,14848,-211,6,681
81,-9480,1440,14724,-167,-24,552
82,-8604,1492,15032,-112,-23,363
83,-7916,1772,15136,-113,6,283
84,-7528,1780,14776,-132,93,203
85,-7408,1916,14688,-113,104,134
86,-6436,2120,15116,-48,85,14
87,-5540,2316,15516,-30,79,-34
88,-4696,2508,15988,-21,47,-32
89,-4240,2620,15952,-49,36,-21
90,-3804,2376,15788,-79,47,-49
91,-3168,2576,15672,-71,57,-89
92,-2632,2516,16132,-39,34,-74
93,-2704,2584,16332,-57,29,-42
94,-2768,2640,16056,-98,44,-52
