seq,ax,ay,az,gx,gy,gz,qx,qy,qz,qw,roll,pitch,yaw
0,7264,4436,19496,-85,292,-266,0.17,-0.0,0.34,0.92688,18.09547,6.786228,-38.849117
1,7320,4224,20544,-166,180,-150,0.17,-0.0,0.33,0.927551,17.866877,6.664927,-38.752659
2,7172,4224,20108,-236,112,-110,0.16,-0.0,0.33,0.928223,17.500099,6.723912,-38.731991
3,7644,4220,19468,-281,121,-109,0.16,-0.01,0.33,0.928894,17.091396,6.816204,-38.735245
4,7672,4336,19936,-318,227,-58,0.16,-0.01,0.33,0.929504,16.637474,6.889925,-38.765987
5,8072,4740,19444,-387,247,-18,0.15,-0.01,0.33,0.929932,16.136667,6.880384,-38.872383
6,8388,4436,18696,-454,321,27,0.15,-0.01,0.34,0.930359,15.556645,6.878527,-39.021431
7,8480,4688,19124,-526,382,81,0.14,-0.01,0.34,0.930664,14.913148,6.797381,-39.231613
8,8916,4444,17864,-630,321,172,0.14,-0.01,0.34,0.930786,14.163351,6.761006,-39.527214
9,8976,4116,16620,-636,345,282,0.13,-0.02,0.34,0.930603,13.337351,6.805083,-39.938507
10,9064,4096,15332,-584,375,356,0.12,-0.02,0.35,0.929932,12.532023,6.845526,-40.467323
11,8952,4652,15496,-512,421,449,0.12,-0.02,0.35,0.928894,11.816238,6.855916,-41.064697
12,9160,4360,14416,-452,327,609,0.11,-0.02,0.36,0.927246,11.21278,6.895583,-41.791679
13,8632,4400,13348,-373,433,798,0.11,-0.02,0.36,0.924866,10.646613,7.054555,-42.714287
14,7948,4960,13124,-323,480,904,0.1,-0.02,0.37,0.921753,10.166035,7.087826,-43.802547
15,6496,4964,12968,-286,454,1075,0.1,-0.02,0.38,0.917908,9.771721,7.039466,-45.057201
16,5244,4444,11956,-219,412,1198,0.1,-0.02,0.39,0.913269,9.399171,6.997297,-46.502979
17,4260,4648,11260,-80,432,1218,0.1,-0.02,0.41,0.908142,9.126209,6.930151,-48.027214
18,3288,4656,11388,67,458,1221,0.1,-0.02,0.42,0.902649,9.054336,6.780409,-49.557266
19,2144,5008,11400,169,449,1218,0.1,-0.02,0.43,0.896851,9.147586,6.55877,-51.079807
20,592,5064,11100,260,347,1235,0.1,-0.01,0.44,0.890808,9.380239,6.327959,-52.594746
21,-264,4560,10620,400,226,1166,0.1,-0.01,0.46,0.884583,9.744406,6.172804,-54.081589
22,-520,5300,10292,612,231,1021,0.1,-0.01,0.47,0.878479,10.31721,6.071417,-55.428345
23,-1176,5800,12084,834,313,947,0.11,0.0,0.48,0.872681,11.218175,5.871676,-56.59066
24,-1908,6084,12876,895,219,983,0.12,0.01,0.48,0.866577,12.328032,5.633907,-57.714848
25,-2764,6420,12672,964,144,1023,0.13,0.02,0.49,0.860107,13.473553,5.529138,-58.858841
26,-3656,6248,13528,1077,166,1005,0.13,0.02,0.5,0.853271,14.728595,5.440468,-59.9986
27,-4400,6012,14612,1214,144,868,0.14,0.03,0.51,0.846375,16.128284,5.296729,-61.047398
28,-4852,5988,15688,1270,139,726,0.15,0.04,0.52,0.840027,17.632654,5.103209,-61.887852
29,-5840,6784,16452,1264,124,620,0.16,0.05,0.52,0.834229,19.148912,4.86075,-62.558857
30,-6924,7064,17148,1303,58,488,0.17,0.06,0.53,0.828918,20.682198,4.584335,-63.071743
31,-7340,6780,18152,1393,-25,265,0.18,0.07,0.53,0.824463,22.272366,4.285054,-63.330826
32,-7296,6724,19356,1412,-22,-30,0.19,0.08,0.53,0.821289,23.924675,3.918066,-63.233017
33,-8108,7156,20264,1329,-43,-228,0.2,0.09,0.53,0.819702,25.506859,3.417112,-62.790798
34,-9228,7476,20328,1264,-187,-422,0.21,0.1,0.52,0.819275,26.976053,2.862858,-62.100769
35,-9028,8392,21060,1201,-278,-759,0.22,0.11,0.52,0.820496,28.37624,2.238822,-61.022488
36,-7208,8680,20628,1071,-394,-1142,0.23,0.12,0.51,0.823975,29.667568,1.530358,-59.422016
37,-4104,9504,20636,955,-473,-1503,0.23,0.13,0.49,0.829407,30.80694,0.797469,-57.358856
38,-460,10240,20928,900,-449,-1716,0.24,0.13,0.48,0.836121,31.827698,0.070237,-54.946175
39,2872,11268,21788,796,-255,-1793,0.24,0.14,0.46,0.843323,32.75787,-0.6601,-52.346817
40,5540,11836,22408,621,-162,-1697,0.25,0.14,0.44,0.850159,33.525318,-1.438827,-49.854473
41,7596,11848,22280,542,-164,-1550,0.25,0.15,0.42,0.856445,34.063599,-2.077346,-47.609802
42,9436,11992,22752,511,-125,-1398,0.26,0.15,0.41,0.861877,34.504482,-2.499627,-45.611633
43,10448,12328,23276,443,-82,-1146,0.26,0.15,0.4,0.866333,34.881702,-2.751839,-43.890099
44,10584,12348,22964,328,-132,-827,0.27,0.15,0.39,0.86969,35.171764,-2.793056,-42.56358
45,9476,12228,23092,223,-121,-512,0.27,0.14,0.38,0.872009,35.339443,-2.562277,-41.676693
46,7852,11684,22600,64,-217,-296,0.27,0.14,0.38,0.873413,35.37775,-2.171855,-41.207436
47,6208,10804,21628,-63,-396,-206,0.27,0.13,0.38,0.874695,35.223484,-1.63376,-40.995289
48,4820,10116,20392,-192,-589,-202,0.27,0.13,0.38,0.876404,34.910751,-0.958894,-40.830933
