seq,ax,ay,az,gx,gy,gz,qx,qy,qz,qw,roll,pitch,yaw,rax,ray,raz,wx,wy,wz
0,3944,-5200,21412,-188,-148,-458,-0.13,0.09,-0.93,-0.327454,-4.57446,17.955042,-139.786728,-874,-2217,2639,2568,529,2401
1,5240,-4608,22856,-273,-227,-426,-0.13,0.09,-0.93,-0.329651,-4.711629,17.997763,-139.511032,-734,-2128,2833,2445,475,2624
2,4840,-4188,22988,-408,-331,-315,-0.13,0.09,-0.93,-0.333679,-5.07413,18.200756,-138.977158,-371,-1833,3225,2061,321,3089
3,4440,-3804,23600,-498,-540,-283,-0.14,0.1,-0.93,-0.336853,-5.600612,18.527716,-138.518539,-402,-1578,3499,1967,-13,3320
4,5712,-2340,23496,-702,-656,-282,-0.14,0.11,-0.92,-0.339661,-6.227963,19.046566,-138.060699,-414,-1235,3779,1803,-419,3543
5,7480,-488,22932,-970,-718,-203,-0.14,0.11,-0.92,-0.342712,-7.027158,19.748087,-137.53331,-169,-635,3940,1255,-845,3696
6,8868,756,21744,-1269,-739,-4,-0.14,0.13,-0.92,-0.345276,-8.088814,20.597893,-137.026825,304,166,3917,367,-1235,3715
7,9472,1092,20092,-1637,-560,223,-0.15,0.14,-0.92,-0.346375,-9.536645,21.477797,-136.694092,776,957,3648,-573,-1535,3484
8,10960,1344,18908,-1975,-343,501,-0.15,0.16,-0.91,-0.346191,-11.476624,22.140247,-136.589905,1207,1592,3172,-1437,-1654,3040
9,12192,1464,16900,-2298,-176,923,-0.14,0.18,-0.91,-0.343994,-13.936182,22.540422,-136.820648,1767,2184,2667,-2380,-1634,2582
10,11408,1172,13728,-2453,-142,1469,-0.14,0.2,-0.91,-0.338318,-16.934023,22.678778,-137.56218,2261,2727,1921,-3262,-1494,1834
11,10348,424,9928,-2343,-207,2023,-0.13,0.22,-0.91,-0.327393,-20.353308,22.559364,-138.995499,2364,3152,865,-3758,-1318,643
12,9804,-80,8068,-2097,-115,2544,-0.12,0.25,-0.91,-0.310608,-23.935852,22.154842,-141.155426,2248,3419,-425,-3915,-979,-796
13,7864,-624,7264,-1825,-15,3064,-0.11,0.27,-0.91,-0.288452,-27.41571,21.21727,-144.011795,2102,3663,-1427,-3918,-740,-1992
14,8028,-56,7084,-1531,-3,3533,-0.09,0.3,-0.92,-0.245239,-32.15192,18.712307,-149.551254,1760,4064,-2289,-3636,-785,-3319
15,5420,-456,5240,-1354,103,4063,-0.09,0.31,-0.92,-0.22821,-33.562561,17.612654,-151.70639,1715,4243,-2447,-3572,-881,-3660
16,1436,-1896,2256,-1052,260,4378,-0.07,0.32,-0.92,-0.190125,-36.190723,14.842299,-156.544342,1231,4458,-3092,-2934,-892,-4641
17,-1336,-3148,-1708,-528,579,4421,-0.05,0.34,-0.93,-0.148682,-38.329838,11.360541,-161.863068,370,4374,-4175,-1702,-436,-5798
18,-3660,-3420,352,237,861,4362,-0.03,0.34,-0.93,-0.107056,-39.644157,7.300772,-167.318207,-408,4111,-5443,-397,385,-6810
19,-5476,-2412,4824,885,735,4455,-0.0,0.34,-0.94,-0.065857,-39.685772,2.896305,-172.777298,-959,3939,-5575,673,450,-6845
20,-9056,-2648,6492,1172,559,4635,0.02,0.33,-0.94,-0.022766,-38.557865,-1.522573,-178.367813,-1499,3861,-4826,1659,-106,-6138
21,-14812,-4412,5364,1391,455,4637,0.05,0.32,-0.95,0.023071,-36.739353,-5.973515,175.773376,-2391,3551,-4241,2956,-267,-5244
22,-18708,-6636,4068,1866,295,4174,0.07,0.3,-0.95,0.06897,-34.361755,-10.377336,169.897568,-3902,2724,-4253,4715,572,-4262
23,-18132,-5712,3656,2480,318,3462,0.1,0.28,-0.95,0.109619,-31.277134,-14.284693,164.664001,-5146,1654,-4589,5934,1937,-3363
24,-18748,-4188,8712,3027,564,2884,0.12,0.25,-0.95,0.141541,-27.37042,-17.56212,160.491684,-5557,1018,-4731,6266,2707,-2775
25,-19900,-3400,13952,3266,498,2343,0.15,0.22,-0.95,0.16571,-22.690153,-20.448458,157.259552,-5839,616,-3649,6256,2620,-1337
26,-20128,-2168,15016,3401,119,1790,0.18,0.16,-0.95,0.190063,-15.077865,-23.419182,154.17804,-6234,168,-1514,5882,2320,1096
27,-19516,-768,16204,3615,-207,1274,0.18,0.14,-0.95,0.195129,-12.483022,-23.968048,153.652023,-6248,67,-1042,5684,2294,1595
28,-20812,-668,19476,3745,-317,780,0.2,0.1,-0.95,0.200867,-7.250455,-24.57453,153.311935,-6282,-65,-193,5327,2268,2446
29,-21972,-1040,23216,3588,-446,112,0.21,0.06,-0.96,0.200378,-2.222053,-24.832901,153.906326,-6632,-428,1103,4949,2539,3800
30,-21284,-860,23516,3173,-545,-679,0.21,0.03,-0.96,0.192566,2.063722,-24.83145,155.518906,-7037,-904,2558,4503,3013,5245
31,-19076,308,22260,2759,-473,-1425,0.22,-0.0,-0.96,0.176941,5.271562,-24.767473,158.10527,-7035,-1193,3353,4105,3277,5879
