seq,ax,ay,az,gx,gy,gz,qx,qy,qz,qw,roll,pitch,yaw,rax,ray,raz,wx,wy,wz
0,5060,-12580,24268,-693,-243,-924,-0.27,-0.04,-0.5,0.822815,-25.609682,19.208849,59.255375,-1167,-3418,4918,-2424,2079,5199
1,7780,-10512,22168,-1026,-391,-886,-0.28,-0.04,-0.51,0.81543,-26.417601,19.89617,60.144691,-431,-2862,4761,-1562,1731,5060
2,9324,-9152,22628,-1230,-617,-719,-0.29,-0.04,-0.51,0.807617,-27.477446,20.782038,60.884674,259,-2176,4648,-612,1469,4885
3,12304,-6780,22564,-1531,-946,-445,-0.3,-0.04,-0.52,0.799805,-28.838896,21.966623,61.324921,1039,-1293,4745,588,1292,4821
4,14752,-4728,19712,-2033,-1060,-14,-0.32,-0.04,-0.52,0.791992,-30.733419,23.376976,61.309299,2081,-175,4690,2079,893,4608
5,16832,-3068,14160,-2380,-1039,533,-0.35,-0.04,-0.51,0.78418,-33.450382,24.697287,60.656555,3052,972,3764,3341,45,3641
6,18540,-1440,9412,-2368,-1008,1268,-0.37,-0.04,-0.51,0.77771,-36.795647,25.725677,59.210911,3995,2128,2197,4370,-1227,2170
7,18084,-628,4280,-2102,-957,2263,-0.4,-0.03,-0.49,0.774841,-40.447704,26.166319,56.779945,4766,3314,515,5240,-2495,523
8,14848,-432,1056,-1620,-665,3259,-0.42,-0.02,-0.47,0.777588,-44.19558,25.539135,53.136711,4832,4227,-1406,5377,-3474,-1485
9,9968,-392,-580,-1025,-367,4114,-0.44,-0.01,-0.44,0.786377,-47.516171,23.542519,48.494545,4247,4919,-2898,5000,-3729,-3423
10,5860,156,-2148,-392,-196,4720,-0.45,0.01,-0.4,0.800659,-50.055191,20.258823,43.047638,3093,5494,-4036,4107,-3309,-5311
11,-40,-232,-2552,345,-146,5110,-0.45,0.03,-0.36,0.818848,-51.600163,16.023617,37.098911,1699,5943,-4971,2783,-2552,-6975
12,-4308,692,-2156,1222,-405,5246,-0.44,0.05,-0.31,0.84021,-51.89439,11.214341,30.921619,95,6214,-5554,1090,-1422,-8139
13,-9320,540,-1348,2045,-576,5252,-0.43,0.07,-0.26,0.863892,-50.759247,6.306115,24.808193,-1460,6418,-5854,-670,-154,-8781
14,-13852,1240,96,2840,-665,5091,-0.4,0.08,-0.21,0.888245,-48.238533,1.402102,18.882971,-3154,6381,-6034,-2752,1058,-8852
15,-19128,132,3284,3622,-787,4785,-0.37,0.09,-0.16,0.912231,-44.270668,-3.211983,13.34891,-4823,6063,-5914,-4859,2101,-8183
16,-19704,-64,8412,4169,-956,4132,-0.32,0.11,-0.11,0.934509,-38.941017,-7.173624,8.443117,-6417,5305,-5069,-6724,2930,-6418
17,-19524,100,11424,4152,-756,3447,-0.27,0.11,-0.07,0.953125,-32.835239,-10.051526,4.523571,-7058,4490,-3779,-7419,3283,-4291
18,-21092,-340,11620,4004,-347,2792,-0.22,0.12,-0.04,0.966675,-26.786131,-12.309116,1.436587,-7429,3673,-2944,-7836,3028,-2601
19,-23056,-1248,13936,4102,-138,2049,-0.18,0.13,-0.02,0.97583,-20.9242,-14.298201,-0.76871,-8018,2693,-2265,-8364,2385,-1001
20,-22832,-1804,18216,4216,-245,1187,-0.13,0.14,-0.0,0.982117,-15.077506,-15.775252,-1.800623,-8479,1642,-1168,-8520,1639,808
21,-21908,-1268,22024,4164,-472,245,-0.08,0.14,0.0,0.986267,-9.489139,-16.542278,-1.55036,-8700,674,295,-8271,889,2649
22,-18488,1568,23948,3984,-641,-618,-0.04,0.15,-0.01,0.988708,-4.371442,-16.644197,-0.035949,-8327,213,1775,-7466,506,4064
23,-17128,3168,28964,3717,-643,-1209,0.0,0.14,-0.02,0.989563,0.243365,-16.409197,2.399688,-7499,326,3290,-6246,555,5275
24,-16956,3048,32767,3303,-908,-1734,0.04,0.14,-0.04,0.988708,4.227357,-16.047966,5.37135,-7019,336,5355,-5253,308,7095
25,-15284,3096,32767,2646,-1031,-2327,0.07,0.13,-0.07,0.986755,7.274183,-15.479087,8.768082,-6572,179,6836,-4566,-163,8310
26,-14112,3436,32767,1853,-674,-2940,0.09,0.12,-0.1,0.983398,9.171662,-15.146178,12.592016,-5967,105,7651,-3917,-442,8865
27,-12624,3820,32767,1181,-424,-3496,0.1,0.12,-0.13,0.978394,9.926477,-15.390808,16.895271,-5351,180,8103,-3237,-445,9145
28,-9392,4532,32767,517,-468,-3843,0.11,0.12,-0.17,0.971802,9.711095,-15.80174,21.593784,-4421,450,8344,-2197,-271,9189
29,-6648,4568,30084,-65,-598,-3930,0.1,0.12,-0.21,0.964233,8.646124,-15.932955,26.357159,-3233,812,8258,-940,-65,8855
30,-3876,4152,26096,-479,-691,-3908,0.09,0.12,-0.25,0.955627,7.005869,-15.701809,31.008997,-2044,1134,7355,149,178,7713
31,-20,4148,22376,-737,-568,-3789,0.08,0.11,-0.29,0.945923,5.037665,-15.190067,35.512154,-635,1396,5889,1280,194,5945
32,1440,3052,21348,-881,-460,-3542,0.07,0.11,-0.33,0.935242,2.981549,-14.577406,39.766098,652,1521,4577,2207,-116,4335
33,4364,2748,19004,-1015,-485,-3201,0.05,0.11,-0.36,0.924194,0.896648,-13.750103,43.674812,1831,1575,3489,2951,-656,2977
34,6196,1828,15796,-1057,-465,-2693,0.03,0.11,-0.39,0.913574,-1.104465,-12.685873,47.071167,2933,1611,2224,3500,-1285,1494
35,7060,464,14232,-919,-460,-2053,0.02,0.1,-0.41,0.904297,-2.866143,-11.500884,49.808235,3788,1487,894,3679,-1953,46
36,5368,-1696,13620,-760,-485,-1363,0.01,0.1,-0.43,0.897217,-4.271269,-10.278342,51.762844,4147,1102,8,3384,-2509,-812
37,2576,-3824,13508,-561,-582,-821,-0.01,0.09,-0.44,0.892578,-5.386501,-9.128643,52.969364,3717,418,-606,2431,-2635,-1224
38,-52,-5160,13808,-433,-563,-556,-0.02,0.09,-0.45,0.889771,-6.265996,-8.087371,53.651936,2757,-334,-917,1188,-2359,-1254
39,-1708,-5792,13748,-418,-371,-541,-0.03,0.08,-0.45,0.887451,-7.067067,-7.325593,54.171139,1694,-949,-1029,40,-1894,-1113
40,-1104,-5508,13684,-351,-201,-563,-0.03,0.08,-0.46,0.884705,-7.850919,-6.860315,54.757263,974,-1263,-1116,-662,-1504,-1042
41,-828,-5240,13632,-250,-82,-456,-0.04,0.08,-0.46,0.882019,-8.500449,-6.549662,55.335381,724,-1309,-1152,-867,-1329,-1022
42,-1500,-5200,14684,-96,-85,-275,-0.04,0.09,-0.47,0.879883,-8.960106,-6.356775,55.779537,539,-1283,-1090,-951,-1163,-931
43,-2448,-5432,16032,-3,-145,-129,-0.05,0.09,-0.47,0.878784,-9.194769,-6.170744,56.012753,273,-1271,-786,-1035,-936,-598
44,-3584,-5656,16656,-8,-214,-91,-0.05,0.08,-0.47,0.878296,-9.364397,-5.994237,56.103516,-173,-1352,-348,-1262,-610,-104
45,-3456,-5624,16344,-18,-294,-113,-0.05,0.08,-0.47,0.877869,-9.546852,-5.771522,56.174511,-546,-1407,-95,-1463,-328,193
