seq,ax,ay,az,gx,gy,gz,qx,qy,qz,qw,roll,pitch,yaw
0,7312,3084,18864,-211,42,-67,-0.04,-0.07,-0.01,0.996277,-5.05887,8.303081,1.992275
1,7748,2904,18980,-211,6,81,-0.04,-0.07,-0.01,0.996155,-5.070275,8.528115,2.025299
2,8052,2496,18632,-201,13,175,-0.05,-0.08,-0.01,0.995972,-5.099627,8.782478,1.920071
3,7812,2948,18380,-251,126,234,-0.05,-0.08,-0.01,0.99585,-5.165016,8.976624,1.72242
4,7660,3516,18924,-319,155,277,-0.05,-0.08,-0.01,0.995789,-5.299154,9.028247,1.46643
5,8192,3584,17816,-406,139,354,-0.05,-0.08,-0.01,0.995667,-5.508353,9.077382,1.166845
6,8180,3664,17324,-456,214,470,-0.05,-0.08,-0.0,0.995544,-5.817954,9.112632,0.768409
7,8052,3732,16356,-453,171,575,-0.05,-0.08,0.0,0.995361,-6.180101,9.090089,0.24414
8,8156,3592,15188,-405,146,668,-0.06,-0.08,0.01,0.995178,-6.532334,9.112302,-0.412616
9,7832,3804,14080,-362,230,749,-0.06,-0.08,0.01,0.994934,-6.858145,9.118195,-1.178155
10,7420,4412,13660,-326,302,822,-0.06,-0.08,0.02,0.994751,-7.122943,8.982997,-2.048041
11,7136,4616,13496,-279,310,934,-0.06,-0.08,0.03,0.994568,-7.333093,8.756054,-3.026003
12,6724,4616,12488,-239,234,1052,-0.06,-0.08,0.04,0.994263,-7.488994,8.540046,-4.163201
13,5168,4596,11328,-171,259,1199,-0.06,-0.08,0.05,0.993774,-7.61227,8.334592,-5.465466
14,3612,4384,11172,-30,294,1299,-0.06,-0.07,0.06,0.993225,-7.654255,7.967326,-6.958078
15,2152,4572,11124,140,176,1334,-0.06,-0.07,0.08,0.992554,-7.507782,7.552334,-8.580094
16,584,4436,10624,346,6,1289,-0.06,-0.07,0.09,0.991699,-7.145004,7.230359,-10.264184
17,-256,4212,11376,460,-51,1255,-0.05,-0.07,0.11,0.990723,-6.585812,7.012607,-11.930201
18,-904,4188,11396,629,-200,1129,-0.04,-0.07,0.12,0.989624,-5.849821,6.870354,-13.557033
19,-1168,4328,11788,759,-164,1002,-0.03,-0.07,0.13,0.988403,-4.934242,6.856016,-15.061934
20,-1752,5028,12792,958,-114,859,-0.02,-0.06,0.14,0.987366,-3.761588,6.793959,-16.386274
21,-2908,5644,14892,1124,-100,770,-0.01,-0.06,0.15,0.986328,-2.318376,6.673512,-17.58493
22,-3376,5916,15744,1147,-193,663,0.0,-0.06,0.16,0.985229,-0.691834,6.552861,-18.658794
23,-4076,5684,15692,1111,-220,585,0.02,-0.05,0.17,0.984009,0.911349,6.516694,-19.591553
24,-4772,5784,16584,1238,-177,408,0.03,-0.05,0.17,0.982727,2.506069,6.469702,-20.381609
25,-5404,6064,17644,1306,-154,281,0.05,-0.05,0.18,0.981506,4.235689,6.343915,-20.962473
26,-6368,6580,18064,1245,-179,79,0.06,-0.04,0.18,0.980347,6.039929,6.156214,-21.31591
27,-7048,6832,17928,1219,-152,-135,0.08,-0.04,0.18,0.97937,7.778415,5.926689,-21.411497
28,-7252,6560,18228,1247,-75,-358,0.09,-0.03,0.18,0.978638,9.505057,5.586844,-21.198395
29,-7004,7004,19680,1135,93,-784,0.1,-0.03,0.18,0.978394,11.255054,4.998931,-20.546583
30,-6688,7320,19216,952,177,-1001,0.12,-0.02,0.17,0.978699,12.827467,4.185033,-19.465033
31,-5868,6844,18600,896,227,-1285,0.13,-0.01,0.16,0.979492,14.136855,3.18874,-18.03582
32,-3344,6584,19008,1023,178,-1547,0.14,0.0,0.14,0.980347,15.424063,2.141563,-16.315626
33,8,7472,20504,1114,274,-1771,0.15,0.01,0.13,0.981018,16.80224,1.158254,-14.29058
34,3236,9156,22212,1061,345,-1829,0.16,0.02,0.11,0.981323,18.224522,0.137724,-12.054845
35,5756,10068,23244,957,354,-1634,0.17,0.02,0.09,0.981201,19.56008,-0.815933,-9.835605
36,7744,10784,25360,889,285,-1403,0.18,0.03,0.08,0.980591,20.773579,-1.557901,-7.918615
37,10072,11888,26512,715,199,-1231,0.19,0.03,0.06,0.979797,21.835821,-2.022194,-6.326939
38,10588,11604,27148,458,201,-1014,0.2,0.03,0.05,0.979004,22.659935,-2.202876,-5.041128
39,10228,11148,25792,169,159,-787,0.2,0.03,0.04,0.978577,23.146837,-2.243941,-4.07033
40,9036,11044,25064,-37,156,-592,0.2,0.03,0.04,0.978577,23.286581,-2.1643,-3.394418
41,7880,10588,23892,-200,37,-390,0.2,0.02,0.03,0.978882,23.202702,-2.028679,-2.950758
42,6368,9300,22384,-299,-132,-205,0.2,0.02,0.03,0.979431,22.947596,-1.735272,-2.728787
43,4892,8644,21224,-281,-370,-90,0.2,0.02,0.03,0.980225,22.567627,-1.235276,-2.693941
44,3480,8572,19564,-200,-615,-50,0.19,0.01,0.03,0.980835,22.222319,-0.51052,-2.745481
