seq,ax,ay,az,gx,gy,gz,qx,qy,qz,qw,roll,pitch,yaw,rax,ray,raz,wx,wy,wz
0,1636,-10388,20292,-512,-238,-829,-0.18,-0.18,0.07,0.965271,-22.817244,18.786709,-4.128319,-1513,-2223,3181,-2430,-1342,3104
1,2236,-9600,20800,-575,-341,-1074,-0.18,-0.18,0.06,0.964905,-23.038345,19.009607,-3.500936,-1626,-2172,3170,-2560,-1288,3032
2,4700,-7532,21612,-865,-149,-1331,-0.18,-0.18,0.05,0.964111,-23.434635,19.597435,-1.96864,-1604,-1879,3297,-2658,-899,3015
3,7376,-5472,23064,-1331,162,-1382,-0.19,-0.19,0.04,0.963074,-23.956207,20.167004,0.039478,-1014,-1191,3622,-2291,37,3211
4,10240,-3652,23212,-1790,187,-1177,-0.2,-0.19,0.02,0.961487,-24.815453,20.588505,2.333855,-76,-284,4131,-1597,1293,3594
5,12296,-2380,20840,-2131,-23,-741,-0.21,-0.19,0.0,0.958496,-26.182726,21.061049,4.585225,986,693,4364,-612,2501,3723
6,14956,-1456,17272,-2279,-350,-67,-0.23,-0.19,-0.01,0.953735,-28.11323,21.721819,6.499703,2033,1629,4030,596,3392,3341
7,15912,-1080,14184,-2284,-504,819,-0.25,-0.2,-0.01,0.947388,-30.586058,22.492094,7.74859,3078,2474,3143,1985,3900,2514
8,16328,-1028,9552,-2245,-442,1778,-0.27,-0.2,-0.01,0.940125,-33.522522,22.922787,8.027598,3829,3160,2036,3144,4099,1447
9,14672,-1092,7036,-2108,-44,2776,-0.3,-0.21,0.0,0.932373,-36.864601,22.593685,7.220565,4384,3775,485,4256,3948,-48
10,7500,-3128,3828,-1790,123,3788,-0.33,-0.2,0.04,0.920898,-41.995251,19.777287,3.623114,3791,4311,-1293,4238,3348,-2335
11,6152,-3224,880,-1468,208,4100,-0.35,-0.19,0.06,0.916809,-43.611576,18.288914,1.835154,3182,4309,-1954,3818,2810,-3166
12,4808,-2224,936,-920,328,4544,-0.37,-0.18,0.09,0.908203,-46.406666,14.770894,-2.299221,2413,4461,-3274,3333,1821,-4691
13,136,-2500,328,-343,159,4998,-0.38,-0.16,0.13,0.899536,-48.299469,10.609383,-7.297848,1820,4766,-3988,2655,1258,-5769
14,-6112,-4096,-956,318,-78,5196,-0.4,-0.14,0.18,0.890015,-49.269215,5.887362,-13.262228,740,4857,-4550,1399,360,-6538
15,-10280,-5700,-2516,1161,-318,4946,-0.4,-0.11,0.23,0.879517,-49.170715,0.889147,-19.947971,-898,4449,-5239,-162,-1309,-6804
16,-10516,-4096,-2308,2005,-253,4571,-0.4,-0.09,0.28,0.86969,-47.793819,-3.858376,-26.79558,-2174,3865,-5954,-1164,-2975,-6700
17,-15012,-2696,2336,2707,105,4416,-0.38,-0.06,0.33,0.861877,-45.060825,-8.29231,-33.504574,-2843,3665,-6368,-1837,-3875,-6607
18,-20272,-4208,7872,3167,-1,4125,-0.36,-0.03,0.37,0.855103,-41.033024,-12.770197,-40.164356,-4016,3399,-5588,-3234,-4391,-5398
19,-22060,-4376,8784,3434,-332,3538,-0.34,0.01,0.41,0.848511,-36.005241,-16.725794,-46.446163,-5497,2655,-4256,-4401,-5069,-3209
20,-24424,-4208,10232,3675,-361,2812,-0.3,0.04,0.44,0.842651,-30.458628,-19.667063,-51.829067,-6688,1848,-3455,-4773,-5934,-1435
21,-24972,-3532,14392,3723,-51,1979,-0.27,0.07,0.47,0.838745,-24.7087,-21.881332,-56.024967,-7649,1155,-2668,-4829,-6603,153
22,-25048,-2868,18268,3533,128,1153,-0.24,0.1,0.48,0.837158,-19.175255,-23.678875,-58.90023,-8247,588,-1315,-4679,-6647,1997
23,-24296,-1932,19584,3333,-81,429,-0.21,0.13,0.49,0.838074,-14.190344,-25.022932,-60.531227,-8513,180,214,-4340,-6296,3748
24,-22536,-1120,22144,3238,-594,-307,-0.16,0.16,0.48,0.844604,-7.738176,-25.778999,-61.018013,-8333,-153,1845,-3662,-5609,5288
25,-21460,-260,22780,3140,-923,-700,-0.15,0.17,0.48,0.848267,-5.808027,-25.651985,-60.700951,-8149,-221,2336,-3413,-5330,5642
26,-20388,184,24148,2937,-1173,-1233,-0.12,0.18,0.47,0.857361,-2.320607,-24.952717,-59.401104,-7741,-255,3085,-3035,-4841,6069
27,-19948,-540,25544,2583,-1220,-1859,-0.08,0.19,0.44,0.874756,1.636692,-23.484358,-55.788471,-7317,-516,4186,-2477,-4444,6739
28,-16484,220,24912,2154,-1137,-2534,-0.07,0.19,0.43,0.881531,2.50531,-23.011047,-54.122292,-7063,-604,4431,-2297,-4267,6810
29,-11944,1288,24876,1780,-878,-2989,-0.05,0.19,0.4,0.896118,3.669263,-22.150431,-50.207592,-6040,-534,4561,-1948,-3467,6460
30,-9820,800,26132,1193,-410,-3323,-0.03,0.19,0.35,0.917664,4.26409,-21.391115,-43.599461,-3958,-249,4948,-978,-1732,6020
31,-8624,616,25456,898,-330,-3520,-0.03,0.19,0.33,0.924377,4.122299,-21.297577,-41.32045,-3409,-219,5062,-652,-1315,5927
32,-4064,1960,24984,604,-289,-3696,-0.03,0.18,0.28,0.943359,2.947508,-20.979904,-34.19429,-1549,124,4956,346,69,5181
33,356,3616,25248,297,-314,-3545,-0.03,0.18,0.26,0.949158,2.41186,-20.763706,-31.806576,-705,399,4955,849,726,4894
34,4816,4252,24552,-68,-518,-2869,-0.03,0.17,0.21,0.963806,0.743295,-19.438227,-25.339787,2080,1405,4789,2694,2687,3840
35,3440,2652,22548,-260,-690,-2355,-0.03,0.16,0.19,0.967651,0.206985,-18.777802,-23.581753,2768,1599,4676,3207,3041,3541
36,3404,1360,18308,-337,-896,-1699,-0.03,0.14,0.16,0.976501,-1.343875,-16.465765,-19.544796,3398,1483,3306,3475,2805,2172
37,2180,124,17996,-379,-731,-1360,-0.04,0.13,0.15,0.978699,-1.77944,-15.677039,-18.525372,3447,1366,2713,3419,2594,1638
38,1068,-1336,16828,-502,-591,-974,-0.04,0.12,0.13,0.983276,-3.050905,-13.79871,-16.2777,2895,710,1657,2876,1606,879
39,-184,-2484,15676,-573,-465,-777,-0.04,0.11,0.13,0.984314,-3.510534,-13.273909,-15.730659,2698,502,1286,2673,1295,599
40,-1504,-3616,14076,-532,-442,-619,-0.05,0.1,0.12,0.986267,-4.945004,-12.105893,-14.54034,1755,-238,194,1764,190,-159
41,-1624,-3728,13984,-420,-417,-489,-0.06,0.1,0.12,0.986694,-5.378783,-11.763304,-14.22635,1494,-410,-144,1498,-87,-407
42,-2552,-3964,14512,-372,-321,-313,-0.07,0.09,0.11,0.987671,-6.45606,-10.891068,-13.50959,880,-724,-586,917,-605,-658
43,-3612,-4416,13608,-352,-270,-234,-0.07,0.09,0.11,0.987854,-6.777033,-10.667422,-13.351436,675,-773,-648,724,-708,-667
44,-3924,-4500,13784,-141,-294,-236,-0.07,0.08,0.11,0.988098,-7.600172,-10.20484,-12.994563,-121,-1007,-976,-34,-1157,-799
45,-3812,-4392,15088,-88,-218,-211,-0.08,0.08,0.11,0.988281,-7.773344,-10.057184,-12.860126,-227,-1024,-993,-135,-1199,-792
46,-3676,-4320,15300,-97,-195,-125,-0.08,0.08,0.1,0.988525,-8.176786,-9.715393,-12.552223,-413,-1005,-621,-267,-1156,-395
47,-4592,-4432,15336,-88,-153,-29,-0.08,0.08,0.1,0.988586,-8.300903,-9.632243,-12.506481,-454,-981,-590,-308,-1136,-359
48,-4640,-4100,16008,-20,-273,6,-0.08,0.07,0.1,0.988525,-8.58985,-9.421472,-12.500118,-811,-968,-308,-617,-1143,-25
49,-4444,-4020,16432,-28,-269,28,-0.08,0.07,0.1,0.988525,-8.647321,-9.316524,-12.513253,-859,-922,-213,-660,-1091,68
50,-4348,-4268,16468,-53,-296,101,-0.08,0.07,0.1,0.988525,-8.810105,-8.971346,-12.6169,-932,-840,81,-710,-975,351
