seq,ax,ay,az,gx,gy,gz,qx,qy,qz,qw,roll,pitch,yaw,rax,ray,raz,wx,wy,wz
52,-568,-844,14860,-232,-313,-743,-0.12,-0.05,0.87,-0.475769,0.86998,-14.641117,121.772247,1772,-321,196,-1221,-1311,-262
53,-2000,-1580,15668,-217,-251,-502,-0.11,-0.06,0.87,-0.469666,0.316613,-14.104689,122.69162,1649,-364,-79,-1174,-1117,-480
54,-3168,-2308,15088,-179,-340,-366,-0.1,-0.06,0.88,-0.465576,-0.171045,-13.678144,123.319664,1227,-555,-115,-1113,-653,-400
55,-3160,-2476,14780,-147,-297,-324,-0.1,-0.06,0.88,-0.462463,-0.609555,-13.225381,123.818489,757,-771,-295,-1018,-113,-452
56,-3212,-2380,14744,-149,-188,-242,-0.1,-0.06,0.88,-0.459717,-1.004012,-12.863602,124.247673,483,-883,-434,-946,201,-515
57,-3668,-2556,15196,-143,-106,-103,-0.09,-0.06,0.88,-0.457825,-1.361308,-12.632683,124.54174,337,-899,-496,-873,342,-536
58,-4864,-3196,14812,-125,-107,1,-0.09,-0.06,0.88,-0.457092,-1.676458,-12.509255,124.667648,102,-966,-460,-801,562,-443
59,-5916,-3812,14908,-42,-155,-11,-0.09,-0.06,0.88,-0.457153,-1.962702,-12.450568,124.682724,-324,-1148,-515,-706,1016,-394
60,-5488,-3664,15552,-3,-162,-75,-0.09,-0.07,0.88,-0.456848,-2.190646,-12.389584,124.740959,-716,-1334,-490,-639,1431,-274
61,-5200,-3328,15760,-20,-143,-78,-0.09,-0.07,0.88,-0.456116,-2.386577,-12.307923,124.855423,-837,-1384,-367,-621,1532,-123
62,-4964,-3252,15852,-38,-147,-21,-0.08,-0.07,0.88,-0.455383,-2.585503,-12.219675,124.970863,-839,-1327,-233,-583,1475,8
63,-5676,-3584,15912,-43,-147,45,-0.08,-0.07,0.88,-0.455261,-2.778935,-12.126645,125.008499,-831,-1291,-150,-566,1432,89
64,-6292,-4052,15520,-11,-171,32,-0.08,-0.07,0.88,-0.455688,-2.967588,-12.060502,124.971642,-1020,-1354,-107,-514,1608,177
65,-6172,-4000,15948,46,-149,-21,-0.08,-0.07,0.88,-0.455811,-3.144328,-12.009253,124.971657,-1207,-1440,-156,-474,1816,176
66,-5972,-3928,16664,58,-150,-52,-0.08,-0.07,0.88,-0.455505,-3.263283,-11.971261,125.02079,-1281,-1483,-58,-473,1879,291
67,-5932,-3788,17208,15,-167,-70,-0.08,-0.07,0.88,-0.454895,-3.370464,-11.916787,125.112305,-1289,-1477,160,-477,1839,507
68,-5452,-3416,17756,-78,-140,-93,-0.08,-0.07,0.88,-0.454163,-3.536688,-11.826992,125.225533,-1274,-1401,372,-434,1741,709
69,-5592,-3644,16784,-197,-72,-106,-0.08,-0.08,0.88,-0.453308,-3.812115,-11.75922,125.356125,-1187,-1283,547,-394,1568,859
70,-5364,-3704,15876,-164,-98,-107,-0.07,-0.08,0.89,-0.452393,-4.208445,-11.7672,125.490479,-1155,-1230,434,-356,1532,747
