seq,ax,ay,az,gx,gy,gz,qx,qy,qz,qw,roll,pitch,yaw
0,7944,2144,18708,-295,317,-8,0.08,0.1,0.46,-0.88092,-3.115465,14.632478,55.354507
1,7828,2552,20092,-294,386,-38,0.08,0.1,0.46,-0.880859,-3.196405,14.480281,55.378769
2,8224,3220,19896,-458,244,3,0.08,0.1,0.46,-0.880615,-3.393619,14.196019,55.451065
3,8808,2680,18564,-556,185,132,0.08,0.09,0.46,-0.880371,-3.732145,14.073073,55.479336
4,9196,2888,18496,-599,265,251,0.09,0.09,0.46,-0.880615,-4.250616,14.034105,55.359619
5,8792,2700,18152,-640,292,395,0.09,0.09,0.45,-0.881409,-4.825072,13.91389,55.093517
6,8804,2520,16756,-644,169,475,0.1,0.09,0.45,-0.882751,-5.48396,13.76265,54.673111
7,9400,2672,15636,-554,129,530,0.1,0.08,0.45,-0.884338,-6.165172,13.755301,54.162632
8,9368,2804,15832,-460,149,642,0.11,0.08,0.44,-0.886169,-6.745929,13.801335,53.587688
9,9732,3356,14668,-434,63,787,0.11,0.08,0.44,-0.888611,-7.250772,13.83303,52.864891
10,10152,3848,14072,-406,143,949,0.11,0.08,0.43,-0.891663,-7.736192,13.935028,51.975361
11,9856,3696,13156,-387,215,1138,0.12,0.08,0.42,-0.895386,-8.212541,13.939885,50.898266
12,8560,3716,12584,-336,316,1341,0.12,0.08,0.41,-0.899963,-8.712392,13.80342,49.588459
13,6692,3300,12240,-260,359,1528,0.12,0.08,0.4,-0.905518,-9.187686,13.463478,48.01395
14,5136,3124,11944,-155,238,1615,0.12,0.07,0.39,-0.911804,-9.623293,12.950682,46.203217
15,4488,3304,10852,12,133,1594,0.12,0.07,0.37,-0.918335,-9.942798,12.492704,44.28521
16,3548,3976,10884,180,192,1587,0.12,0.07,0.36,-0.924683,-10.034828,12.097664,42.384689
17,2616,4372,10996,280,208,1637,0.11,0.07,0.34,-0.931091,-9.886144,11.605849,40.464455
18,876,4212,11592,340,161,1695,0.11,0.06,0.32,-0.937561,-9.59134,11.040791,38.469349
19,-272,4436,10692,396,-35,1654,0.1,0.06,0.31,-0.94397,-9.220837,10.48408,36.397598
20,-656,4848,9676,595,-115,1569,0.1,0.06,0.29,-0.949951,-8.7462,10.116515,34.362968
21,-1272,5664,10892,875,-84,1467,0.09,0.06,0.27,-0.955444,-7.972918,9.842496,32.424267
22,-2192,5616,13252,1086,-173,1414,0.08,0.07,0.26,-0.960693,-6.800602,9.566319,30.552706
23,-2600,5948,13364,1125,-364,1384,0.07,0.07,0.24,-0.965454,-5.378716,9.402568,28.708227
24,-4036,6624,14084,1181,-301,1370,0.05,0.07,0.23,-0.969666,-3.909269,9.448184,26.872877
25,-5816,7324,15848,1318,-348,1319,0.04,0.08,0.21,-0.973572,-2.329629,9.388095,25.012903
26,-6748,8080,16324,1436,-500,1135,0.02,0.08,0.2,-0.976868,-0.545364,9.360467,23.19977
27,-7428,7760,17456,1536,-556,866,0.0,0.08,0.19,-0.979187,1.428364,9.479881,21.593287
28,-7108,6780,19048,1592,-572,498,-0.02,0.09,0.18,-0.980408,3.533775,9.655585,20.294397
29,-6136,7800,20116,1530,-451,95,-0.03,0.09,0.17,-0.980591,5.67972,9.810295,19.428736
30,-5228,9184,20528,1286,-293,-172,-0.05,0.1,0.17,-0.979797,7.792092,9.810363,19.026756
31,-5940,9512,20764,1141,-258,-291,-0.07,0.1,0.17,-0.978455,9.70453,9.632817,18.974905
32,-6308,8904,20208,1119,-349,-420,-0.08,0.1,0.17,-0.976746,11.461531,9.376555,19.099405
33,-6840,8464,20496,1098,-311,-672,-0.1,0.1,0.18,-0.974548,13.179018,9.138733,19.415234
34,-6708,9004,20216,1033,-327,-1008,-0.11,0.1,0.18,-0.97168,14.836611,8.750521,20.079542
35,-5416,9240,20080,1000,-342,-1393,-0.12,0.1,0.19,-0.967957,16.45594,8.252606,21.181303
36,-4144,9632,21264,1032,-373,-1649,-0.14,0.1,0.21,-0.963135,18.099545,7.668333,22.726963
37,-1740,9428,21776,960,-478,-1879,-0.15,0.1,0.23,-0.957214,19.732525,7.059492,24.575329
38,1140,11256,21980,984,-516,-2110,-0.16,0.1,0.25,-0.950256,21.248617,6.544818,26.715811
39,3784,12316,23184,1024,-444,-2208,-0.18,0.11,0.27,-0.941956,22.855841,6.04159,29.070717
40,6720,11976,24348,816,-280,-2153,-0.19,0.11,0.29,-0.932922,24.455553,5.489202,31.450224
41,8812,12292,25036,401,-159,-2032,-0.2,0.11,0.31,-0.924316,25.646914,4.891528,33.765442
42,10768,12648,23520,148,-229,-1868,-0.2,0.11,0.33,-0.916748,26.272154,4.362092,36.022415
43,12868,12564,22672,128,-179,-1717,-0.2,0.12,0.34,-0.909729,26.643282,4.074987,38.14682
44,13612,12448,23312,44,-32,-1447,-0.2,0.12,0.36,-0.903198,26.984209,3.908291,40.028942
45,12976,12568,22700,-243,-9,-1078,-0.2,0.12,0.37,-0.898071,27.11554,3.81333,41.571342
46,11372,11804,21644,-444,-70,-704,-0.2,0.12,0.38,-0.894897,26.884922,3.888509,42.760216
47,9528,10828,20480,-472,-184,-440,-0.19,0.12,0.39,-0.89325,26.443724,4.154714,43.621239
