timestamp,seq,ax,ay,az,gx,gy,gz,qx,qy,qz,qw,roll,pitch,yaw,rax,ray,raz,wx,wy,wz
0,0,2264,-9504,17764,156,857,-563,0.09,0.23,-0.84,-0.490601,-28.448076,3.877106,-122.821884,465,-392,1845,-633,27,1836
20,1,1980,-12988,19436,232,842,-562,0.1,0.23,-0.83,-0.494446,-28.311678,3.627984,-122.244514,503,-834,1880,-320,246,2078
40,2,1604,-13520,18120,229,1047,-257,0.1,0.22,-0.83,-0.500977,-28.098198,2.967839,-121.234932,570,-1786,2143,293,646,2757
60,3,972,-12604,18200,173,1012,-69,0.11,0.22,-0.83,-0.505493,-27.966225,2.009055,-120.468445,552,-2256,2015,717,887,2855
80,4,404,-12956,16412,-9,1032,11,0.12,0.21,-0.83,-0.508301,-27.932571,0.956491,-119.923355,487,-2354,1875,869,939,2767
100,5,460,-14856,17748,21,932,70,0.13,0.21,-0.83,-0.510132,-28.145601,-0.134289,-119.507874,414,-2552,1498,1193,1064,2523
120,6,668,-14520,18840,78,1044,282,0.14,0.2,-0.82,-0.511169,-28.361021,-1.157637,-119.194122,565,-3007,1680,1386,1372,2894
140,7,196,-12188,16320,0,1196,365,0.15,0.2,-0.82,-0.510803,-28.512144,-2.397915,-119.024841,692,-2949,1842,1186,1481,2994
160,8,776,-13324,16560,44,1173,308,0.16,0.19,-0.82,-0.510132,-28.674398,-3.805872,-118.840126,823,-2586,1446,997,1568,2449
180,9,1072,-15300,16572,5,1345,412,0.17,0.19,-0.82,-0.509888,-28.855989,-5.129037,-118.574844,1099,-2716,1372,995,1922,2404
200,10,1052,-13684,12976,8,1516,629,0.18,0.18,-0.82,-0.50885,-29.165167,-6.684284,-118.33889,1415,-3096,1123,1250,2441,2308
220,11,1060,-12756,9968,-81,1411,720,0.2,0.17,-0.82,-0.506226,-29.522219,-8.482983,-118.239082,1699,-2904,243,1395,2746,1373
240,12,1236,-13224,10732,32,1248,821,0.21,0.17,-0.82,-0.50238,-29.962284,-10.18782,-118.3106,1945,-2704,-671,1594,2971,413
260,13,1556,-12920,10732,292,1354,973,0.22,0.16,-0.82,-0.497742,-30.207438,-11.797423,-118.50209,2233,-2654,-1032,1621,3235,-22
280,14,1228,-11196,5280,303,1508,1175,0.24,0.16,-0.82,-0.492554,-30.139631,-13.616589,-118.675575,2558,-2558,-1452,1640,3489,-574
300,15,1136,-9632,1848,359,1317,1226,0.25,0.15,-0.83,-0.485657,-30.077496,-15.692812,-118.984077,2814,-2064,-2808,1921,3456,-2104
320,16,1524,-11208,1012,426,972,1291,0.26,0.14,-0.83,-0.478149,-29.904919,-17.616749,-119.412361,3060,-1703,-4207,2351,3395,-3593
340,17,1588,-10652,-1096,342,662,1591,0.27,0.13,-0.83,-0.469299,-29.65115,-19.229792,-120.175201,3364,-1776,-5183,2826,3579,-4531
360,18,1356,-5952,-1388,362,209,1933,0.28,0.12,-0.84,-0.45697,-29.314472,-20.687727,-121.567108,3628,-1563,-6171,3092,3573,-5599
380,19,1812,-2444,508,641,-126,1935,0.28,0.11,-0.84,-0.441467,-28.442997,-21.881733,-123.602669,3800,-434,-6654,2406,2974,-6654
400,20,2256,-2964,1996,717,-180,1863,0.28,0.11,-0.85,-0.426208,-26.901745,-22.696714,-125.731895,4015,678,-6498,1287,2370,-7178
420,21,2404,-3404,-1660,779,-123,1990,0.28,0.1,-0.86,-0.411377,-25.225813,-23.358917,-127.78717,4211,1022,-6332,684,2168,-7328
440,22,2936,2512,-2980,998,-577,2231,0.27,0.08,-0.87,-0.395203,-23.405901,-24.044327,-129.971786,4421,1221,-7128,685,1958,-8218
460,23,2976,5160,-432,1015,-1079,2154,0.26,0.07,-0.89,-0.376892,-20.913218,-24.275574,-132.543915,4615,2447,-7711,-200,981,-9260
480,24,3312,5152,1528,806,-1359,2054,0.25,0.06,-0.9,-0.358337,-18.133223,-23.767385,-135.276474,4657,3459,-7491,-1352,57,-9378
500,25,4056,4012,1208,733,-1535,2006,0.23,0.05,-0.91,-0.339722,-15.617731,-22.721767,-138.057175,4704,3778,-7168,-2108,-337,-9123
520,26,3976,6788,1840,861,-1865,2115,0.21,0.04,-0.92,-0.321106,-13.28861,-21.275887,-140.806488,4716,3639,-7137,-2432,-408,-8963
540,27,4024,12316,4616,641,-2216,2105,0.19,0.03,-0.93,-0.300964,-10.78356,-19.320135,-143.697037,4576,4287,-6907,-3212,-1212,-8674
560,28,5160,12572,7828,299,-2433,1813,0.16,0.03,-0.95,-0.280212,-8.419811,-16.788038,-146.607697,4279,5488,-6201,-4274,-2560,-7878
580,29,5172,8408,9516,294,-2498,1350,0.13,0.02,-0.96,-0.261841,-6.620715,-13.769901,-149.165192,4177,6079,-5193,-5109,-3253,-6685
600,30,5664,10276,14024,501,-2663,1325,0.1,0.02,-0.96,-0.247742,-5.228428,-10.497934,-151.100281,3892,5379,-4248,-5020,-2880,-5351
620,31,4440,14992,16956,386,-2663,1177,0.07,0.02,-0.97,-0.233887,-3.769969,-6.981568,-152.891464,3522,5646,-2728,-5277,-3411,-3498
640,32,4784,16124,17924,-56,-2791,662,0.02,0.01,-0.98,-0.216919,-1.835712,-1.712639,-154.955109,2548,7186,-988,-5306,-5412,-1293
660,33,5208,13468,20492,-137,-2892,314,0,0.01,-0.98,-0.213623,-1.416052,0.137825,-155.333344,2317,7349,-470,-5168,-5698,-645
680,34,5864,13264,23536,-229,-2769,19,-0.03,0.01,-0.98,-0.210327,-0.820848,3.904311,-155.634872,1957,7127,904,-4664,-5728,933
700,35,6600,14888,22836,-356,-2661,-238,-0.06,0.02,-0.98,-0.210388,-0.382793,7.463863,-155.45726,1670,6898,2107,-4111,-5727,2260
720,36,7604,14324,25576,-404,-2669,-685,-0.09,0.02,-0.97,-0.213684,0.02102,10.895815,-154.810043,1494,7218,2847,-3869,-6163,3081
740,37,7816,13968,27756,-310,-2479,-1015,-0.12,0.02,-0.97,-0.22168,0.570158,14.237839,-153.518021,1412,7051,3950,-3403,-6142,4243
760,38,8228,12980,27976,-527,-2231,-1334,-0.15,0.02,-0.96,-0.233154,1.287139,17.228662,-151.746948,1242,6889,5023,-2817,-6170,5312
780,39,8996,10512,27768,-624,-2102,-1624,-0.17,0.03,-0.95,-0.248413,1.923852,19.81834,-149.448425,1100,6366,5578,-2238,-5829,5818
800,40,10740,8872,31516,-622,-2010,-1819,-0.19,0.03,-0.94,-0.266479,2.5232,22.214605,-146.700867,1155,5566,6091,-1683,-5190,6297
820,41,10212,9744,32767,-404,-1513,-1983,-0.22,0.04,-0.93,-0.296509,3.782863,25.129538,-142.163284,1389,4714,7775,-727,-4662,7895
840,42,8400,10668,32767,-95,-754,-2297,-0.22,0.04,-0.92,-0.307312,4.467799,25.657871,-140.642441,1296,4622,8134,-460,-4672,8195
