seq,ax,ay,az,gx,gy,gz,qx,qy,qz,qw,roll,pitch,yaw
0,3944,4096,20828,-204,301,-25,0.1,-0.07,0.78,0.612427,0.88643,13.813928,-103.342087
1,3960,3756,19728,-306,157,-38,0.1,-0.07,0.78,0.612732,0.830299,13.62569,-103.332382
2,3904,3720,19504,-277,156,-114,0.09,-0.07,0.78,0.614258,0.590616,13.262357,-103.1922
3,4808,3296,19468,-200,101,-210,0.09,-0.07,0.78,0.615051,0.549129,13.160249,-103.097359
4,6052,3632,20144,-120,57,-251,0.09,-0.07,0.78,0.618164,0.59049,13.031701,-102.664223
5,7152,3948,20920,-116,28,-182,0.09,-0.07,0.78,0.619141,0.652383,13.041502,-102.516815
6,8080,3636,20696,-308,-20,10,0.09,-0.07,0.78,0.620789,0.6749,13.199508,-102.254059
7,8020,3500,19944,-408,-26,99,0.09,-0.07,0.78,0.620789,0.563026,13.296864,-102.250687
8,8368,3428,18896,-406,30,148,0.09,-0.07,0.78,0.61969,0.016278,13.590074,-102.424583
9,8224,3584,19332,-394,112,161,0.09,-0.08,0.78,0.619202,-0.162569,13.661231,-102.503204
10,8476,4064,18824,-487,104,200,0.09,-0.08,0.78,0.617676,-0.690455,13.729534,-102.767685
11,9036,4180,17680,-565,140,247,0.09,-0.08,0.78,0.617065,-0.918889,13.764215,-102.873756
12,8764,4248,17688,-638,259,411,0.08,-0.09,0.78,0.61438,-1.757052,13.772791,-103.341331
13,8492,4084,16964,-669,153,512,0.08,-0.09,0.78,0.612976,-2.077563,13.729013,-103.579201
14,8516,3852,14616,-606,-11,632,0.08,-0.1,0.78,0.607056,-3.148628,13.859694,-104.506119
15,8556,3868,13728,-526,12,719,0.08,-0.1,0.79,0.604553,-3.478752,13.968354,-104.878082
16,7984,3852,13408,-389,70,904,0.08,-0.1,0.79,0.595398,-4.331858,14.205945,-106.213509
17,7404,3924,13204,-319,59,982,0.08,-0.11,0.8,0.591675,-4.57099,14.241743,-106.75209
18,6760,4100,12180,-206,-35,1087,0.08,-0.11,0.8,0.579163,-5.160177,14.346244,-108.523148
19,6868,4244,11052,-130,-20,1151,0.08,-0.11,0.81,0.574585,-5.310329,14.40602,-109.155899
20,5576,4728,10396,14,164,1251,0.08,-0.11,0.82,0.559448,-5.595272,14.450661,-111.234688
21,4060,4936,10976,115,229,1279,0.08,-0.11,0.82,0.554138,-5.614849,14.347574,-111.966255
22,1576,5196,11304,258,136,1322,0.08,-0.1,0.83,0.537415,-5.427389,13.819381,-114.25898
23,660,5040,11012,344,9,1350,0.08,-0.1,0.84,0.531555,-5.284469,13.655937,-115.047157
24,-696,4712,10772,517,-129,1355,0.08,-0.09,0.85,0.513,-4.68884,13.332748,-117.490547
25,-1340,4912,10280,664,-159,1264,0.08,-0.09,0.85,0.506714,-4.401009,13.268129,-118.300926
26,-2244,5584,11888,899,-66,1057,0.09,-0.08,0.86,0.489441,-3.101665,13.047869,-120.495247
27,-3012,5780,12480,998,-60,996,0.09,-0.07,0.87,0.484253,-2.522448,12.925465,-121.152527
28,-5056,5412,13992,1099,-74,985,0.09,-0.06,0.88,0.469177,-0.578895,12.491968,-123.071564
29,-6128,5400,13920,1239,-198,884,0.1,-0.05,0.88,0.464172,0.127697,12.335892,-123.712715
30,-7876,5140,15856,1479,-225,592,0.1,-0.03,0.89,0.45105,2.622858,11.992985,-125.38591
31,-8344,5260,16464,1508,-202,363,0.11,-0.02,0.89,0.447693,3.57767,11.855046,-125.823753
32,-9200,5664,18020,1394,-20,-6,0.11,0.01,0.89,0.4422,6.494482,11.191972,-126.617432
33,-9800,5864,18972,1396,-29,-181,0.11,0.02,0.89,0.441772,7.435155,10.855718,-126.726295
34,-11380,5704,20348,1459,-176,-469,0.12,0.04,0.89,0.443665,10.340733,9.826582,-126.664162
35,-12180,5292,21772,1432,-241,-723,0.12,0.05,0.89,0.445557,11.33335,9.48216,-126.480446
36,-10468,5480,21728,1265,-339,-1267,0.12,0.07,0.88,0.456848,14.163773,8.389009,-125.189911
37,-8468,6172,22140,1165,-327,-1571,0.12,0.08,0.87,0.462708,15.030677,8.008606,-124.472534
38,-3572,8364,23448,1133,-343,-2038,0.13,0.1,0.86,0.485474,17.53013,6.826277,-121.56649
39,428,10476,25232,1114,-282,-2271,0.13,0.11,0.85,0.494568,18.381588,6.438916,-120.362305
40,7392,12344,26672,739,-49,-2313,0.14,0.13,0.83,0.523682,20.782089,5.271718,-116.384621
41,10988,12932,26232,406,141,-2147,0.14,0.13,0.82,0.53302,21.366055,4.893339,-115.071831
42,13844,13892,26388,71,335,-1689,0.14,0.14,0.81,0.55658,22.313721,3.873836,-111.704155
43,14752,14220,26060,38,283,-1428,0.14,0.14,0.8,0.562744,22.477245,3.627235,-110.805145
44,14776,13836,25776,-21,203,-921,0.14,0.14,0.79,0.576294,22.897871,3.361489,-108.737946
45,13604,12732,24652,-192,173,-583,0.14,0.14,0.79,0.579102,22.967989,3.410224,-108.28363
46,10644,10676,21756,-538,235,-170,0.14,0.14,0.79,0.58313,22.606848,3.733612,-107.600632
47,8872,9612,20020,-649,274,-50,0.14,0.13,0.79,0.583496,22.300611,3.816514,-107.546883
48,5400,8016,18104,-615,137,65,0.14,0.13,0.79,0.583313,21.204958,3.950301,-107.62072
49,4416,7352,15784,-485,-58,42,0.14,0.12,0.79,0.58313,20.859509,4.022774,-107.658272
