seq,ax,ay,az,gx,gy,gz,qx,qy,qz,qw,roll,pitch,yaw
0,7440,2740,19296,-151,75,-210,0.12,-0.06,-0.04,0.990479,13.919292,6.105159,3.493409
1,7756,2900,20380,-139,60,-144,0.12,-0.06,-0.04,0.990601,13.786259,6.185241,3.569223
2,8544,3088,19452,-234,-42,14,0.11,-0.06,-0.04,0.990723,13.487195,6.450215,3.61723
3,8436,3304,18836,-244,-31,108,0.11,-0.06,-0.04,0.990967,13.108616,6.84519,3.526233
4,8960,3440,18880,-243,14,129,0.11,-0.07,-0.04,0.991211,12.722539,7.237789,3.334123
5,9392,3872,18700,-295,55,189,0.1,-0.07,-0.03,0.991394,12.353298,7.597091,3.118428
6,9712,4060,17612,-382,82,311,0.1,-0.07,-0.03,0.991699,11.925504,7.944673,2.82547
7,9304,4196,17080,-445,187,403,0.1,-0.08,-0.03,0.992065,11.400531,8.293621,2.401848
8,9212,4248,16496,-471,215,498,0.09,-0.08,-0.02,0.992493,10.803424,8.532332,1.889883
9,9420,4340,15200,-482,249,609,0.09,-0.08,-0.02,0.992981,10.186647,8.747269,1.268842
10,9100,4616,14348,-451,327,744,0.08,-0.08,-0.01,0.993408,9.5556,8.940038,0.503001
11,8428,4588,13768,-387,350,898,0.08,-0.08,-0.0,0.993835,8.970959,9.065813,-0.424012
12,7592,4628,13008,-319,348,1058,0.07,-0.08,0.01,0.99408,8.440541,9.14095,-1.542742
13,6464,4572,12208,-239,338,1221,0.07,-0.08,0.02,0.994141,7.970942,9.214271,-2.871866
14,5556,4664,11168,-89,303,1276,0.07,-0.08,0.03,0.994019,7.592853,9.256581,-4.382514
15,4204,4908,12012,112,375,1315,0.07,-0.08,0.05,0.99353,7.429576,9.283335,-5.97941
16,3124,5100,12088,189,313,1381,0.07,-0.08,0.06,0.992798,7.486476,9.177485,-7.656864
17,2340,5196,11412,219,291,1427,0.07,-0.07,0.08,0.991699,7.627596,9.093086,-9.403716
18,1328,4828,11048,323,313,1436,0.07,-0.07,0.09,0.990356,7.812567,8.994388,-11.203966
19,-48,4684,10680,464,293,1392,0.08,-0.07,0.11,0.988647,8.122133,8.840125,-13.011171
20,-760,5048,10992,641,255,1273,0.08,-0.07,0.12,0.986694,8.611331,8.64965,-14.752842
21,-812,5620,11588,826,296,1138,0.09,-0.06,0.14,0.984497,9.356436,8.446692,-16.347052
22,-680,6112,12644,989,326,1091,0.1,-0.06,0.15,0.982056,10.370685,8.185533,-17.796751
23,-1652,6072,14100,1029,341,1114,0.11,-0.05,0.16,0.979248,11.581758,7.900549,-19.19521
24,-3656,5984,14456,1006,296,1155,0.12,-0.05,0.17,0.976135,12.801635,7.600452,-20.585596
25,-5484,5288,14176,1103,205,1115,0.13,-0.04,0.19,0.972778,13.985479,7.299777,-21.974455
26,-6660,5164,14688,1292,162,892,0.14,-0.03,0.2,0.969116,15.281584,7.016341,-23.244654
27,-7500,4748,16636,1436,151,611,0.15,-0.03,0.21,0.965454,16.806246,6.659093,-24.185917
28,-7956,4796,17268,1418,83,357,0.17,-0.02,0.21,0.962097,18.447971,6.202388,-24.729574
29,-8136,5668,17776,1397,68,120,0.18,-0.01,0.22,0.959167,20.063349,5.715528,-24.929064
30,-9008,6408,18984,1420,31,-81,0.19,-0.0,0.22,0.956604,21.700569,5.143918,-24.796097
31,-8964,6632,19068,1417,-130,-322,0.21,0.01,0.22,0.954346,23.368124,4.51913,-24.361952
32,-8196,7332,19900,1429,-179,-624,0.22,0.01,0.21,0.952454,25.031347,3.916267,-23.573019
33,-6860,8392,20748,1453,-257,-891,0.23,0.02,0.2,0.95105,26.708578,3.259532,-22.401529
34,-4592,9388,21696,1376,-329,-1144,0.24,0.03,0.19,0.94989,28.408308,2.592057,-20.894346
35,-2092,9528,21548,1134,-237,-1372,0.26,0.03,0.18,0.949097,29.972401,1.920914,-19.118456
36,756,10908,22404,935,-46,-1578,0.27,0.04,0.16,0.949036,31.214846,1.106406,-17.164278
37,3640,11708,23200,791,10,-1610,0.27,0.04,0.15,0.949341,32.195396,0.142464,-15.108223
38,6028,12168,23424,681,-27,-1502,0.28,0.05,0.13,0.949707,32.985542,-0.720361,-13.153399
39,7648,12616,24496,648,-84,-1356,0.29,0.05,0.12,0.949951,33.627228,-1.333102,-11.427847
40,8992,13228,24564,597,-226,-1205,0.29,0.05,0.1,0.949951,34.203125,-1.679379,-9.955002
41,9560,13344,24884,469,-243,-962,0.3,0.04,0.09,0.949707,34.901093,-1.666171,-8.26764
42,9000,12876,24860,212,-291,-678,0.3,0.04,0.08,0.949768,35.028767,-1.555885,-7.888424
43,7924,12048,23584,-52,-424,-432,0.3,0.04,0.08,0.950317,35.017757,-1.158214,-7.414932
44,6116,11116,22092,-245,-571,-266,0.3,0.03,0.07,0.951538,34.71072,-0.52718,-7.217767
