seq,ax,ay,az,gx,gy,gz,qx,qy,qz,qw,roll,pitch,yaw,rax,ray,raz,wx,wy,wz
0,4848,-6160,20012,-251,-725,-511,-0.16,0.1,-0.98,0.03595,-12.192286,17.90189,177.597916,-188,-1666,2876,1035,1138,2952
1,6364,-4156,22976,-200,-837,-576,-0.16,0.1,-0.98,0.033386,-12.282138,18.399645,177.963516,-152,-1470,2952,1064,922,2985
2,9788,-1500,25736,-710,-909,-475,-0.17,0.1,-0.98,0.02771,-12.403137,19.504499,178.767914,363,-708,3897,988,-53,3852
3,10432,-1108,22452,-1096,-936,-291,-0.18,0.1,-0.98,0.022278,-13.021142,20.723686,179.659927,1070,111,4428,611,-1056,4390
4,10816,-644,19032,-1340,-958,42,-0.19,0.11,-0.97,0.018494,-14.288192,22.000717,-179.490479,1501,750,3797,61,-1665,3802
5,12124,136,18828,-1394,-1101,270,-0.21,0.13,-0.97,0.017151,-15.854275,23.285793,-178.842758,1767,1341,3164,-362,-2197,3157
6,14176,1704,17192,-1576,-1211,740,-0.22,0.14,-0.97,0.019043,-17.690874,24.722204,-178.476456,2308,2050,2735,-960,-2904,2766
7,14460,1980,13708,-1792,-1132,1391,-0.23,0.15,-0.96,0.025696,-20.069986,26.064226,-178.544662,2849,2823,2028,-1676,-3607,2092
8,14124,2436,9140,-1812,-975,2097,-0.24,0.17,-0.95,0.038391,-23.071348,26.980936,-179.23259,3065,3523,843,-2324,-4048,851
9,12628,2668,5464,-1609,-628,2824,-0.25,0.19,-0.95,0.057861,-26.434309,27.224279,179.258972,3044,4171,-764,-2968,-4204,-866
10,10932,2940,4356,-1275,-248,3525,-0.26,0.21,-0.94,0.084229,-29.78932,26.48543,176.75827,2750,4778,-2158,-3235,-4237,-2574
11,8040,3272,3484,-947,2,4205,-0.25,0.23,-0.93,0.117554,-32.844006,24.691423,173.165375,2298,5367,-3027,-2991,-4281,-3995
12,3308,2892,652,-586,233,4726,-0.24,0.25,-0.92,0.157593,-35.488308,21.94149,168.514648,1473,5862,-3953,-2333,-3930,-5591
13,-844,2524,-1080,132,437,4947,-0.23,0.27,-0.91,0.202454,-37.49379,18.295397,163.012802,179,6043,-5009,-1294,-2826,-7209
14,-1232,3920,-3456,551,693,5034,-0.21,0.28,-0.9,0.249573,-38.454575,14.101425,156.916931,-733,6294,-5915,-380,-1816,-8467
15,-3588,6668,-6344,1253,1400,5373,-0.18,0.28,-0.89,0.297607,-38.324081,9.29711,150.431458,-1045,6945,-7416,84,-1039,-10160
16,-18972,3760,3552,2350,1722,5732,-0.14,0.28,-0.88,0.348816,-36.748844,3.366155,143.234848,-2253,7381,-8036,1926,332,-10968
17,-23452,712,8248,2751,1142,5102,-0.09,0.27,-0.87,0.402344,-33.550518,-3.192004,135.49733,-5115,6581,-6544,5105,2989,-8792
18,-22172,772,5480,2919,723,4256,-0.05,0.26,-0.85,0.449951,-29.419134,-8.73805,128.473526,-7137,5248,-5085,6513,5271,-5841
19,-22012,1800,5512,3315,724,3642,-0.01,0.24,-0.84,0.488525,-24.80224,-13.011678,122.612717,-7745,4292,-4995,6332,6606,-4428
20,-24436,2040,12348,3641,720,3089,0.04,0.22,-0.83,0.519348,-19.488398,-16.603786,117.656822,-8031,3591,-4614,6055,7271,-3021
21,-24740,1848,18860,3642,262,2395,0.08,0.19,-0.81,0.542847,-13.650731,-19.516516,113.537506,-8487,2820,-2839,5738,7412,-392
22,-22604,2588,18512,3487,-372,1659,0.11,0.16,-0.81,0.559082,-7.909065,-21.192247,110.414207,-8685,2060,-765,4964,7134,2168
23,-21252,2960,19552,3393,-695,1043,0.14,0.13,-0.8,0.56842,-2.625607,-21.65856,108.377289,-8377,1525,358,4044,6706,3358
24,-21144,2512,21248,3199,-831,410,0.16,0.09,-0.8,0.571716,2.157932,-21.49534,107.288635,-8046,1019,1316,3126,6327,4207
25,-21000,3264,23236,3126,-1225,-281,0.18,0.06,-0.8,0.568726,6.247759,-21.068483,107.201477,-7912,478,2215,2257,6177,4947
26,-17172,5468,24864,3054,-1836,-935,0.19,0.03,-0.81,0.559204,9.815349,-20.166945,108.265503,-7680,239,3207,1667,5881,5652
27,-15380,6408,25232,2846,-2223,-1428,0.2,0.0,-0.82,0.544006,12.958165,-18.603214,110.486298,-6934,410,4020,1382,5133,6012
28,-14140,6128,26144,2455,-2237,-1888,0.19,-0.03,-0.83,0.524109,15.614925,-16.770435,113.653366,-6181,555,4522,1180,4517,6096
29,-15372,4436,23384,1953,-2251,-2466,0.19,-0.06,-0.84,0.500122,17.580265,-15.18323,117.50354,-5822,387,4935,920,4402,6177
30,-14392,4808,19660,1707,-2297,-3225,0.18,-0.08,-0.86,0.47052,18.759417,-14.013459,122.117676,-5830,-15,4405,1105,4735,5454
31,-8248,7328,19440,1461,-1997,-3903,0.18,-0.1,-0.88,0.433411,19.566214,-13.218619,127.670036,-5393,-51,3388,1638,4379,4324
32,-7632,6920,19568,943,-1316,-4208,0.17,-0.11,-0.9,0.391052,20.033398,-12.909383,133.720383,-3940,354,2919,1576,2864,3671
33,-7436,6252,17864,766,-1156,-4488,0.17,-0.12,-0.92,0.346558,19.8755,-13.353488,139.724701,-2999,492,2528,1406,1900,3168
34,-2724,8172,18792,815,-1219,-4669,0.17,-0.12,-0.93,0.29895,19.43701,-14.00435,145.939758,-2193,572,2003,1202,1100,2548
35,1380,8972,23012,532,-974,-4433,0.16,-0.12,-0.95,0.249695,18.990215,-14.416827,152.251892,-610,1096,2135,180,-290,2452
36,1496,7708,23120,70,-874,-3942,0.16,-0.12,-0.96,0.203979,18.231167,-14.635776,157.923096,992,1545,2977,-1370,-1278,2952
37,-480,6044,21728,-116,-1119,-3500,0.15,-0.12,-0.97,0.163513,17.039694,-14.594178,162.745972,1789,1560,3270,-2258,-1457,3017
38,336,5900,23728,-220,-1426,-3291,0.14,-0.12,-0.98,0.126709,15.740492,-14.111871,167.000549,1757,1297,3198,-2322,-1097,2898
39,2232,7000,27360,-795,-1533,-3093,0.13,-0.11,-0.98,0.091675,14.318414,-13.145795,170.923737,1815,1299,3806,-2549,-882,3491
40,6728,8392,18564,-1719,-1351,-2655,0.11,-0.1,-0.99,0.059631,12.324381,-11.756642,174.337921,2269,1732,4522,-3061,-1174,4225
41,2496,4112,11720,-2113,-53,-2009,0.09,-0.08,-0.99,0.034058,9.693536,-10.426133,176.935547,3269,2302,2557,-3573,-2146,2268
42,1452,2056,15036,-1605,101,-1683,0.09,-0.06,-0.99,0.015564,6.927216,-10.443532,178.821411,2882,1819,539,-2894,-1865,219
43,3732,2212,16700,-1234,-271,-1189,0.09,-0.04,-0.99,0.0,4.711564,-10.482901,-179.567535,2713,1369,85,-2693,-1377,-299
44,1016,524,16284,-1175,-557,-593,0.09,-0.03,-1.0,-0.010498,3.021584,-9.86741,-178.514984,2778,1089,202,-2798,-1030,-220
45,268,-608,10996,-1120,-627,-210,0.08,-0.01,-1.0,-0.015381,1.477323,-8.956346,-178.095139,2214,675,-44,-2201,-612,-370
46,-2268,-2340,11932,-898,-233,-16,0.07,-0.0,-1.0,-0.016479,0.061315,-8.177716,-178.082764,1597,229,-1231,-1412,-183,-1445
47,-2604,-2776,12788,-683,-210,46,0.07,0.01,-1.0,-0.015991,-1.113876,-7.906114,-178.222458,834,-255,-1583,-599,305,-1677
48,-2592,-3076,12956,-517,-259,111,0.07,0.02,-1.0,-0.015015,-2.046173,-7.689191,-178.397949,328,-595,-1630,-88,656,-1637
49,-3024,-3348,13060,-404,-239,199,0.07,0.02,-1.0,-0.013367,-2.775176,-7.429174,-178.633286,25,-806,-1629,206,878,-1578
50,-3784,-3760,13328,-330,-176,279,0.06,0.03,-1.0,-0.010864,-3.365673,-7.232306,-178.956696,-245,-963,-1594,463,1043,-1491
51,-4948,-4248,13512,-270,-125,294,0.06,0.03,-1.0,-0.007629,-3.875872,-7.153957,-179.360916,-584,-1123,-1517,782,1208,-1353
52,-5504,-4632,13856,-174,-123,219,0.06,0.04,-1.0,-0.004456,-4.32517,-7.19141,-179.757339,-1005,-1297,-1437,1183,1385,-1198
53,-5008,-4580,14148,-68,-165,144,0.06,0.04,-1.0,-0.002075,-4.681554,-7.255832,179.942612,-1307,-1429,-1308,1460,1517,-1012
54,-4624,-4356,14700,31,-210,144,0.06,0.04,-1.0,-0.000488,-4.916166,-7.234412,179.745361,-1376,-1475,-1154,1504,1558,-841
55,-4880,-4440,15124,103,-250,186,0.06,0.04,-1.0,0.001099,-5.009631,-7.144129,179.560287,-1350,-1475,-944,1445,1547,-637
