seq,ax,ay,az,gx,gy,gz,qx,qy,qz,qw,roll,pitch,yaw
0,3152,8232,17728,110,145,-18,0.13,0.19,0.97,0.112,23.681025,12.278921,-169.920288
1,2824,8356,18680,130,107,-73,0.13,0.19,0.97,0.111938,23.846996,12.041147,-169.923935
2,2924,8252,18764,112,66,-111,0.13,0.19,0.97,0.112427,24.006721,11.834289,-169.866577
3,2888,8948,19284,121,67,-168,0.13,0.19,0.97,0.113403,24.159138,11.624408,-169.750763
4,3184,9072,20240,125,59,-182,0.13,0.19,0.97,0.114868,24.343931,11.398009,-169.581024
5,3464,8836,20724,81,46,-135,0.12,0.2,0.97,0.116272,24.496662,11.198365,-169.41684
6,2940,8676,21952,69,9,-89,0.12,0.2,0.97,0.117188,24.554432,11.050292,-169.299728
7,2208,8980,23320,83,-96,-69,0.12,0.2,0.97,0.117859,24.58847,10.946385,-169.213348
8,2584,9636,24064,31,-140,-103,0.12,0.2,0.97,0.118835,24.612844,10.913781,-169.100739
9,3116,9544,25280,-183,-17,-119,0.12,0.2,0.97,0.120239,24.511948,10.853954,-168.913803
10,2964,9152,25844,-424,106,-103,0.12,0.19,0.97,0.121704,24.090948,10.658484,-168.648544
11,2400,9672,26260,-617,169,-93,0.12,0.19,0.97,0.123047,23.374687,10.34905,-168.336853
12,1344,9604,26572,-794,222,-98,0.11,0.18,0.97,0.124512,22.447205,9.949669,-167.972458
13,952,9512,26016,-933,161,-193,0.11,0.17,0.97,0.126526,21.348221,9.473931,-167.519043
14,1240,9212,25096,-1018,141,-321,0.1,0.16,0.97,0.129944,20.170187,9.005714,-166.904602
15,1832,9156,25476,-1113,201,-420,0.1,0.15,0.97,0.134644,18.953892,8.517905,-166.146057
16,2112,9656,25152,-1325,149,-418,0.09,0.14,0.98,0.139954,17.601177,8.028834,-165.313232
17,2096,9156,23540,-1536,34,-360,0.09,0.13,0.98,0.145203,16.026627,7.677773,-164.486221
18,2192,8432,21388,-1610,24,-356,0.08,0.11,0.98,0.150208,14.28592,7.490035,-163.695084
19,2452,7940,20476,-1593,72,-389,0.08,0.1,0.98,0.155334,12.546584,7.300625,-162.903595
20,2792,8036,20236,-1609,20,-431,0.08,0.08,0.98,0.160706,10.850921,7.102072,-162.101898
21,3348,7932,19140,-1619,-135,-407,0.07,0.07,0.98,0.166382,9.17501,7.070041,-161.285126
22,3732,7344,18772,-1617,-233,-340,0.07,0.05,0.98,0.171692,7.529105,7.25795,-160.523727
23,4080,6112,17404,-1703,-348,-238,0.07,0.04,0.98,0.176147,5.830385,7.618627,-159.862656
24,4032,5276,14760,-1741,-355,-160,0.08,0.02,0.98,0.179688,3.996052,8.135262,-159.297256
25,3704,4584,13172,-1653,-213,-138,0.08,0.0,0.98,0.182556,2.152951,8.602026,-158.814209
26,3420,3268,13684,-1517,-59,-212,0.08,-0.01,0.98,0.185425,0.447742,8.858762,-158.355377
27,4368,3076,14012,-1482,-167,-306,0.08,-0.02,0.98,0.189148,-1.154245,9.020685,-157.816101
28,5176,2904,11988,-1519,-219,-214,0.08,-0.04,0.98,0.193237,-2.739987,9.406145,-157.22377
29,4780,1692,11096,-1462,-155,-95,0.08,-0.05,0.98,0.195984,-4.372352,9.812022,-156.791428
30,3972,700,10372,-1312,-95,-93,0.08,-0.07,0.97,0.197876,-5.94453,10.134188,-156.47374
31,3984,-140,10188,-1199,-51,-186,0.08,-0.08,0.97,0.200073,-7.363995,10.348071,-156.145477
32,4304,-788,8920,-1158,56,-276,0.07,-0.09,0.97,0.203247,-8.702851,10.533399,-155.717178
33,4452,-1408,8448,-1066,182,-333,0.07,-0.1,0.97,0.207214,-9.990829,10.583463,-155.226242
34,5108,-1780,8584,-852,171,-344,0.07,-0.11,0.97,0.21167,-11.127048,10.582113,-154.697189
35,5100,-2200,8732,-634,95,-258,0.07,-0.12,0.97,0.215637,-11.991588,10.669334,-154.221786
36,4332,-2680,9048,-462,28,-156,0.07,-0.13,0.97,0.218262,-12.662302,10.808269,-153.897003
37,3964,-2864,9376,-261,-54,-158,0.07,-0.13,0.96,0.21991,-13.147737,10.974046,-153.68219
38,4536,-2756,10176,-67,-34,-231,0.07,-0.13,0.96,0.221741,-13.38421,11.203414,-153.432816
39,4676,-2452,12208,15,3,-245,0.07,-0.13,0.96,0.224121,-13.374053,11.404203,-153.126724
40,4632,-2352,12316,5,-125,-208,0.07,-0.13,0.96,0.226379,-13.287731,11.622404,-152.831528
41,5000,-1852,12324,51,-155,-188,0.08,-0.13,0.96,0.228088,-13.207564,11.96795,-152.574432
42,4920,-1696,12176,122,-146,-99,0.08,-0.13,0.96,0.229431,-13.030092,12.300241,-152.360886
