seq,ax,ay,az,gx,gy,gz,qx,qy,qz,qw,roll,pitch,yaw
0,3672,11268,19020,44,288,42,-0.21,0.17,0.24,-0.930847,29.09409,12.545506,25.069719
1,2764,10992,19732,18,243,112,-0.21,0.17,0.24,-0.931213,29.094212,12.394229,24.968525
2,1804,10824,20448,-75,175,-29,-0.21,0.17,0.24,-0.931946,29.024458,12.104913,24.827599
3,2024,10580,21340,-183,120,-192,-0.21,0.16,0.24,-0.932495,28.865339,11.737022,24.932793
4,2532,10724,21496,-298,-14,-214,-0.21,0.16,0.25,-0.9328,28.592163,11.371748,25.28183
5,3308,9872,20808,-353,-50,-186,-0.21,0.16,0.25,-0.933044,28.217291,11.158211,25.716869
6,2644,10096,21660,-330,63,-179,-0.2,0.16,0.25,-0.933472,27.778385,11.020514,26.126076
7,1968,10432,24032,-304,53,-172,-0.2,0.15,0.25,-0.93396,27.349154,10.753975,26.50141
8,1452,10464,24728,-410,-88,-160,-0.2,0.15,0.26,-0.934509,26.894157,10.479807,26.883547
9,1688,10772,24592,-543,-146,-230,-0.19,0.15,0.26,-0.935059,26.32304,10.322727,27.345228
10,2328,11284,25396,-739,-77,-301,-0.19,0.15,0.26,-0.935547,25.619917,10.170177,27.953417
11,2728,10416,25584,-981,-19,-256,-0.18,0.14,0.27,-0.93634,24.682585,9.955791,28.674084
12,2220,10136,24804,-1161,50,-224,-0.17,0.14,0.27,-0.937622,23.442892,9.737364,29.413225
13,1764,10472,25704,-1187,25,-279,-0.16,0.13,0.27,-0.939209,22.033379,9.458138,30.137365
14,2132,10932,26516,-1337,-110,-249,-0.15,0.13,0.28,-0.94043,20.620852,9.175758,30.922592
15,2464,9940,25468,-1642,-118,-194,-0.13,0.12,0.28,-0.941589,19.035011,9.08075,31.72154
16,2004,9392,24264,-1889,33,-201,-0.12,0.12,0.29,-0.943115,17.101349,9.015932,32.505386
17,1536,8956,23600,-2009,101,-264,-0.1,0.11,0.29,-0.944641,14.928239,8.787678,33.306927
18,1284,8840,22632,-2103,137,-365,-0.08,0.1,0.3,-0.945801,12.66466,8.462132,34.145733
19,1896,9020,22144,-2149,90,-467,-0.06,0.09,0.3,-0.946228,10.362612,8.091637,35.070801
20,2568,8568,21536,-2218,-13,-480,-0.05,0.09,0.31,-0.945862,8.083865,7.834427,36.051743
21,2964,7220,19240,-2393,-95,-458,-0.03,0.08,0.32,-0.945007,5.739277,7.765672,37.010136
22,3132,6600,16420,-2491,13,-524,-0.0,0.07,0.32,-0.943604,3.178534,7.823433,37.936268
23,3296,6104,16252,-2418,133,-587,0.02,0.07,0.33,-0.941528,0.561636,7.792293,38.881287
24,4176,5108,14760,-2352,-39,-553,0.04,0.06,0.34,-0.938782,-1.943774,7.722126,39.808189
25,4496,3780,12552,-2260,-93,-491,0.06,0.05,0.34,-0.935608,-4.397422,7.925853,40.633667
26,4752,3000,11468,-2121,-43,-465,0.08,0.05,0.35,-0.932068,-6.770878,8.23142,41.349358
27,4648,2172,10856,-2010,-10,-399,0.1,0.04,0.36,-0.928345,-9.008626,8.510727,41.98262
28,4312,960,9736,-1900,-23,-384,0.12,0.04,0.36,-0.924561,-11.15391,8.776413,42.490498
29,4984,596,8492,-1727,-9,-457,0.14,0.03,0.37,-0.920532,-13.221916,9.054428,42.958218
30,5712,88,8632,-1565,65,-436,0.15,0.03,0.37,-0.916077,-15.075292,9.362905,43.489014
31,5644,-580,7576,-1491,96,-273,0.17,0.02,0.38,-0.911743,-16.771692,9.650918,43.954407
32,4792,-1656,6564,-1325,160,-185,0.18,0.02,0.38,-0.907898,-18.422848,9.851761,44.219517
33,4172,-2192,6588,-1066,170,-220,0.19,0.01,0.38,-0.90448,-19.922352,9.932019,44.374863
34,4528,-2780,7204,-870,136,-287,0.2,0.01,0.38,-0.901306,-21.119913,9.9878,44.575638
35,5376,-3224,7184,-765,153,-292,0.21,0.01,0.39,-0.898071,-22.114267,10.117799,44.866493
36,5140,-3560,7244,-663,214,-200,0.22,0.01,0.39,-0.89502,-22.974466,10.263655,45.156189
37,4420,-4192,7672,-509,190,-124,0.22,0.0,0.39,-0.892456,-23.740723,10.303424,45.355167
38,4372,-4368,8568,-272,71,-121,0.23,-0.0,0.39,-0.890625,-24.333393,10.309252,45.466015
39,4872,-4572,9820,-93,46,-121,0.23,-0.0,0.4,-0.889343,-24.639208,10.426632,45.599373
40,4808,-4596,10628,-106,75,-45,0.23,0.0,0.4,-0.888489,-24.743832,10.575108,45.747818
41,4096,-5036,10688,-176,74,12,0.23,-0.0,0.4,-0.887878,-24.869431,10.638453,45.812244
42,3492,-5876,10956,-115,14,-1,0.23,-0.0,0.4,-0.887451,-25.075539,10.652574,45.790287
43,3600,-5968,11352,20,-30,-104,0.24,-0.0,0.4,-0.887085,-25.229071,10.702322,45.777607
44,3720,-5448,12064,94,-56,-154,0.24,0.0,0.4,-0.886658,-25.209036,10.846621,45.896656
45,3944,-5652,12452,53,-43,-115,0.24,0.0,0.4,-0.886169,-25.077234,11.038091,46.090687
